ex_dividend_date,declaration_date,record_date,payment_date,amount
2026-03-20,2026-01-06,2026-03-20,2026-03-24,0.5646
2025-12-19,2025-04-03,2025-12-19,2025-12-23,0.532
2025-09-19,2025-09-17,2025-09-19,2025-09-23,0.3627
2025-06-20,2025-06-17,2025-06-20,2025-06-24,0.5418
2025-03-21,2025-03-19,2025-03-21,2025-03-25,0.5232
2024-12-20,2024-12-18,2024-12-20,2024-12-24,0.2619
2024-09-20,2024-09-18,2024-09-20,2024-09-24,0.3116
2024-06-21,2024-06-18,2024-06-21,2024-06-25,0.5363
2024-03-15,2024-03-13,2024-03-18,2024-03-20,0.4338
2023-12-18,2023-12-15,2023-12-19,2023-12-21,0.3743
2023-09-18,2023-09-14,2023-09-19,2023-09-21,0.1822
2023-06-20,2023-06-15,2023-06-21,2023-06-23,0.6509
2023-03-20,2023-03-16,2023-03-21,2023-03-23,0.3189
2022-12-19,2022-12-15,2022-12-20,2022-12-22,0.443
2022-09-19,2022-09-15,2022-09-20,2022-09-22,0.1718
2022-06-21,2022-06-16,2022-06-22,2022-06-24,0.5854
2022-03-21,2022-03-17,2022-03-22,2022-03-24,0.234
2021-12-20,2021-12-16,2021-12-21,2021-12-23,5.3966
2021-09-20,2021-09-16,2021-09-21,2021-09-23,0.1378
2021-06-21,2021-06-17,2021-06-22,2021-06-24,0.4269
2021-03-22,2021-03-19,2021-03-23,2021-03-25,0.032
2020-12-21,2020-12-18,2020-12-22,2020-12-24,0.3836
2020-09-25,2020-09-24,2020-09-28,2020-09-30,0.2277
2020-06-22,,,,0.299
2020-03-23,,,,0.1382
2019-12-18,,,,0.5945
2019-09-24,,,,0.1922
2019-06-14,,,,0.4801
2019-03-25,,,,0.0527
2018-12-24,,,,0.2348
2018-09-26,,,,0.1627
2018-06-28,,,,0.5542
2018-03-26,,,,0.1973
2017-12-19,,,,0.2586
2017-09-22,,,,0.143
2017-06-28,,,,0.511
2017-03-22,,,,0.25
2016-12-20,,,,0.17
2016-09-13,,,,0.142
2016-06-14,,,,0.199
2016-03-21,,,,0.045
