date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2025-11-21,213.68,216.61,213.47,215.26,213.557229346108,1660232,0.0,1.0
2025-11-24,215.84,217.515,215.515,216.96,215.243781840247,1425408,0.0,1.0
2025-11-25,217.855,220.36,217.0311,219.99,218.249813638624,1165872,0.0,1.0
2025-11-26,220.37,222.26,220.32,221.6,219.847078059544,1285830,0.0,1.0
2025-11-28,221.7,222.81,221.55,222.67,220.908614041149,836000,0.0,1.0
2025-12-01,221.72,221.92,220.41,220.54,218.795462974963,2054342,0.0,1.0
2025-12-02,220.92,220.92,219.73,220.32,218.577203240428,1408726,0.0,1.0
2025-12-03,220.22,222.0799,220.15,221.87,220.114942279202,1422985,0.0,1.0
2025-12-04,221.76,222.1123,220.63,221.26,219.509767560716,1071128,0.0,1.0
2025-12-05,221.74,222.6,221.33,221.59,219.83715716252,1233123,0.0,1.0
2025-12-08,222.31,222.31,220.51,220.91,219.162536164864,1830987,0.0,1.0
2025-12-09,220.795,221.8661,220.33,220.41,218.666491313647,1449265,0.0,1.0
2025-12-10,220.35,223.12,220.13,222.78,221.017743908417,1626462,0.0000,1.0
2025-12-11,222.22,224.585,222.09,224.45,222.674533711483,1604179,0.0000,1.0
2025-12-12,223.62,223.75,221.47,222.08,220.323281116713,1924121,0.0000,1.0
2025-12-15,222.89,222.905,221.07,221.79,220.035575103007,1744288,0.0000,1.0
2025-12-16,221.48,221.735,219.5,220.31,218.567282343403,1361071,0.0000,1.0
2025-12-17,220.68,220.89,218.68,218.99,217.25772393619,1667325,0.0000,1.0
2025-12-18,220.0,220.66,218.84,219.37,217.634718023115,1555975,0.0000,1.0
2025-12-19,219.8,220.97,219.8,220.66,218.914513739256,1605492,0.0000,1.0
2025-12-22,220.42,221.18,220.19,220.95,220.079623885795,2199384,0.8844,1.0
2025-12-23,220.47,221.51,220.3901,221.24,220.368481504835,1672870,0.0000,1.0
2025-12-24,221.52,222.6699,221.39,222.39,221.513951373442,1265618,0.0000,1.0
2025-12-26,222.39,222.614185,221.89,222.5,221.623518056526,1511276,0.0000,1.0
2025-12-29,222.13,222.55,221.58,221.87,220.99599978068,1563275,0.0000,1.0
2025-12-30,221.79,221.98,221.35,221.47,220.597575478556,1259517,0.0000,1.0
