date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2025-11-21,88.66,89.895,88.38,89.57,87.8200077410442,5770477,0.0,1.0
2025-11-24,89.64,89.94,89.09,89.81,88.055318691785,3331007,0.0,1.0
2025-11-25,90.05,91.035,90.05,90.64,88.8691023964302,4230357,0.0,1.0
2025-11-26,90.43,91.57,90.39,91.04,89.2612873143315,3297995,0.0,1.0
2025-11-28,90.93,91.6,90.93,91.34,89.5554260027574,1627090,0.0,1.0
2025-12-01,90.45,90.81,90.225,90.29,88.5259405932666,3120840,0.0,1.0
2025-12-02,90.52,90.64,89.68,89.97,88.2121926589455,2737085,0.0,1.0
2025-12-03,89.86,90.42,89.8051,90.2,88.4376989867388,3204263,0.0,1.0
2025-12-04,90.025,90.59,89.865,89.98,88.2219972818931,4837544,0.0,1.0
2025-12-05,89.82,90.35,89.72,89.88,88.1239510524177,3859884,0.0,1.0
2025-12-08,89.92,89.92,89.15,89.19,87.447432069038,3969900,0.0,1.0
2025-12-09,89.44,89.98,88.82,88.85,87.1140748888219,4192067,0.0,1.0
2025-12-10,89.13,89.81,89.01,89.17,87.427822823143,4633433,0.0000,1.0
2025-12-11,89.43,89.92,89.26,89.56,87.8102031180967,5207398,0.0000,1.0
2025-12-12,89.95,90.27,89.23,89.45,87.7023522656739,3855912,0.0000,1.0
2025-12-15,89.82,89.88,89.095,89.73,87.9768817082048,3915126,0.0000,1.0
2025-12-16,89.65,89.9799,88.925,89.07,87.3297765936676,3717881,0.0000,1.0
2025-12-17,88.99,89.76,88.975,89.4,87.6533291509362,3715500,0.0000,1.0
2025-12-18,89.84,89.99,88.83,88.93,87.1925118724022,3818063,0.0000,1.0
2025-12-19,88.67,89.1699,88.55,88.59,86.8591546921861,4162336,0.0000,1.0
2025-12-22,87.65,88.365,87.475,88.24,87.3008529559724,3594008,0.8005,1.0
2025-12-23,88.28,88.28,87.865,88.18,87.2414915419045,3955916,0.0000,1.0
2025-12-24,88.21,88.91,88.21,88.76,87.8153185445616,2730765,0.0000,1.0
2025-12-26,88.7,88.92,88.46,88.86,87.9142542346749,2065781,0.0000,1.0
2025-12-29,89.24,89.33,88.794,89.04,88.0923384768788,2604009,0.0000,1.0
2025-12-30,89.095,89.27,88.915,89.22,88.2704227190827,2813521,0.0000,1.0
2025-12-31,89.18,89.2,88.45,88.49,87.5481921812557,3301734,0.0000,1.0
2026-01-02,88.37,88.85,87.84,88.52,87.5778728882897,3524509,0.0000,1.0
2026-01-05,88.3,89.065,87.875,88.72,87.7757442685162,5501563,0.0000,1.0
2026-01-06,88.38,89.575,88.28,89.37,88.4188262542527,4889819,0.0000,1.0
