date,open,high,low,close,5. adjusted close,6. volume,7. dividend amount
2004-10-29,50.3500,53.4300,50.2500,53.1000,20.9979,411100,0.0000
2004-11-30,53.2000,56.2200,52.8900,55.2000,21.8284,663200,0.0000
2004-12-31,55.3500,57.6000,55.3300,56.5500,22.8627,611900,1.2700
2005-01-31,56.7500,56.7500,51.2700,51.7100,20.9059,951200,0.0000
2005-02-28,51.9000,55.1100,51.7000,53.3500,21.5689,577900,0.0000
2005-03-31,53.2500,55.5300,51.1300,51.8200,21.2001,695000,0.6140
2005-04-29,52.5900,54.8100,51.1200,54.8100,22.4234,689700,0.0000
2005-05-31,55.0000,57.7600,54.1700,56.7400,23.2130,985700,0.0000
2005-06-30,56.8000,60.0900,56.6200,58.7000,24.2805,696600,0.6440
2005-07-29,58.7100,63.1000,58.6800,62.8900,26.0136,918200,0.0000
2005-08-31,63.1000,63.4500,57.4200,60.3400,24.9589,1251300,0.0000
2005-09-30,60.5800,62.0900,58.2500,60.4500,25.2902,805000,0.6760
2005-10-31,60.5600,60.5600,55.0400,58.7100,24.5623,1354100,0.0000
2005-11-30,58.7100,62.1600,56.8700,61.1500,25.5831,711100,0.0000
2005-12-30,61.3300,62.4499,59.4600,59.5600,25.5923,826700,1.6270
2006-01-31,59.9400,64.3800,59.1610,64.0500,27.5216,7415200,0.0000
2006-02-28,64.1500,66.0300,62.2900,65.2400,28.0330,1996300,0.0000
2006-03-31,66.2000,69.7100,64.8800,67.9200,29.3577,1783500,0.4040
2006-04-28,68.1500,68.2700,63.4600,65.6100,28.3592,1058500,0.0000
2006-05-31,65.9900,66.6300,61.6900,63.8400,27.5941,1634400,0.0000
2006-06-30,64.0000,67.0500,63.7000,66.3000,28.9598,1435800,0.6780
2006-07-31,66.7200,69.1400,63.6800,68.8800,30.0868,2182500,0.0000
2006-08-31,68.6100,71.6400,67.3400,71.2800,31.1351,1988500,0.0000
2006-09-29,71.5900,73.5900,70.2600,71.8900,31.6982,1389900,0.6780
2006-10-31,72.1300,76.8000,71.3000,76.3400,33.6604,1589300,0.0000
2006-11-30,76.5200,80.2000,72.6900,79.9900,35.2697,2390700,0.0000
