date,open,high,low,close,5. adjusted close,6. volume,7. dividend amount
2006-09-29,51.6800,55.2000,50.8500,52.2700,34.4576,179100,0.0000
2006-10-31,52.3000,54.8800,52.1100,54.5700,35.9739,287000,0.0000
2006-11-30,54.6800,56.8200,53.8900,56.7190,37.3905,322700,0.0000
2006-12-29,56.6900,57.6100,56.2500,56.7400,37.6462,272400,0.3640
2007-01-31,56.8700,58.7300,55.8701,58.6700,38.9267,392200,0.0000
2007-02-28,58.7000,60.8100,58.2000,58.7100,38.9533,531400,0.0000
2007-03-30,57.7400,59.8600,56.5100,59.0140,39.1615,849800,0.0100
2007-04-30,59.2000,61.9000,59.0700,60.9400,40.4396,535900,0.0000
2007-05-31,60.9500,63.2000,60.5410,63.0200,41.8199,821200,0.0000
2007-06-29,63.3000,63.5699,60.1701,61.1500,40.5790,706000,0.0000
2007-07-31,61.4600,62.6800,57.2200,57.2200,37.9710,513600,0.0000
2007-08-31,57.2300,58.2400,52.8200,57.2600,37.9976,1183500,0.0000
2007-09-28,57.2400,59.2699,55.4300,58.3700,38.7342,502100,0.0000
2007-10-31,58.4500,60.6200,56.4700,58.5899,38.8801,956200,0.0000
2007-11-30,57.8100,57.8600,52.6300,55.1701,36.6107,872200,0.0000
2007-12-31,55.5900,57.3800,52.3100,53.1400,35.9823,1249600,1.0800
2008-01-31,52.6500,53.1666,26.0400,51.1800,34.6551,2735300,0.0000
2008-02-29,51.4900,52.4000,49.0800,49.2300,33.3347,1810300,0.0000
2008-03-31,49.2600,50.3000,46.3200,48.7800,33.0958,3503200,0.0960
2008-04-30,49.6900,52.2500,49.2400,51.3500,34.8394,1107100,0.0000
2008-05-30,51.3500,54.4100,51.3500,53.2400,36.1217,1824900,0.0000
2008-06-30,53.3400,53.6100,47.8100,48.0100,32.5733,3000100,0.0000
2008-07-31,47.5900,48.8000,43.9800,47.2700,32.0713,18831900,0.0000
2008-08-29,47.4400,49.5400,46.5500,48.7800,33.0958,11102000,0.0000
2008-09-30,49.1400,52.3900,42.7000,44.3100,30.0630,8949700,0.0000
2008-10-31,44.5400,44.5400,29.4000,34.4915,23.4014,7170200,0.0000
2008-11-28,34.6300,35.7800,25.1600,31.8300,21.5957,8698200,0.0000
2008-12-31,31.1100,33.7200,28.3400,32.7300,22.8184,8687200,0.8570
2009-01-30,32.9500,34.8100,28.9600,29.7400,20.7339,9033100,0.0000
2009-02-27,29.2001,31.8000,25.9400,26.1500,18.2310,5020000,0.0000
2009-03-31,25.5100,29.8400,22.8400,28.3000,19.7575,3372300,0.0410
2009-04-30,27.9000,33.7400,27.8400,32.9800,23.0249,4711200,0.0000
2009-05-29,32.8400,35.9000,32.1700,34.3600,23.9883,6361700,0.0000
2009-06-30,35.1900,36.0700,32.3500,34.0600,23.7789,2119300,0.0000
2009-07-31,34.2900,37.9027,31.7100,37.7300,26.3411,1984300,0.0000
2009-08-31,38.1000,41.0600,37.9200,40.2300,28.0864,1724200,0.0000
2009-09-30,39.9300,44.0000,38.5600,42.6200,29.7550,3357000,0.0000
2009-10-30,42.4100,44.4035,40.1000,40.5700,28.3238,8023000,0.0000
2009-11-30,40.7100,44.0900,40.0200,42.8800,29.9365,3629800,0.0000
2009-12-31,43.3200,45.6000,43.0700,44.3700,31.5427,3687100,0.8230
2010-01-29,44.8000,46.3500,43.1900,43.3600,30.8247,1843900,0.0000
2010-02-26,43.3800,45.8200,42.0000,45.4200,32.2891,1873500,0.0000
