date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2025-11-21,117.37,119.06,115.97,117.73,117.446582960228,2027499,0.0,1.0
2025-11-24,118.58,120.56,118.58,120.22,119.93058866456,975359,0.0,1.0
2025-11-25,120.0,121.425,118.82,121.2,120.908229463855,1024184,0.0,1.0
2025-11-26,122.04,122.52,121.495,122.11,121.816038777486,1026401,0.0,1.0
2025-11-28,122.35,122.66,122.06,122.66,122.364714736275,563064,0.0,1.0
2025-12-01,121.68,122.63,121.38,122.25,121.955701748814,1167085,0.0,1.0
2025-12-02,122.75,123.42,122.3,122.7,122.404618442368,1262349,0.0,1.0
2025-12-03,122.21,122.93,121.835,122.64,122.344762883228,1414935,0.0,1.0
2025-12-04,123.19,123.19,122.17,122.87,122.574209193266,1216260,0.0,1.0
2025-12-05,123.19,123.7061,122.815,123.18,122.883462915492,919863,0.0,1.0
2025-12-08,123.5,123.72,122.63,123.14,122.843559209399,1213731,0.0,1.0
2025-12-09,123.01,123.3565,122.631,123.15,122.853535135922,1466817,0.0,1.0
2025-12-10,123.04,123.65,122.32,123.37,123.073005519437,3822042,0.0000,1.0
2025-12-11,122.74,123.38,121.605,123.29,122.99319810725,3858567,0.0000,1.0
2025-12-12,122.7,123.0,120.73,121.3,121.007988729089,6022874,0.0000,1.0
2025-12-15,122.0,122.11,120.47,120.73,120.439360917254,2891680,0.0000,1.0
2025-12-16,120.28,121.29,119.995,120.99,120.698735006863,1979402,0.0000,1.0
2025-12-17,121.23,121.23,118.81,118.83,118.543934877805,4349576,0.0000,1.0
2025-12-18,120.38,121.08,119.81,120.33,120.040323856318,2857364,0.0000,1.0
2025-12-19,120.92,122.0,120.92,122.0,121.706303585729,1815286,0.0000,1.0
2025-12-22,122.55,122.69,122.18,122.57,122.412898461383,1913356,0.1383,1.0
2025-12-23,122.3,123.36,122.3,123.31,123.151949981832,1739551,0.0000,1.0
2025-12-24,123.33,123.715,123.2,123.62,123.461552645803,1041661,0.0000,1.0
2025-12-26,123.79,124.01,123.49,123.63,123.471539828512,1217706,0.0000,1.0
2025-12-29,122.79,123.25,122.61,122.98,122.822372952442,1881390,0.0000,1.0
2025-12-30,122.86,123.15,122.685,122.75,122.592667750141,1366373,0.0000,1.0
2025-12-31,122.88,122.8875,121.74,121.75,121.593949479264,1718787,0.0000,1.0
2026-01-02,122.74,123.15,120.77,121.44,121.284346815292,2877062,0.0000,1.0
2026-01-05,122.14,122.38,121.69,121.87,121.713795671769,2745503,0.0000,1.0
2026-01-06,121.99,122.5206,121.56,122.41,122.253103538042,2426509,0.0000,1.0
2026-01-07,122.48,123.595,122.35,122.72,122.562706202014,2017654,0.0000,1.0
2026-01-08,122.44,122.52,121.32,121.73,121.573975113846,2608272,0.0000,1.0
2026-01-09,121.89,122.765,121.45,122.53,122.372949730548,2585863,0.0000,1.0
2026-01-12,121.73,123.18,121.73,122.81,122.652590846393,1215709,0.0000,1.0
2026-01-13,122.81,122.99,121.86,122.46,122.303039451586,6022487,0.0000,1.0
2026-01-14,121.82,121.82,120.03,120.92,120.765013314436,7170668,0.0000,1.0
2026-01-15,122.0,122.0625,120.91,121.12,120.964756968611,5029736,0.0000,1.0
2026-01-16,121.48,121.77,120.76,121.09,120.934795420485,3127489,0.0000,1.0
2026-01-20,118.88,119.52,117.82,118.04,117.88870469431,3173590,0.0000,1.0
2026-01-21,118.15,119.87,117.63,119.03,118.877435782478,3820729,0.0000,1.0
2026-01-22,120.19,120.26,119.46,119.94,119.786269408976,2513834,0.0000,1.0
2026-01-23,119.83,120.94,119.68,120.46,120.305602909832,1621155,0.0000,1.0
2026-01-26,120.56,121.6211,120.56,121.22,121.064628795699,1292519,0.0000,1.0
2026-01-27,121.95,122.42,121.61,122.06,121.903552143235,923821,0.0000,1.0
2026-01-28,122.43,122.4982,121.345,121.79,121.633898210099,1626862,0.0000,1.0
2026-01-29,121.42,121.6,118.655,120.8,120.645167121931,3372022,0.0000,1.0
2026-01-30,120.4,120.75,119.38,120.03,119.876154053355,5296090,0.0000,1.0
2026-02-02,119.35,120.7756,119.35,120.3,120.145807986492,1563559,0.0000,1.0
2026-02-03,120.54,120.547,117.17,118.18,118.028525252233,3245256,0.0000,1.0
2026-02-04,118.06,118.19,115.645,116.75,116.600358124879,4685156,0.0000,1.0
2026-02-05,115.7,116.41,114.491,114.82,114.672831862087,3796875,0.0000,1.0
2026-02-06,115.61,117.83,115.46,117.49,117.339409645328,2352620,0.0000,1.0
2026-02-09,117.42,119.063,117.18,118.63,118.477948474128,4247828,0.0000,1.0
2026-02-10,119.19,119.33,118.16,118.25,118.098435531194,1650830,0.0000,1.0
2026-02-11,119.23,119.23,117.26,117.84,117.688961040135,2480792,0.0000,1.0
2026-02-12,118.2,118.36,115.3,115.5,115.351960286283,3270312,0.0000,1.0
2026-02-13,115.6,116.2,114.79,115.11,114.962460160641,7735686,0.0000,1.0
2026-02-17,114.61,116.18,113.96,115.65,115.501768026915,3767139,0.0000,1.0
