ex_dividend_date,declaration_date,record_date,payment_date,amount
2026-03-24,2026-01-06,2026-03-24,2026-03-26,0.1418
2025-12-22,2025-04-03,2025-12-22,2025-12-24,0.1383
2025-09-24,2025-09-22,2025-09-24,2025-09-26,0.1419
2025-06-20,2025-06-17,2025-06-20,2025-06-24,0.134
2025-03-25,2025-03-22,2025-03-25,2025-03-27,0.1366
2024-12-23,2024-12-19,2024-12-23,2024-12-26,0.1378
2024-09-26,2024-09-24,2024-09-26,2024-09-30,0.1393
2024-06-27,2024-06-25,2024-06-27,2024-07-01,0.1406
2024-03-21,2024-03-19,2024-03-22,2024-03-26,0.1547
2023-12-19,2023-12-15,2023-12-20,2023-12-22,0.1653
2023-09-21,2023-09-19,2023-09-22,2023-09-26,0.1282
2023-06-23,2023-06-22,2023-06-26,2023-06-28,0.1298
2023-03-23,2023-03-22,2023-03-24,2023-03-28,0.1284
2022-12-15,2022-12-13,2022-12-16,2022-12-20,0.146
2022-09-28,2022-09-26,2022-09-29,2022-10-03,0.1508
2022-06-29,2022-06-27,2022-06-30,2022-07-05,0.1281
2022-03-24,2022-03-22,2022-03-25,2022-03-29,0.1148
2021-12-16,2021-12-14,2021-12-17,2021-12-21,0.1251
2021-09-29,2021-09-27,2021-09-30,2021-10-04,0.1208
2021-06-29,2021-06-25,2021-06-30,2021-07-02,0.1066
2021-03-26,2021-03-25,2021-03-29,2021-03-31,0.4102
2020-12-17,2020-12-16,2020-12-18,2020-12-22,0.6246
2020-09-11,2020-09-10,2020-09-14,2020-09-16,0.3335
2020-06-25,,,,0.4479
2020-03-26,,,,0.4918
2019-12-16,,,,0.4908
2019-09-26,,,,0.5077
2019-06-21,,,,0.4879
2019-03-25,,,,0.3762
2018-12-13,,,,0.0736
2018-09-26,,,,0.6948
2018-06-28,,,,0.4456
2018-03-22,,,,0.3743
2017-12-14,,,,0.4401
2017-09-27,,,,0.408
2017-06-28,,,,0.432
2017-03-22,,,,0.36
2016-12-14,,,,0.442
2016-09-20,,,,0.447
2016-06-21,,,,0.355
2016-03-21,,,,0.345
2015-12-21,,,,0.443
2015-09-21,,,,0.355
2015-06-22,,,,0.359
2015-03-23,,,,0.346
2014-12-18,,,,0.424
2014-09-22,,,,0.318
2014-06-23,,,,0.365
2014-03-24,,,,0.3
2013-12-20,,,,0.336
2013-09-23,,,,0.285
2013-06-24,,,,0.293
2013-03-22,,,,0.213
2012-12-20,,,,0.445
2012-09-24,,,,0.276
2012-06-25,,,,0.225
2012-03-26,,,,0.19
2011-12-21,,,,0.231
2011-09-23,,,,0.177
2011-06-24,,,,0.187
2011-03-25,,,,0.159
2010-12-22,,,,0.087
