date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2025-11-21,50.44,50.45,50.38,50.39,49.6816829695233,5651138,0.0,1.0
2025-11-24,50.43,50.4499,50.41,50.42,49.7112612685724,5841444,0.0,1.0
2025-11-25,50.46,50.46,50.4,50.42,49.7112612685724,7116115,0.0,1.0
2025-11-26,50.41,50.54,50.41,50.54,49.8295744647689,8497177,0.0,1.0
2025-11-28,50.48,50.54,50.48,50.52,49.8098555987362,2828115,0.0,1.0
2025-12-01,50.31,50.31,50.22,50.25,49.6835562617964,3921580,0.1419,1.0
2025-12-02,50.25,50.25,50.17,50.22,49.6538944371625,5463259,0.0,1.0
2025-12-03,50.25,50.29,50.22,50.22,49.6538944371625,7059364,0.0,1.0
2025-12-04,50.19,50.22,50.17,50.21,49.6440071622845,5787212,0.0,1.0
2025-12-05,50.21,50.24,50.19,50.23,49.6637817120404,4344665,0.0,1.0
2025-12-08,50.21,50.24,50.19,50.19,49.6242326125286,5862028,0.0,1.0
2025-12-09,50.25,50.27,50.175,50.19,49.6242326125286,6820279,0.0,1.0
2025-12-10,50.19,50.26,50.16,50.26,49.5528938695896,5816192,0.0000,1.0
2025-12-11,50.28,50.33,50.24,50.25,49.5430345592295,6469019,0.0000,1.0
2025-12-12,50.2,50.24,50.16,50.18,49.4740193867092,5589295,0.0000,1.0
2025-12-15,50.28,50.28,50.2,50.23,49.5233159385094,4672265,0.0000,1.0
2025-12-16,50.24,50.3,50.21,50.3,49.5923311110298,4139079,0.0000,1.0
2025-12-17,50.26,50.31,50.24,50.31,49.6021904213898,4655602,0.0000,1.0
2025-12-18,50.23,50.2398,50.14,50.16,49.594007193791,5299126,0.1417,1.0
2025-12-19,50.15,50.17,50.14,50.17,49.6038943563097,5626226,0.0000,1.0
2025-12-22,50.16,50.19,50.15,50.18,49.6137815188284,5015705,0.0000,1.0
2025-12-23,50.13,50.21,50.12,50.2,49.6335558438658,5381577,0.0000,1.0
2025-12-24,50.2,50.25,50.2,50.23,49.6632173314219,5083079,0.0000,1.0
2025-12-26,50.25,50.282,50.2,50.22,49.6533301689032,3914452,0.0000,1.0
2025-12-29,50.25,50.26,50.2248,50.25,49.6829916564593,6421160,0.0000,1.0
2025-12-30,50.25,50.3,50.24,50.28,49.7126531440154,4603919,0.0000,1.0
2025-12-31,50.25,50.335,50.24,50.29,49.7225403065341,4266734,0.0000,1.0
2026-01-02,50.36,50.37,50.32,50.37,49.8016376066836,6315251,0.0000,1.0
2026-01-05,50.41,50.42,50.38,50.4,49.8312990942397,6643601,0.0000,1.0
2026-01-06,50.39,50.46,50.36,50.46,49.8906220693519,6056707,0.0000,1.0
2026-01-07,50.49,50.55,50.48,50.55,49.9796065320202,8444381,0.0000,1.0
2026-01-08,50.55,50.55,50.4933,50.51,49.9400578819454,5570748,0.0000,1.0
2026-01-09,50.57,50.58,50.5,50.58,50.0092680195763,7794609,0.0000,1.0
2026-01-12,50.57,50.57,50.53,50.56,49.9894936945389,5783824,0.0000,1.0
2026-01-13,50.6,50.6,50.555,50.58,50.0092680195763,8507441,0.0000,1.0
2026-01-14,50.6,50.63,50.59,50.62,50.0488166696511,5316337,0.0000,1.0
2026-01-15,50.67,50.67,50.6,50.61,50.0389295071324,4704976,0.0000,1.0
2026-01-16,50.64,50.65,50.55,50.6,50.0290423446137,10974239,0.0000,1.0
2026-01-20,50.54,50.55,50.3635,50.43,49.8609605817958,10690002,0.0000,1.0
2026-01-21,50.47,50.51,50.39,50.51,49.9400578819454,8089526,0.0000,1.0
2026-01-22,50.47,50.5,50.44,50.48,49.9103963943893,4938490,0.0000,1.0
2026-01-23,50.49,50.56,50.4701,50.52,49.9499450444641,7420747,0.0000,1.0
2026-01-26,50.55,50.58,50.535,50.54,49.9697193695015,5248309,0.0000,1.0
2026-01-27,50.55,50.59,50.54,50.56,49.9894936945389,5665497,0.0000,1.0
2026-01-28,50.56,50.62,50.55,50.57,49.9993808570576,10552367,0.0000,1.0
2026-01-29,50.53,50.62,50.52,50.52,49.9499450444641,14291412,0.0000,1.0
2026-01-30,50.56,50.63,50.53,50.56,49.9894936945389,12800137,0.0000,1.0
2026-02-02,50.51,50.52,50.46,50.48,50.0486189264007,9502197,0.1398,1.0
2026-02-03,50.49,50.53,50.47,50.5,50.0684480147234,13139577,0.0000,1.0
2026-02-04,50.525,50.59,50.51,50.54,50.1081061913687,11171700,0.0000,1.0
2026-02-05,50.63,50.67,50.6,50.62,50.1874225446594,11398494,0.0000,1.0
2026-02-06,50.68,50.68,50.6,50.65,50.2171661771434,10870887,0.0000,1.0
2026-02-09,50.66,50.7,50.62,50.67,50.236995265466,10542338,0.0000,1.0
2026-02-10,50.77,50.8153,50.715,50.74,50.3063970745953,10504755,0.0000,1.0
2026-02-11,50.67,50.74,50.64,50.65,50.2171661771434,14223976,0.0000,1.0
2026-02-12,50.73,50.8,50.7,50.77,50.3361407070793,10957187,0.0000,1.0
2026-02-13,50.82,50.92,50.8,50.84,50.4055425162087,11036488,0.0000,1.0
2026-02-17,50.84,50.89,50.8245,50.87,50.4352861486926,9263066,0.0000,1.0
2026-02-18,50.85,50.89,50.83,50.86,50.4253716045313,9474195,0.0000,1.0
2026-02-19,50.86,50.91,50.86,50.86,50.4253716045313,9357467,0.0000,1.0
2026-02-20,50.92,50.9367,50.89,50.93,50.4947734136606,6312292,0.0000,1.0
2026-02-23,50.98,50.99,50.9301,50.96,50.5245170461446,4310729,0.0000,1.0
2026-02-24,50.97,51.05,50.96,51.03,50.5939188552739,3844911,0.0000,1.0
2026-02-25,51.01,51.08,51.01,51.06,50.6236624877579,3785077,0.0000,1.0
2026-02-26,51.08,51.14,51.08,51.13,50.6930642968873,4872085,0.0000,1.0
2026-02-27,51.18,51.18,51.1301,51.15,50.7128933852099,4781615,0.0000,1.0
2026-03-02,50.93,50.94,50.85,50.87,50.5827154203716,9508724,0.1487,1.0
2026-03-03,50.78,50.78,50.55,50.6,50.3142402254925,10141904,0.0000,1.0
2026-03-04,50.67,50.67,50.5501,50.57,50.2844096482837,6426673,0.0000,1.0
2026-03-05,50.54,50.5957,50.485,50.58,50.29435317402,6825313,0.0000,1.0
2026-03-06,50.53,50.57,50.44,50.56,50.2744661225475,7774965,0.0000,1.0
2026-03-09,50.5,50.55,50.44,50.51,50.2247484938662,7114346,0.0000,1.0
2026-03-10,50.51,50.53,50.41,50.42,50.1352567622398,6234751,0.0000,1.0
2026-03-11,50.43,50.435,50.3,50.33,50.0457650306134,8463944,0.0000,1.0
2026-03-12,50.39,50.39,50.18,50.2,49.916499196042,9915391,0.0000,1.0
2026-03-13,50.26,50.38,50.23,50.36,50.0755956078222,9302524,0.0000,1.0
2026-03-16,50.48,50.49,50.31,50.38,50.0954826592947,6591854,0.0000,1.0
2026-03-17,50.42,50.42,50.32,50.34,50.0557085563497,5992120,0.0000,1.0
2026-03-18,50.34,50.35,50.26,50.27,49.9861038761958,8423256,0.0000,1.0
2026-03-19,50.24,50.31,50.155,50.23,49.9463297732508,10829208,0.0000,1.0
2026-03-20,50.13,50.17,49.78,49.8,49.5187581665915,9842155,0.0000,1.0
2026-03-23,49.91,49.99,49.86,49.94,49.6579675268991,6109521,0.0000,1.0
2026-03-24,49.88,49.91,49.605,49.62,49.3397747033387,8214554,0.0000,1.0
2026-03-25,49.73,49.775,49.6901,49.73,49.4491534864376,7916681,0.0000,1.0
2026-03-26,49.73,49.75,49.62,49.63,49.349718229075,8440499,0.0000,1.0
2026-03-27,49.6,49.67,49.5,49.64,49.3596617548112,9167064,0.0000,1.0
2026-03-30,49.75,49.81,49.73,49.77,49.4889275893827,9356673,0.0000,1.0
2026-03-31,49.82,50.0,49.82,49.89,49.6082498982178,9167665,0.0000,1.0
2026-04-01,49.93,49.95,49.86,49.91,49.7688378388585,8412462,0.1415,1.0
2026-04-02,49.85,50.01,49.82,50.0,49.8585832887783,10525476,0.0000,1.0
2026-04-06,49.96,50.02,49.9,49.96,49.8186964221473,7209362,0.0000,1.0
2026-04-07,49.95,50.02,49.91,50.01,49.868555005436,7047563,0.0000,1.0
2026-04-08,50.32,50.3574,50.12,50.13,49.9882156053291,10769778,0.0000,1.0
2026-04-09,50.2,50.29,50.1601,50.26,50.1178479218799,7308378,0.0000,1.0
2026-04-10,50.31,50.32,50.23,50.24,50.0979044885644,6376984,0.0000,1.0
2026-04-13,50.23,50.31,50.22,50.3,50.157734788511,6025331,0.0000,1.0
2026-04-14,50.33,50.35,50.29,50.34,50.197621655142,5879004,0.0000,1.0
2026-04-15,50.34,50.3499,50.24,50.26,50.1178479218799,5970191,0.0000,1.0
2026-04-16,50.29,50.33,50.28,50.29,50.1477630718532,4832517,0.0000,1.0
2026-04-17,50.36,50.47,50.36,50.45,50.3073105383773,6851764,0.0000,1.0
2026-04-20,50.4,50.48,50.4,50.47,50.3272539716928,6472227,0.0000,1.0
2026-04-21,50.44,50.45,50.38,50.38,50.237508521773,4774649,0.0000,1.0
2026-04-22,50.46,50.47,50.41,50.43,50.2873671050618,4051436,0.0000,1.0
2026-04-23,50.47,50.48,50.35,50.45,50.3073105383773,5794927,0.0000,1.0
2026-04-24,50.47,50.48,50.405,50.47,50.3272539716928,5548603,0.0000,1.0
2026-04-27,50.48,50.49,50.42,50.47,50.3272539716928,4125291,0.0000,1.0
2026-04-28,50.4,50.42,50.34,50.39,50.2474802384308,5895379,0.0000,1.0
2026-04-29,50.35,50.36,50.2533,50.29,50.1477630718532,5654259,0.0000,1.0
2026-04-30,50.34,50.37,50.28,50.31,50.1677065051687,6595105,0.0000,1.0
2026-05-01,50.21,50.2199,50.16,50.17,50.17,7585714,0.1423,1.0
2026-05-04,50.16,50.17,50.065,50.12,50.12,7333488,0.0000,1.0
2026-05-05,50.17,50.18,50.11,50.14,50.14,7576168,0.0000,1.0
