ex_dividend_date,declaration_date,record_date,payment_date,amount
2026-04-01,2026-01-08,2026-04-01,2026-04-06,0.1415
2026-03-02,2026-01-08,2026-03-02,2026-03-04,0.1487
2026-02-02,2026-01-08,2026-02-02,2026-02-04,0.1398
2025-12-18,2025-04-03,2025-12-18,2025-12-22,0.1417
2025-12-01,2025-01-09,2025-12-01,2025-12-03,0.1419
2025-11-03,2025-01-09,2025-11-03,2025-11-05,0.1398
2025-10-01,2025-01-09,2025-10-01,2025-10-03,0.1421
2025-09-02,2025-01-09,2025-09-02,2025-09-04,0.1387
2025-08-01,2025-01-09,2025-08-01,2025-08-05,0.1374
2025-07-01,2025-01-09,2025-07-01,2025-07-03,0.1358
2025-06-02,2025-01-09,2025-06-02,2025-06-04,0.1367
2025-05-01,2025-01-09,2025-05-01,2025-05-05,0.1367
2025-04-01,2025-01-09,2025-04-01,2025-04-03,0.135
2025-03-03,2025-01-09,2025-03-03,2025-03-05,0.1377
2025-02-03,2025-01-09,2025-02-03,2025-02-05,0.1317
2024-12-24,2024-12-20,2024-12-24,2024-12-27,0.1345
2024-12-02,2024-01-18,2024-12-02,2024-12-04,0.1309
2024-11-01,2024-01-18,2024-11-01,2024-11-05,0.1312
2024-10-01,2024-01-18,2024-10-01,2024-10-03,0.1342
2024-09-03,2024-01-18,2024-09-03,2024-09-05,0.1314
2024-08-01,2024-01-18,2024-08-01,2024-08-05,0.1304
2024-07-01,2024-01-18,2024-07-01,2024-07-03,0.1327
2024-06-03,2024-01-18,2024-06-03,2024-06-05,0.1308
2024-05-01,2024-01-18,2024-05-02,2024-05-06,0.131
2024-04-01,2024-01-18,2024-04-02,2024-04-04,0.1279
2024-03-01,2024-01-18,2024-03-04,2024-03-06,0.1312
2024-02-01,2024-01-18,2024-02-02,2024-02-06,0.1274
2023-12-22,2023-12-20,2023-12-26,2023-12-28,0.1283
2023-12-01,2022-12-26,2023-12-04,2023-12-06,0.1276
2023-11-01,2022-12-26,2023-11-02,2023-11-06,0.118
2023-10-02,2022-12-26,2023-10-03,2023-10-05,0.1241
2023-09-01,2022-12-26,2023-09-05,2023-09-07,0.1196
2023-08-01,2022-12-26,2023-08-02,2023-08-04,0.1171
2023-07-03,2022-12-26,2023-07-05,2023-07-07,0.1173
2023-06-01,2022-12-26,2023-06-02,2023-06-06,0.1147
2023-05-01,2022-12-26,2023-05-02,2023-05-04,0.1154
2023-04-03,2022-12-26,2023-04-04,2023-04-06,0.1127
2023-03-01,2022-12-26,2023-03-02,2023-03-06,0.1178
2023-02-01,2022-12-26,2023-02-02,2023-02-06,0.1122
2022-12-23,2022-12-21,2022-12-27,2022-12-29,0.1106
2022-12-01,2022-01-07,2022-12-02,2022-12-06,0.1066
2022-11-01,2022-01-07,2022-11-02,2022-11-04,0.0932
2022-10-03,2022-01-07,2022-10-04,2022-10-06,0.098
2022-09-01,2022-01-07,2022-09-02,2022-09-07,0.0931
2022-08-01,2022-01-07,2022-08-02,2022-08-04,0.087
2022-07-01,2022-01-07,2022-07-05,2022-07-07,0.0813
2022-06-01,,,,0.076
2022-05-02,2022-04-28,2022-05-03,2022-05-05,0.0704
2022-04-01,2022-03-30,2022-04-04,2022-04-06,0.0682
2022-03-01,2022-01-07,2022-03-02,2022-03-04,0.0798
2022-02-01,2022-01-07,2022-02-02,2022-02-04,0.0703
2021-12-23,2021-12-21,2021-12-27,2021-12-29,0.0694
2021-12-01,2021-11-29,2021-12-02,2021-12-06,0.0745
2021-11-01,2021-10-28,2021-11-02,2021-11-04,0.0715
2021-10-01,2021-09-30,2021-10-04,2021-10-06,0.0749
2021-09-01,2021-08-30,2021-09-02,2021-09-07,0.0721
2021-08-02,2021-07-29,2021-08-03,2021-08-05,0.0716
2021-07-01,2021-06-29,2021-07-02,2021-07-07,0.0747
2021-06-01,,,,0.074
2021-05-03,2021-04-29,2021-05-04,2021-05-06,0.0778
2021-04-01,2021-03-30,2021-04-05,2021-04-07,0.0774
2021-03-01,2021-02-26,2021-03-02,2021-03-04,0.0867
2021-02-01,2021-01-28,2021-02-02,2021-02-04,0.0782
2020-12-23,2020-12-21,2020-12-24,2020-12-29,0.0829
2020-12-01,2020-11-30,2020-12-02,2020-12-04,0.0889
2020-11-02,2020-10-29,2020-11-03,2020-11-05,0.0848
2020-10-01,2020-09-29,2020-10-02,2020-10-06,0.0891
2020-09-01,2020-08-28,2020-09-02,2020-09-04,0.0884
2020-08-03,2020-07-30,2020-08-04,2020-08-06,0.0909
2020-07-01,,,,0.0907
2020-06-01,,,,0.0961
2020-05-01,,,,0.0934
2020-04-01,2020-03-30,2020-04-02,2020-04-06,0.1055
2020-03-02,,,,0.0897
2020-02-03,,,,0.097
2019-12-23,,,,0.099
2019-12-02,,,,0.098
2019-11-01,,,,0.1015
2019-10-01,,,,0.1001
2019-09-03,,,,0.1034
2019-08-01,,,,0.1055
2019-07-01,,,,0.1033
2019-06-03,,,,0.1062
2019-05-01,,,,0.1023
2019-04-01,,,,0.1063
2019-03-01,,,,0.0968
2019-02-01,,,,0.1071
2018-12-24,,,,0.1034
2018-12-03,,,,0.1007
2018-11-01,,,,0.1071
2018-10-01,,,,0.0958
2018-09-04,,,,0.1005
2018-08-01,,,,0.0996
2018-07-02,,,,0.0908
2018-06-01,,,,0.0926
2018-05-01,,,,0.0934
2018-04-02,,,,0.0929
2018-03-01,,,,0.0827
2018-02-01,,,,0.0887
2017-12-26,,,,0.0885
2017-12-01,,,,0.09
2017-11-01,,,,0.08
2017-10-02,,,,0.086
2017-09-01,,,,0.088
2017-08-01,,,,0.084
2017-07-03,,,,0.087
2017-06-01,,,,0.086
2017-05-01,,,,0.088
2017-04-03,,,,0.077
2017-03-01,,,,0.083
2017-02-01,,,,0.073
2016-12-22,,,,0.078
2016-12-01,,,,0.082
2016-11-01,,,,0.063
2016-10-03,,,,0.072
2016-09-01,,,,0.084
2016-08-01,,,,0.064
2016-07-01,,,,0.067
2016-06-01,,,,0.051
2016-05-02,,,,0.071
2016-04-01,,,,0.066
2016-03-01,,,,0.071
2016-02-01,,,,0.065
2015-12-23,,,,0.103
2015-12-01,,,,0.032
2015-11-02,,,,0.067
2015-10-01,,,,0.076
2015-09-01,,,,0.019
