date,open,high,low,close,5. adjusted close,6. volume,7. dividend amount
2015-09-30,50.0700,50.2600,49.6150,50.2400,39.2718,822868,0.0190
2015-10-30,50.2100,50.4600,50.1400,50.4200,39.4722,814826,0.0760
2015-11-30,50.2900,50.5600,50.0000,50.5300,39.6111,981704,0.0670
2015-12-31,50.5300,51.0100,50.4180,50.9900,40.0781,1983531,0.1350
2016-01-29,51.0600,51.4800,51.0000,51.2500,40.2825,1637517,0.0000
2016-02-29,51.2600,51.7539,51.2200,51.3400,40.4044,1681533,0.0650
2016-03-31,51.3700,51.4890,51.0000,51.4500,40.5471,1555624,0.0710
2016-04-29,51.4300,51.9300,51.3664,51.8280,40.8974,1652322,0.0660
2016-05-31,51.8000,52.0700,51.7000,51.8800,40.9947,1629663,0.0710
2016-06-30,51.9100,52.7900,51.7729,52.7000,41.6836,1831848,0.0510
2016-07-29,52.7000,52.8800,52.3000,52.6500,41.6970,1690247,0.0670
2016-08-31,52.4100,52.6965,52.3200,52.6004,41.7086,2091278,0.0640
2016-09-30,52.4800,52.5900,52.1301,52.2000,41.4574,2261531,0.0840
2016-10-31,52.2000,52.2550,51.5100,51.7200,41.1329,2166327,0.0720
2016-11-30,51.5700,51.7600,49.6500,49.6900,39.5667,4821101,0.0630
2016-12-30,49.5600,50.9000,49.3200,50.2600,40.1494,8211357,0.1600
2017-01-31,50.1700,50.8000,50.1500,50.3800,40.2453,6594420,0.0000
2017-02-28,50.2000,50.6300,50.1315,50.6100,40.4878,4086819,0.0730
2017-03-31,50.4100,50.7500,50.0600,50.6400,40.5786,4901004,0.0830
2017-04-28,50.6000,51.1000,50.5500,50.8300,40.7927,6581635,0.0770
2017-05-31,50.7300,51.5400,50.6600,51.5300,41.4263,4886374,0.0880
2017-06-30,51.4300,51.6400,51.2500,51.3200,41.3265,5370335,0.0860
2017-07-31,51.2500,51.6600,50.9700,51.6500,41.6629,4911205,0.0870
2017-08-31,51.5300,52.0200,51.5300,51.9900,42.0054,6983913,0.0840
2017-09-29,51.8900,52.0699,51.6100,51.6600,41.8096,5079507,0.0880
2017-10-31,51.5800,51.9500,51.5400,51.6500,41.8712,7546392,0.0860
2017-11-30,51.5600,51.9000,51.2000,51.4100,41.7413,7458510,0.0800
2017-12-29,51.4000,51.9500,51.3100,51.6800,42.1060,8392016,0.1785
2018-01-31,51.6700,51.7000,51.0400,51.1000,41.6335,12359197,0.0000
2018-02-28,51.0000,51.0800,50.5700,50.6900,41.3715,11235697,0.0887
2018-03-29,50.6700,50.8300,50.5700,50.8200,41.5452,8534104,0.0827
2018-04-30,50.6400,50.7900,50.3600,50.5300,41.3838,9575615,0.0929
2018-05-31,50.4300,51.1200,50.3900,51.0300,41.8707,14141996,0.0934
2018-06-29,50.8000,51.0200,50.7800,50.9800,41.9058,11865214,0.0926
2018-07-31,50.9000,51.1800,50.8500,51.0300,42.0217,7796749,0.0908
2018-08-31,50.8400,51.0600,50.8100,51.0000,42.0793,10268844,0.0996
2018-09-28,50.8600,50.8700,50.3700,50.5100,41.7574,15929829,0.1005
2018-10-31,50.4000,50.4600,49.9900,50.1600,41.5469,24517823,0.0958
2018-11-30,50.0200,50.6000,49.8500,50.5400,41.9513,20535463,0.1071
2018-12-31,50.4300,51.0700,50.4000,51.0500,42.5453,19321521,0.2041
2019-01-31,51.0700,51.3400,50.8600,51.2900,42.7453,11725895,0.0000
2019-02-28,51.2200,51.6200,51.1100,51.4800,42.9935,11909206,0.1071
2019-03-29,51.3700,52.2300,51.3300,52.1500,43.6352,10893519,0.0968
2019-04-30,52.0000,52.3300,51.9000,52.2900,43.8418,12155308,0.1063
2019-05-31,52.2200,53.0100,52.1800,52.9800,44.5074,10689378,0.1023
2019-06-28,52.9200,53.0900,52.8400,53.0700,44.6724,9262481,0.1062
2019-07-31,52.9600,53.4300,52.9200,53.4200,45.0548,11805018,0.1033
2019-08-30,53.3200,54.1900,53.3135,54.1300,45.7438,12005620,0.1055
2019-09-30,53.9800,54.0600,53.2000,53.6200,45.3995,10107805,0.1034
2019-10-31,53.4000,53.8700,53.3700,53.5900,45.4589,12160684,0.1001
2019-11-29,53.5400,53.6100,53.1200,53.5700,45.5282,16797809,0.1015
