ex_dividend_date,declaration_date,record_date,payment_date,amount
2026-04-01,2026-03-30,2026-04-01,2026-04-06,0.0227
2025-12-18,2025-04-03,2025-12-18,2025-12-22,0.711
2025-10-01,2025-09-29,2025-10-01,2025-10-03,0.6481
2025-07-01,2025-01-08,2025-07-01,2025-07-03,0.426
2025-04-01,2025-01-08,2025-04-01,2025-04-03,0.0978
2024-12-24,2024-12-20,2024-12-24,2024-12-27,0.529
2024-10-01,2024-09-27,2024-10-01,2024-10-03,0.3083
2024-07-01,2024-06-28,2024-07-01,2024-07-03,0.4435
2024-04-01,2024-03-28,2024-04-02,2024-04-04,0.0267
2023-12-22,2023-12-21,2023-12-26,2023-12-28,0.6375
2023-12-01,2023-11-29,2023-12-04,2023-12-06,0.0
2023-10-02,2023-09-28,2023-10-03,2023-10-05,0.3419
2023-07-03,2023-06-29,2023-07-05,2023-07-07,0.3491
2023-04-03,2023-03-30,2023-04-04,2023-04-06,0.0287
2022-12-23,2022-12-21,2022-12-27,2022-12-29,1.117
2022-10-03,2022-09-29,2022-10-04,2022-10-06,0.9044
2022-07-01,2022-06-29,2022-07-05,2022-07-07,0.6849
2022-04-01,2022-03-30,2022-04-04,2022-04-06,0.4869
2021-12-23,2021-12-22,2021-12-27,2021-12-29,0.9582
2021-10-01,2021-09-30,2021-10-04,2021-10-06,0.8742
2021-07-01,2021-06-30,2021-07-02,2021-07-07,0.4808
2021-03-25,2021-03-24,2021-03-26,2021-03-30,0.0939
2020-12-23,2020-12-22,2020-12-24,2020-12-29,0.333
2020-10-01,2020-09-30,2020-10-02,2020-10-06,0.2795
2019-12-23,,,,0.3514
2019-09-24,,,,0.4394
2019-06-14,,,,0.1704
2018-12-13,,,,0.3553
2018-09-24,,,,0.5244
2018-06-18,,,,0.293
2017-12-26,,,,0.7415
2016-12-14,,,,0.374
2014-12-18,,,,0.395
2013-12-20,,,,0.023
2012-12-20,,,,0.052
