ex_dividend_date,declaration_date,record_date,payment_date,amount
2026-03-27,2026-01-08,2026-03-27,2026-03-31,0.9982
2025-12-22,2025-04-03,2025-12-22,2025-12-24,0.9508
2025-09-29,2025-01-20,2025-09-29,2025-10-01,0.9072
2025-06-30,2025-01-20,2025-06-30,2025-07-02,0.9132
2025-03-27,2025-01-20,2025-03-27,2025-03-31,0.9854
2024-12-23,2024-03-05,2024-12-23,2024-12-26,0.9412
2024-09-27,2024-03-05,2024-09-27,2024-10-01,0.8707
2024-06-28,2024-03-05,2024-06-28,2024-07-02,0.9519
2024-03-22,2024-03-05,2024-03-25,2024-03-27,0.9105
2023-12-21,2023-03-17,2023-12-22,2023-12-27,1.0017
2023-09-21,2023-03-17,2023-09-22,2023-09-26,0.7984
2023-06-23,2023-03-17,2023-06-26,2023-06-28,0.8265
2023-03-23,2023-03-17,2023-03-24,2023-03-28,0.7862
2022-12-22,2022-12-20,2022-12-23,2022-12-28,0.9305
2022-09-23,2022-09-21,2022-09-26,2022-09-28,0.7955
2022-06-23,2022-06-21,2022-06-24,2022-06-28,0.7491
2022-03-23,2022-03-21,2022-03-24,2022-03-28,0.7082
2021-12-27,2021-12-22,2021-12-28,2021-12-30,0.8592
2021-09-24,2021-09-23,2021-09-27,2021-09-29,0.7242
2021-06-24,2021-06-22,2021-06-25,2021-06-29,0.6753
2021-03-25,2021-03-23,2021-03-26,2021-03-30,0.6716
2020-12-24,2020-12-22,2020-12-28,2020-12-30,0.7818
2020-09-25,2020-09-24,2020-09-28,2020-09-30,0.6741
2020-06-25,2020-06-24,2020-06-26,2020-06-30,0.6999
2020-03-26,2020-03-25,2020-03-27,2020-03-31,0.6136
2019-12-24,,,,0.886
2019-09-16,,,,0.7
2019-06-17,,,,0.5472
2019-03-25,,,,0.772
2018-12-24,,,,0.7209
2018-09-28,,,,0.7142
2018-06-22,,,,0.6034
2018-03-22,,,,0.5661
2017-12-21,,,,0.673
2017-09-22,,,,0.553
2017-06-21,,,,0.575
2017-06-20,,,,0.0
2017-03-24,,,,0.542
2016-12-20,,,,0.727
2016-09-13,,,,0.539
2016-06-14,,,,0.469
2016-03-15,,,,0.48
2015-12-21,,,,0.583
2015-09-25,,,,0.508
2015-06-26,,,,0.468
2015-03-25,,,,0.508
2014-12-22,,,,0.561
2014-09-24,,,,0.465
2014-06-24,,,,0.42
2014-03-25,,,,0.423
2013-12-20,,,,0.494
2013-09-23,,,,0.429
2013-06-24,,,,0.386
2013-03-22,,,,0.364
2012-12-20,,,,0.545
2012-09-24,,,,0.364
2012-06-25,,,,0.346
2012-03-26,,,,0.308
2011-12-21,,,,0.361
2011-09-23,,,,0.306
2011-06-24,,,,0.283
2011-03-25,,,,0.283
2010-12-22,,,,0.346
2010-09-24,,,,0.297
2010-06-24,,,,0.269
2010-03-25,,,,0.236
2009-12-22,,,,0.358
2009-09-24,,,,0.248
2009-06-24,,,,0.223
2009-03-25,,,,0.278
2008-12-22,,,,0.335
2008-09-24,,,,0.296
2008-06-24,,,,0.313
2008-03-25,,,,0.623
2007-12-20,,,,0.771
2007-09-24,,,,0.642
2007-06-25,,,,0.571
2007-03-26,,,,0.611
2006-12-22,,,,0.712
2006-09-25,,,,0.529
2006-06-26,,,,0.535
2006-03-20,,,,0.526
2005-12-27,,,,0.672
2005-09-26,,,,0.57
2005-06-27,,,,0.403
2005-03-24,,,,0.438
2004-12-27,,,,0.785
2004-09-27,,,,0.387
2004-06-28,,,,0.38
2004-03-29,,,,0.35
2003-12-22,,,,0.442
2003-09-29,,,,0.34
2003-06-23,,,,0.3
2003-03-31,,,,0.3
2002-12-23,,,,0.392
2002-09-30,,,,0.3
2002-06-24,,,,0.26
2002-03-25,,,,0.3
2001-12-24,,,,0.393
2001-09-24,,,,0.315
2001-06-25,,,,0.28
