date,open,high,low,close,5. adjusted close,6. volume,7. dividend amount
2001-06-29,115.1000,118.0000,110.1000,113.0000,36.5405,7571500,0.2800
2001-07-31,112.6000,113.9000,106.8000,110.8000,35.8291,2383600,0.0000
2001-08-31,111.2000,112.4000,103.4000,104.4000,33.7596,906100,0.0000
2001-09-28,104.3000,106.1000,86.8000,94.9500,30.8096,1813800,0.3150
2001-10-31,94.2000,101.2000,93.3100,96.9000,31.4423,6473300,0.0000
2001-11-30,97.4500,106.4000,96.1300,104.3000,33.8435,2267800,0.0000
2001-12-31,103.9000,107.9000,102.8000,105.4000,34.3279,1988400,0.3930
2002-01-31,106.0000,108.8000,100.4000,104.5000,34.0348,3476100,0.0000
2002-02-28,104.7000,104.7000,99.4500,102.6000,33.4160,2629400,0.0000
2002-03-28,102.9000,108.8000,102.9000,106.1000,34.6548,1997500,0.3000
2002-04-30,106.5000,106.5000,99.9000,101.4000,33.1196,2983800,0.0000
2002-05-31,101.4000,103.8000,98.4400,99.9500,32.6460,1475400,0.0000
2002-06-28,100.0000,100.4000,89.1500,92.8000,30.3953,2711800,0.2600
2002-07-31,93.0000,93.0000,73.0900,85.0600,27.8602,5542900,0.0000
2002-08-30,84.6000,90.2600,78.2000,85.7100,28.0731,4210400,0.0000
2002-09-30,84.3000,86.4900,75.4300,76.7500,25.2366,3815900,0.3000
2002-10-31,77.5500,84.6000,72.0000,82.5000,27.1273,6244200,0.0000
2002-11-29,82.1000,88.2500,81.5900,87.4500,28.7550,3433200,0.0000
2002-12-31,89.0800,89.4000,81.4500,82.6300,27.2973,5418600,0.3920
2003-01-31,83.4000,87.4500,78.8500,80.3400,26.5408,3679100,0.0000
2003-02-28,80.7000,81.2000,75.7600,79.1000,26.1312,4976600,0.0000
2003-03-31,79.8000,84.0600,74.3900,79.4000,26.3294,8439500,0.3000
2003-04-30,79.8500,86.7100,79.5000,86.2400,28.5975,5221000,0.0000
2003-05-30,85.9500,91.4500,84.8800,91.2700,30.2655,3340200,0.0000
2003-06-30,92.1500,96.1500,91.4100,92.4500,30.7561,2765400,0.3000
2003-07-31,92.2000,96.7200,91.3400,94.6000,31.4713,2027600,0.0000
2003-08-29,94.4500,97.1000,91.6500,96.8600,32.2232,1920000,0.0000
