date,open,high,low,close,5. adjusted close,6. volume,7. dividend amount
2000-12-29,29.0800,30.9600,27.8000,29.2600,18.8469,0,0.0000
2001-01-31,28.2800,30.6000,28.2800,30.3900,19.5747,0,0.0000
2001-02-28,30.5100,30.5100,27.5200,27.5200,17.7261,0,0.0000
2001-03-30,27.5300,28.0100,24.6700,25.6000,16.5368,0,0.0730
2001-04-30,25.2000,27.6900,24.2100,27.6900,17.8869,0,0.0000
2001-05-31,28.0700,29.2400,27.6600,27.9700,18.0678,0,0.0000
2001-06-29,28.1200,28.6800,26.9300,27.4500,17.7742,0,0.0650
2001-07-31,27.6100,27.6100,26.1400,26.9800,17.4699,0,0.0000
2001-08-31,27.1100,27.2100,25.2500,25.3600,16.4209,0,0.0000
2001-09-28,25.3400,25.3400,21.4000,23.0000,14.9457,0,0.0760
2001-10-31,22.8900,24.5100,22.8900,23.5800,15.3226,0,0.0000
2001-11-30,24.0800,25.7200,24.0800,25.3900,16.4988,0,0.0000
2001-12-31,25.1700,26.1300,25.1100,25.7500,16.7948,0,0.0950
2002-01-31,25.8500,26.2900,24.8200,25.4200,16.5796,0,0.0000
2002-02-28,25.2400,25.2400,24.2800,24.9000,16.2404,0,0.0000
2002-03-28,25.4500,26.4200,25.4500,25.9200,16.9533,0,0.0730
2002-04-30,25.8900,25.8900,24.3500,24.6500,16.1226,0,0.0000
2002-05-31,24.8400,25.2300,24.0200,24.3600,15.9330,0,0.0000
2002-06-28,23.7700,23.9400,22.1800,22.5700,14.8034,0,0.0630
2002-07-31,22.0600,22.4100,18.3000,20.7600,13.6162,0,0.0000
2002-08-30,20.2100,21.8900,19.0700,20.8800,13.6949,0,0.0000
2002-09-30,20.0600,20.7900,18.7000,18.7000,12.3124,0,0.0730
2002-10-31,19.3600,20.3800,17.6700,20.1300,13.2539,0,0.0000
2002-11-29,20.4900,21.4100,19.9200,21.3500,14.0572,0,0.0000
2002-12-31,21.3400,21.3400,19.9800,20.0700,13.2760,0,0.0950
2003-01-31,20.6900,21.1600,19.3100,19.5600,12.9386,0,0.0000
2003-02-28,19.6300,19.6300,18.6800,19.2300,12.7203,0,0.0000
2003-03-31,19.1000,20.4300,18.3600,19.3700,12.8605,0,0.0730
2003-04-30,19.5900,20.9700,19.5900,20.9600,13.9161,0,0.0000
2003-05-30,20.9500,22.2400,20.9500,22.2400,14.7660,0,0.0000
2003-06-30,22.3300,23.3200,22.3300,22.4900,14.9789,0,0.0720
2003-07-31,22.6500,23.3300,22.6500,23.0200,15.3319,0,0.0000
2003-08-29,22.7800,23.5700,22.4200,23.5700,15.6982,0,0.0000
2003-09-30,23.9000,24.3200,23.2100,23.2200,15.5204,0,0.0830
2003-10-31,23.7300,24.6400,23.7300,24.6400,16.4695,0,0.0000
2003-11-28,24.8600,24.9900,24.3200,24.9900,16.7035,0,0.0000
2003-12-31,25.2800,25.9900,24.8700,25.9900,17.4467,0,0.1100
2004-01-30,25.9400,27.1700,25.9400,26.5700,17.8360,0,0.0000
2004-02-27,26.6500,27.2300,26.3800,26.9600,18.0978,0,0.0000
2004-03-31,27.2400,27.3100,25.7500,26.5800,17.9009,0,0.0850
2004-04-30,26.7500,27.1600,26.0200,26.0200,17.5237,0,0.0000
2004-05-28,26.2500,26.3800,25.3800,26.3800,17.7662,0,0.0000
2004-06-30,26.4100,26.9000,26.2600,26.8300,18.1336,0,0.0950
2004-07-30,26.5600,26.5600,25.3400,25.8100,17.4442,0,0.0000
2004-08-31,25.9200,25.9800,24.8500,25.8900,17.4983,0,0.0000
2004-09-30,25.9700,26.6200,25.9300,26.2500,17.8068,0,0.0960
2004-10-29,26.6500,26.9100,25.9100,26.7000,18.1121,0,0.0000
2004-11-30,26.7200,28.1000,26.7100,27.9500,18.9600,0,0.0000
2004-12-31,28.3600,28.8500,27.9900,28.7700,19.6469,0,0.1920
2005-01-31,28.4900,28.4900,27.5300,28.0000,19.1211,0,0.0000
2005-02-28,28.1900,28.7600,28.1000,28.5900,19.5240,0,0.0000
2005-03-31,28.7500,29.1100,27.6000,27.9800,19.1804,0,0.1060
2005-04-29,27.8100,28.2300,26.9800,27.3300,18.7348,0,0.0000
2005-05-31,27.4700,28.5000,27.3400,28.3600,19.4409,0,0.0000
2005-06-30,28.6300,29.1000,28.4100,28.5000,19.6035,0,0.0970
2005-07-29,28.6000,29.8800,28.6000,29.6800,20.4151,0,0.0000
2005-08-31,29.7200,29.9300,28.9600,29.4000,20.2225,0,0.0000
2005-09-30,29.4400,29.9100,29.1200,29.5100,20.3944,0,0.1380
2005-10-31,29.5100,29.5100,28.1500,28.9600,20.0143,0,0.0000
2005-11-30,28.8700,30.5400,28.8700,30.1200,20.8160,0,0.0000
2005-12-30,30.5100,30.7100,30.0000,30.0000,20.8426,0,0.1610
2006-01-31,30.4800,31.2100,30.4800,31.0500,21.5721,0,0.0000
2006-02-28,31.1000,31.3900,30.4300,31.0600,21.5790,0,0.0000
2006-03-31,31.3500,31.6200,30.8100,31.4900,21.9658,0,0.1270
2006-04-28,31.5100,31.9100,31.2100,31.8400,22.2099,0,0.0000
2006-05-31,31.7200,32.2700,30.4400,30.8100,21.4914,0,0.0000
2006-06-30,31.2300,31.3000,29.5400,30.7400,21.5348,0,0.1290
2006-07-31,30.9800,30.9800,29.7100,30.7100,21.5137,0,0.0000
2006-08-31,30.5300,31.4200,30.3900,31.4200,22.0111,0,0.0000
2006-09-29,31.5800,32.0900,31.1500,32.0000,22.5085,0,0.1280
2006-10-31,31.8600,33.4100,31.8600,33.1400,23.3104,0,0.0000
2006-11-30,32.8600,33.9800,32.8100,33.8800,23.8309,0,0.0000
2006-12-29,33.7900,34.4800,33.7900,34.0900,24.0997,0,0.1720
2007-01-31,34.0700,34.7300,33.8700,34.7300,24.5522,0,0.0000
2007-02-28,34.9500,35.4100,34.0000,34.1700,24.1563,0,0.0000
2007-03-30,34.0900,34.8600,33.2700,34.4100,24.4281,0,0.1460
2007-04-30,34.5100,36.1600,34.5100,35.8000,25.4149,0,0.0000
2007-05-31,35.8800,37.1200,35.8800,37.1200,26.3520,0,0.0000
2007-06-29,37.2700,37.3500,36.0700,36.3600,25.9104,0,0.1380
2007-07-31,36.7700,37.5700,35.1300,35.1300,25.0339,0,0.0000
2007-08-31,35.3300,36.0700,33.9400,35.6400,25.3974,0,0.0000
2007-09-28,36.0200,36.9500,35.1000,36.7700,26.3146,0,0.1570
2007-10-31,37.2800,37.8000,36.2500,37.4400,26.7941,0,0.0000
2007-11-30,36.4600,36.7200,34.0200,35.7700,25.5990,0,0.0000
2007-12-31,35.5600,36.6900,34.9000,35.3600,25.4417,0,0.1880
2008-01-31,34.8700,34.8700,31.4700,33.2100,23.8948,0,0.0000
2008-02-29,33.6900,33.6900,32.0500,32.2000,23.1681,0,0.0000
2008-03-31,32.2100,32.5600,30.7400,31.8600,23.0309,0,0.1520
2008-04-30,32.9700,33.7300,32.0600,33.4600,24.1875,0,0.0000
2008-05-30,34.0200,34.6000,33.4700,34.1700,24.7007,0,0.0000
2008-06-30,33.8300,34.3800,31.2200,31.2200,22.6755,0,0.1530
2008-07-31,31.3300,31.3600,29.6400,30.9800,22.5011,0,0.0000
2008-08-29,30.8400,31.9100,30.4900,31.4800,22.8643,0,0.0000
2008-09-30,31.3200,31.3200,27.0500,28.4200,20.7432,0,0.1430
2008-10-31,28.2600,28.2600,20.3600,23.4100,17.0865,0,0.0000
2008-11-28,23.3600,24.2400,18.0000,21.5700,15.7435,0,0.0000
2008-12-31,19.5700,22.0200,19.5700,21.8000,16.0313,0,0.1610
