date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2025-11-21,183.645,186.32,183.31,185.41,183.437561773316,10862706,0.0,1.0
2025-11-24,185.68,186.23,184.63,185.3,183.328731980991,6141038,0.0,1.0
2025-11-25,186.12,188.28,186.0,188.02,186.019795936675,4515198,0.0,1.0
2025-11-26,188.21,189.86,188.04,189.23,187.216923652255,2752351,0.0,1.0
2025-11-28,189.43,190.7339,189.35,190.48,188.453625837772,1434086,0.0,1.0
2025-12-01,189.75,190.55,189.035,189.15,187.137774712382,3074940,0.0,1.0
2025-12-02,189.28,189.41,188.27,188.85,186.840966187858,3097954,0.0,1.0
2025-12-03,189.225,190.7251,189.052,190.59,188.562455630097,3254471,0.0,1.0
2025-12-04,190.5,190.94,190.02,190.57,188.542668395129,3497199,0.0,1.0
2025-12-05,190.62,191.38,190.22,190.36,188.334902427962,3212069,0.0,1.0
2025-12-08,190.49,190.55,189.16,189.44,187.424689619422,2576068,0.0,1.0
2025-12-09,189.54,190.495,188.87,188.93,186.920115127731,2593716,0.0,1.0
2025-12-10,189.16,191.92,188.98,191.56,189.522136526058,4802480,0.0000,1.0
2025-12-11,191.42,193.26,191.38,193.14,191.085328088551,4244742,0.0000,1.0
2025-12-12,193.65,193.7758,192.04,192.5,190.452136569567,5091042,0.0000,1.0
2025-12-15,193.24,193.73,192.51,193.23,191.174370645909,3627186,0.0000,1.0
2025-12-16,193.19,193.29,190.875,191.36,189.324264176376,4391966,0.0000,1.0
2025-12-17,191.61,192.21,190.66,190.97,188.938413094494,6098654,0.0000,1.0
2025-12-18,191.69,192.3658,190.5,190.86,188.829583302169,3957093,0.0000,1.0
2025-12-19,190.85,192.11,190.82,191.3,189.264902471471,3546015,0.0000,1.0
2025-12-22,190.89,191.9402,190.662,191.78,190.715504666994,2933062,0.9862,1.0
2025-12-23,191.61,192.175,191.61,191.9,190.834838594203,3046024,0.0000,1.0
2025-12-24,192.12,193.126,191.96,192.87,191.799454505805,2062843,0.0000,1.0
2025-12-26,192.785,192.9987,192.18,192.78,191.709954060398,2264858,0.0000,1.0
2025-12-29,192.66,193.03,192.2758,192.59,191.521008675652,3819275,0.0000,1.0
2025-12-30,192.62,192.76,192.2,192.37,191.302229809103,2172381,0.0000,1.0
2025-12-31,192.36,192.4799,190.975,190.99,189.929889646205,1976300,0.0000,1.0
