ex_dividend_date,declaration_date,record_date,payment_date,amount
2026-03-27,2026-01-08,2026-03-27,2026-03-31,1.0792
2025-12-22,2025-04-03,2025-12-22,2025-12-24,0.9862
2025-09-29,2025-01-20,2025-09-29,2025-10-01,0.9433
2025-06-30,2025-01-20,2025-06-30,2025-07-02,0.9635
2025-03-27,2025-01-20,2025-03-27,2025-03-31,1.013
2024-12-23,2024-03-05,2024-12-23,2024-12-26,0.9802
2024-09-26,2024-03-05,2024-09-26,2024-09-30,0.9143
2024-06-27,2024-03-05,2024-06-27,2024-07-01,1.0149
2024-03-21,2024-03-05,2024-03-22,2024-03-26,1.0064
2023-12-21,2023-03-17,2023-12-22,2023-12-27,1.0308
2023-09-21,2023-03-17,2023-09-22,2023-09-26,0.8971
2023-06-23,2023-03-17,2023-06-26,2023-06-28,0.9208
2023-03-23,2023-03-17,2023-03-24,2023-03-28,0.8218
2022-12-22,2022-12-20,2022-12-23,2022-12-28,1.0406
2022-09-23,2022-09-21,2022-09-26,2022-09-28,0.864
2022-06-23,2022-06-21,2022-06-24,2022-06-28,0.8354
2022-03-23,2022-03-21,2022-03-24,2022-03-28,0.7922
2021-12-27,2021-12-22,2021-12-28,2021-12-30,0.9031
2021-09-24,2021-09-23,2021-09-27,2021-09-29,0.8055
2021-06-24,2021-06-22,2021-06-25,2021-06-29,0.7421
2021-03-25,2021-03-24,2021-03-26,2021-03-30,0.7062
2020-12-24,2020-12-23,2020-12-28,2020-12-30,0.7892
2020-09-25,2020-09-24,2020-09-28,2020-09-30,0.7155
2020-06-25,,,,0.7743
2020-03-26,,,,0.7605
2019-12-24,,,,0.909
2019-09-16,,,,0.6575
2019-06-27,,,,0.6988
2019-03-28,,,,0.735
2018-12-24,,,,0.7083
2018-09-28,,,,0.7312
2018-06-22,,,,0.6279
2018-03-22,,,,0.6029
2017-12-21,,,,0.6472
2017-09-22,,,,0.675
2017-06-23,,,,0.557
2017-03-24,,,,0.558
2016-12-22,,,,0.695
2016-09-13,,,,0.558
2016-06-14,,,,0.484
2016-03-21,,,,0.536
2015-12-21,,,,0.588
2015-09-21,,,,0.525
2015-06-22,,,,0.51
2015-03-25,,,,0.5
2014-12-22,,,,0.513
2014-09-24,,,,0.476
2014-06-24,,,,0.454
2014-03-25,,,,0.43
2013-12-24,,,,0.492
2013-09-23,,,,0.417
2013-06-24,,,,0.391
2013-03-22,,,,0.388
2012-12-24,,,,0.49
2012-09-24,,,,0.388
2012-06-25,,,,0.388
2012-03-26,,,,0.342
2011-12-23,,,,0.408
2011-09-23,,,,0.358
2011-06-24,,,,0.32
2011-03-25,,,,0.317
2010-12-27,,,,0.353
2010-09-24,,,,0.327
2010-06-24,,,,0.307
2010-03-25,,,,0.27
2009-12-22,,,,0.411
2009-09-24,,,,0.3
2009-06-24,,,,0.269
2009-03-25,,,,0.377
2008-12-22,,,,0.431
2008-09-24,,,,0.457
2008-06-24,,,,0.416
2008-03-25,,,,0.439
2007-12-20,,,,0.555
2007-09-24,,,,0.46
2007-06-25,,,,0.378
2007-03-26,,,,0.427
2006-12-22,,,,0.51
2006-09-25,,,,0.375
2006-06-26,,,,0.324
2006-03-20,,,,0.372
2005-12-27,,,,0.468
2005-09-26,,,,0.396
2005-06-27,,,,0.321
2005-03-24,,,,0.296
2004-12-27,,,,0.392
2004-09-27,,,,0.295
2004-06-28,,,,0.264
2004-03-29,,,,0.27
