date,open,high,low,close,5. adjusted close,6. volume,7. dividend amount
2004-02-27,49.4200,50.6300,49.0300,50.5300,28.3033,409100,0.0000
2004-03-31,50.7500,51.2500,48.0000,49.4000,27.8227,160500,0.2700
2004-04-30,49.4400,50.1300,48.4100,48.5600,27.3496,213300,0.0000
2004-05-28,48.5600,49.3200,46.8500,48.9200,27.5523,474000,0.0000
2004-06-30,48.7700,50.3600,48.7400,49.8600,28.2312,1411800,0.2640
2004-07-30,49.5400,49.5900,48.0900,49.1100,27.8066,173700,0.0000
2004-08-31,49.1100,49.9900,47.8100,49.8100,28.2029,602600,0.0000
2004-09-30,50.0500,51.2900,48.6500,50.1200,28.5461,1239500,0.2950
2004-10-29,50.4500,51.4800,49.2000,50.9000,28.9904,4499800,0.0000
2004-11-30,51.0300,53.8000,50.8600,53.3300,30.3744,745200,0.0000
2004-12-31,53.6000,56.0300,53.0800,54.7500,31.4073,1702400,0.3920
2005-01-31,55.0100,55.0100,53.0000,53.6600,30.7820,876600,0.0000
2005-02-28,53.6000,55.7900,53.6000,55.5000,31.8375,1058600,0.0000
2005-03-31,55.6500,56.5400,53.3200,54.2500,31.2922,1337100,0.2960
2005-04-29,54.6400,54.8100,52.4300,53.3900,30.7961,481700,0.0000
2005-05-31,53.6200,54.9700,52.5400,54.7200,31.5633,620700,0.0000
2005-06-30,54.6500,56.4200,54.6500,55.1500,31.9972,940600,0.3210
2005-07-29,55.3200,57.0000,54.4100,56.5600,32.8153,350900,0.0000
2005-08-31,56.7900,57.0500,55.2500,56.2200,32.6180,614000,0.0000
2005-09-30,56.2600,57.5900,55.7500,56.7900,33.1808,657700,0.3960
2005-10-31,56.8300,56.9400,53.3220,55.2900,32.3044,786900,0.0000
2005-11-30,55.2700,58.2200,55.1400,57.2400,33.4438,964600,0.0000
2005-12-30,57.6300,58.5500,57.0200,57.1700,33.6750,707500,0.4680
2006-01-31,57.3700,59.3600,57.1000,58.9000,34.6940,1959100,0.0000
2006-02-28,58.9000,60.1300,57.9700,59.4200,35.0003,951800,0.0000
2006-03-31,59.4200,60.9700,58.8001,59.9900,35.5541,1327400,0.3720
2006-04-28,60.3500,61.5300,59.4200,61.4500,36.4194,754400,0.0000
2006-05-31,61.8000,62.3800,58.6604,59.9700,35.5423,1506400,0.0000
2006-06-30,60.1200,60.9999,57.7800,60.1800,35.8629,1562200,0.3240
2006-07-31,60.4200,61.8800,58.7700,61.7000,36.7687,1133100,0.0000
2006-08-31,61.6000,63.0000,61.0600,62.7300,37.3825,1579500,0.0000
2006-09-29,62.8000,63.9200,62.1200,63.7000,38.1857,1920100,0.3750
2006-10-31,63.8500,66.3200,63.4300,65.7040,39.3870,2484700,0.0000
2006-11-30,65.8900,67.2800,65.1004,67.0600,40.1999,1997600,0.0000
2006-12-29,67.0000,68.9500,66.5000,68.1500,41.1613,4166700,0.5100
2007-01-31,68.5500,68.9800,67.0000,68.7600,41.5297,2827600,0.0000
2007-02-28,69.0600,70.1600,66.9000,67.6700,40.8714,2392900,0.0000
2007-03-30,66.5600,70.4600,65.5000,68.3900,41.5624,3024200,0.4270
2007-04-30,68.5700,71.9299,68.2200,71.2600,43.3066,2015600,0.0000
2007-05-31,71.4500,74.2000,71.0200,73.8100,44.8563,2291100,0.0000
2007-06-29,74.2000,74.3102,70.8600,71.8900,43.9205,2608400,0.3780
2007-07-31,72.5000,74.2870,68.3500,68.5000,41.8494,2663100,0.0000
2007-08-31,68.9400,71.0800,64.8100,69.5000,42.4603,4449500,0.0000
2007-09-28,69.5000,73.1200,67.8500,71.5100,43.9706,5025000,0.4600
2007-10-31,71.5600,74.6700,68.9700,71.6200,44.0382,3979800,0.0000
2007-11-30,70.0400,70.4800,64.0300,68.0100,41.8185,3918800,0.0000
2007-12-31,68.5000,73.0000,65.5200,66.3900,41.1649,5021400,0.5550
2008-01-31,66.3900,66.7200,57.8700,63.2500,39.2179,9393300,0.0000
2008-02-29,63.8800,64.6000,60.5000,60.7800,37.6864,9804500,0.0000
2008-03-31,60.7700,62.5000,56.0000,60.0800,37.5185,10280800,0.4390
2008-04-30,61.5200,63.7799,59.9600,62.6500,39.1234,4677900,0.0000
2008-05-30,62.5800,64.5500,61.4220,62.2900,38.8985,5036600,0.0000
2008-06-30,62.1700,62.3500,55.6410,55.9500,35.1925,5288900,0.4160
2008-07-31,55.5200,57.3400,52.0600,55.8500,35.1296,13800100,0.0000
2008-08-29,56.0000,58.0500,54.9500,56.7600,35.7019,5948000,0.0000
2008-09-30,57.5800,58.7540,50.0000,52.4200,33.2555,11652300,0.4570
2008-10-31,52.8900,60.0000,37.2300,43.9100,27.8567,19420400,0.0000
2008-11-28,43.7800,45.6800,33.0400,40.9900,26.0042,32065500,0.0000
2008-12-31,39.8300,42.4100,36.8400,41.1600,26.3979,28265300,0.4310
2009-01-30,41.3700,42.9000,35.5500,36.5900,23.4669,21999900,0.0000
2009-02-27,36.0000,38.5500,31.6200,31.6300,20.2858,16500500,0.0000
2009-03-31,30.8300,35.9900,28.0300,33.8600,21.9492,20894400,0.3770
2009-04-30,33.6100,38.2988,33.4900,37.5900,24.3671,13821100,0.0000
2009-05-29,37.6800,41.2893,37.3700,40.2600,26.0978,12812200,0.0000
2009-06-30,40.9500,41.7500,38.3800,39.5500,25.8159,9697300,0.2690
2009-07-31,39.7300,42.9900,37.0300,42.7000,27.8721,9653600,0.0000
2009-08-31,43.2400,45.7200,42.7900,44.9300,29.3277,9325200,0.0000
2009-09-30,44.6400,47.6500,43.3903,46.0800,30.2752,8641400,0.3000
2009-10-30,46.0200,48.1290,44.2446,44.8600,29.4736,6810600,0.0000
2009-11-30,45.0300,48.3300,44.4210,47.5800,31.2607,8837600,0.0000
2009-12-31,48.0500,48.6000,47.2400,47.7500,31.6410,7618500,0.4110
2010-01-29,48.2000,49.5360,46.5200,46.5800,30.8657,7282000,0.0000
2010-02-26,46.9000,48.1400,45.0800,47.7985,31.6732,6434300,0.0000
2010-03-31,48.0000,50.8900,47.9000,50.4700,33.6231,7524700,0.2700
2010-04-30,50.7900,52.6700,50.6300,51.3700,34.2227,5612200,0.0000
2010-05-28,51.5700,53.7200,44.9800,47.3800,31.5646,9821400,0.0000
2010-06-30,46.8500,49.2200,44.5600,44.6400,29.9363,7110300,0.3070
2010-07-30,44.6400,48.4600,43.6900,47.6000,31.9213,6202700,0.0000
