date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2025-11-21,220.49,226.7407,219.19,225.27,224.34237997872,17289,0.0,1.0
2025-11-24,225.61,231.4104,225.61,231.1949,230.242882340934,26201,0.0,1.0
2025-11-25,231.15,235.78,230.87,235.6686,234.698160475221,18075,0.0,1.0
2025-11-26,236.49,239.44,235.945,237.8977,236.918081455425,17781,0.0,1.0
2025-11-28,239.3,239.7293,238.37,239.7293,238.742139266803,4628,0.0,1.0
2025-12-01,236.64,237.745,235.32,235.45,234.480460629421,8752,0.0,1.0
2025-12-02,237.02,238.235,235.5065,235.5065,234.536727972915,9740,0.0,1.0
2025-12-03,236.25,240.0254,235.69,239.9544,238.96631234681,12737,0.0,1.0
2025-12-04,239.6,244.0,239.225,243.1571,242.155824223038,23682,0.0,1.0
2025-12-05,243.33,243.64,241.2872,241.7172,240.721853463809,23400,0.0,1.0
2025-12-08,244.24,244.24,241.745,241.988,240.991538359704,12368,0.0,1.0
2025-12-09,241.44,243.912,241.44,242.2784,241.280742546439,13098,0.0,1.0
2025-12-10,241.92,245.86,241.3745,244.3947,243.388328016093,21775,0.0000,1.0
2025-12-11,244.77,248.2394,244.45,247.7213,246.701229695133,27030,0.0000,1.0
2025-12-12,248.26,248.26,242.77,242.9987,241.998076484819,14394,0.0000,1.0
2025-12-15,245.32,245.32,240.2837,240.2837,239.29425635057,13487,0.0000,1.0
2025-12-16,239.72,240.51,238.303,239.7357,238.748512912791,83854,0.0000,1.0
2025-12-17,240.56,241.27,235.34,235.4147,234.445305988265,14334,0.0000,1.0
2025-12-18,238.36,239.84,237.34,237.611,236.632562032777,9474,0.0000,1.0
2025-12-19,238.59,241.685,238.59,241.2434,240.250004484212,12030,0.0000,1.0
2025-12-22,242.91,245.89,242.91,244.4443,244.102275955041,9927,0.6673,1.0
2025-12-23,243.75,243.75,242.3063,242.97,242.630038781008,111576,0.0000,1.0
2025-12-24,242.97,243.49,242.615,243.45,243.109367169759,10738,0.0000,1.0
2025-12-26,243.23,243.23,240.92,241.7269,241.388678114223,6876,0.0000,1.0
2025-12-29,240.81,241.35,239.468,239.9103,239.574619882962,8486,0.0000,1.0
2025-12-30,240.7,240.7,237.875,237.875,237.542167654576,12725,0.0000,1.0
2025-12-31,237.87,237.87,235.99,235.99,235.659805127917,16355,0.0000,1.0
2026-01-02,238.02,239.12,236.13,238.9013,238.567031665774,33201,0.0000,1.0
2026-01-05,241.09,243.7899,240.55,243.4497,243.109067589516,22838,0.0000,1.0
2026-01-06,243.67,246.53,242.15,246.46,246.115155607553,56691,0.0000,1.0
2026-01-07,246.49,246.7775,245.32,245.9478,245.603672272723,21509,0.0000,1.0
2026-01-08,246.25,248.43,245.91,247.9398,247.592885086041,113352,0.0000,1.0
2026-01-09,248.94,251.58,248.94,250.3386,249.988328708825,21817,0.0000,1.0
2026-01-12,248.98,251.88,248.575,251.804,251.45167833565,18006,0.0000,1.0
2026-01-13,253.0,253.0,250.435,251.0356,250.684353473324,32124,0.0000,1.0
2026-01-14,250.95,252.45,249.43,252.3,251.94698433736,17414,0.0000,1.0
2026-01-15,253.14,256.415,253.14,254.3588,254.002903684779,16333,0.0000,1.0
2026-01-16,255.7,256.86,254.2,255.2122,254.855109615946,56817,0.0000,1.0
2026-01-20,251.21,255.115,250.86,252.3035,251.950479440194,19281,0.0000,1.0
2026-01-21,254.64,256.86,251.19,255.9881,255.629923984346,22849,0.0000,1.0
2026-01-22,259.02,259.59,257.95,258.29,257.928603188651,24283,0.0000,1.0
2026-01-23,258.1,258.1,252.8,253.2883,252.933901517782,48099,0.0000,1.0
2026-01-26,252.98,255.3,252.17,252.56,252.206620547933,24675,0.0000,1.0
2026-01-27,253.22,253.22,251.225,252.7265,252.372887582781,19237,0.0000,1.0
2026-01-28,254.51,254.51,251.01,251.6743,251.322159810606,19495,0.0000,1.0
2026-01-29,252.69,252.69,247.23,250.22,249.869894652771,20956,0.0000,1.0
2026-01-30,247.22,250.13,244.78,245.4,245.056638749061,20348,0.0000,1.0
2026-02-02,244.19,249.41,244.19,247.75,247.403350652322,21100,0.0000,1.0
2026-02-03,249.65,249.65,243.43,247.12,246.774232142086,22314,0.0000,1.0
2026-02-04,248.06,248.06,238.94,242.3404,242.001319711096,63501,0.0000,1.0
2026-02-05,239.96,244.1255,237.5646,237.76,237.427328561437,27430,0.0000,1.0
2026-02-06,242.49,248.33,242.49,248.0737,247.726597734486,52171,0.0000,1.0
2026-02-09,247.01,251.16,246.95,250.5073,250.156792665455,72325,0.0000,1.0
2026-02-10,250.64,252.125,249.2253,249.2253,248.876586427165,22823,0.0000,1.0
2026-02-11,251.27,251.27,244.855,247.6251,247.278625411166,19923,0.0000,1.0
2026-02-12,249.34,249.34,241.62,241.62,241.281927687645,16879,0.0000,1.0
2026-02-13,242.88,247.0259,241.92,244.5,244.157898020152,17567,0.0000,1.0
2026-02-17,243.38,246.15,241.925,244.7898,244.447292534861,28580,0.0000,1.0
2026-02-18,245.33,249.26,245.05,246.6814,246.336245826865,15485,0.0000,1.0
2026-02-19,245.58,247.21,244.2264,247.1272,246.781422067917,12786,0.0000,1.0
2026-02-20,246.18,249.94,245.025,246.0956,245.751265472426,25543,0.0000,1.0
2026-02-23,244.75,245.0036,240.865,243.02,242.679968821503,14293,0.0000,1.0
2026-02-24,242.16,246.875,242.16,246.4926,246.147709993956,14646,0.0000,1.0
2026-02-25,248.89,248.89,246.66,247.4631,247.116852079962,13162,0.0000,1.0
2026-02-26,248.09,249.2199,244.71,248.8954,248.54714801998,12736,0.0000,1.0
2026-02-27,245.1,245.42,242.84,244.88,244.537366327914,18110,0.0000,1.0
