ex_dividend_date,declaration_date,record_date,payment_date,amount
2026-03-24,2026-01-06,2026-03-24,2026-03-26,0.3241
2025-12-22,2025-04-03,2025-12-22,2025-12-24,0.6673
2025-09-24,2025-09-22,2025-09-24,2025-09-26,0.2542
2025-06-20,2025-06-17,2025-06-20,2025-06-24,0.3786
2025-03-25,2025-03-22,2025-03-25,2025-03-27,0.2175
2024-12-23,2024-12-19,2024-12-23,2024-12-26,0.4069
2024-09-26,2024-09-24,2024-09-26,2024-09-30,0.2265
2024-06-27,2024-06-25,2024-06-27,2024-07-01,0.2654
2024-03-21,2024-03-19,2024-03-22,2024-03-26,0.2659
2023-12-19,2023-12-15,2023-12-20,2023-12-22,0.4797
2023-09-21,2023-09-19,2023-09-22,2023-09-26,0.3757
2023-06-23,2023-06-22,2023-06-26,2023-06-28,0.273
2023-03-23,2023-03-22,2023-03-24,2023-03-28,0.3285
2022-12-15,2022-12-13,2022-12-16,2022-12-20,0.5067
2022-09-28,2022-09-26,2022-09-29,2022-10-03,0.3927
2022-06-29,2022-06-27,2022-06-30,2022-07-05,0.1393
2022-03-24,2022-03-22,2022-03-25,2022-03-29,0.0633
2021-12-16,2021-12-14,2021-12-17,2021-12-21,0.6243
2021-09-29,2021-09-27,2021-09-30,2021-10-04,0.2342
2021-06-29,2021-06-25,2021-06-30,2021-07-02,0.1064
2021-03-26,2021-03-25,2021-03-29,2021-03-31,0.1942
2020-12-17,2020-12-16,2020-12-18,2020-12-22,0.3871
2020-09-11,2020-09-10,2020-09-14,2020-09-16,0.1928
2020-06-25,2020-06-24,2020-06-26,2020-06-30,0.1965
2020-03-26,2020-03-25,2020-03-27,2020-03-31,0.2343
2019-12-16,,,,0.3582
2019-09-26,,,,0.3451
2019-06-21,,,,0.2477
2019-03-25,,,,0.1679
2018-12-13,,,,0.2518
2018-09-26,,,,0.2669
2018-06-28,,,,0.2129
2018-03-22,,,,0.1451
2017-12-14,,,,0.2366
2017-09-27,,,,0.231
2017-06-28,,,,0.235
2017-03-22,,,,0.165
2016-12-14,,,,0.324
2016-09-20,,,,0.412
2016-06-21,,,,0.174
2016-03-21,,,,0.161
2015-12-21,,,,0.262
2015-09-21,,,,0.473
2014-12-22,,,,0.641
2013-12-24,,,,0.549
2012-12-24,,,,0.562
2011-12-23,,,,0.185
2010-12-27,,,,0.17
