date,open,high,low,close,5. adjusted close,6. volume,7. dividend amount
2010-10-29,54.3600,56.8500,53.2900,56.3899,50.7631,180600,0.0000
2010-11-30,56.6900,59.3000,55.6500,58.6700,52.8156,118500,0.0000
2010-12-31,59.7700,64.2600,59.7700,63.2000,57.0452,263200,0.1700
2011-01-31,63.4600,65.1500,61.6300,62.7100,56.6029,285200,0.0000
2011-02-28,63.3600,67.7500,63.0700,65.8200,59.4100,236800,0.0000
2011-03-31,65.9200,68.7800,62.8300,68.7800,62.0818,227800,0.0000
2011-04-29,69.0200,71.3200,66.7920,71.2500,64.3112,84900,0.0000
2011-05-31,71.4448,71.4448,66.4600,69.5540,62.7804,98000,0.0000
2011-06-30,69.6700,69.6700,63.0700,68.5052,61.8337,133500,0.0000
2011-07-29,68.4400,71.3300,64.4200,65.9400,59.5184,65200,0.0000
2011-08-31,66.7400,66.7400,52.8500,59.9400,54.1027,311400,0.0000
2011-09-30,59.8800,60.5000,52.7500,53.1000,47.9288,108000,0.0000
2011-10-31,52.6200,63.7500,49.4700,61.4700,55.4837,278200,0.0000
2011-11-30,59.1400,62.5148,55.2100,61.0000,55.0594,651300,0.0000
2011-12-30,61.3400,62.6000,58.3200,60.9300,55.1624,523200,0.1850
2012-01-31,62.2700,66.4800,60.3700,65.5300,59.3269,252400,0.0000
2012-02-29,65.8300,69.2800,65.7400,67.5800,61.1829,92000,0.0000
2012-03-30,68.0200,70.6200,65.2200,68.9100,62.3870,180600,0.0000
2012-04-30,68.7700,69.8500,64.8700,67.8800,61.4545,173500,0.0000
2012-05-31,67.7500,68.9925,61.4200,62.8200,56.8735,99300,0.0000
2012-06-29,61.1900,66.2200,60.0400,66.2200,59.9516,154900,0.0000
2012-07-31,66.1400,68.1300,63.5300,65.0100,58.8562,90700,0.0000
2012-08-31,64.8200,68.2700,63.1400,67.4900,61.1014,184500,0.0000
2012-09-28,67.0100,71.7000,67.0000,69.5500,62.9664,417900,0.0000
2012-10-31,70.0100,70.4800,66.2300,67.1900,60.8298,111500,0.0000
2012-11-30,67.3900,68.0460,63.2300,67.5621,61.1667,416900,0.0000
2012-12-31,67.5000,69.8800,66.9850,69.1100,63.0806,211600,0.5620
2013-01-31,71.6800,74.6100,70.5557,73.6300,67.2063,135700,0.0000
2013-02-28,74.1500,76.0800,72.9594,74.3000,67.8178,270200,0.0000
2013-03-28,73.9900,78.3090,73.7900,78.1400,71.3228,107200,0.0000
2013-04-30,77.8200,78.2100,73.8000,77.5900,70.8208,113200,0.0000
2013-05-31,77.4800,83.1600,76.0000,81.9200,74.7730,152200,0.0000
2013-06-28,82.0100,83.3700,78.5100,81.4900,74.3806,132700,0.0000
2013-07-31,81.5200,89.0100,81.5200,87.5820,79.9411,174300,0.0000
2013-08-30,88.3700,89.2046,85.2300,85.5500,78.0864,198500,0.0000
2013-09-30,86.7500,93.7060,85.6600,91.7000,83.6998,119300,0.0000
2013-10-31,91.3500,95.4600,87.8500,93.2300,85.0963,236600,0.0000
2013-11-29,93.2300,97.9300,91.0800,97.0000,88.5374,359400,0.0000
2013-12-31,97.2100,98.8600,92.8500,98.5260,90.4326,367200,0.5490
2014-01-31,98.0900,100.9790,94.1060,96.6500,88.7107,243000,0.0000
2014-02-28,96.5400,102.8400,91.8400,101.3700,93.0430,292700,0.0000
2014-03-31,100.3000,104.1680,96.6600,99.0700,90.9320,705500,0.0000
2014-04-30,99.9200,100.8700,90.6700,93.7000,86.0031,853600,0.0000
2014-05-30,93.6500,95.5400,89.8300,94.6400,86.8659,125100,0.0000
2014-06-30,94.7100,100.6900,93.4406,100.5100,92.2537,507800,0.0000
2014-07-31,101.2300,102.3600,94.5010,94.5100,86.7465,455900,0.0000
2014-08-29,94.5300,100.0000,93.4100,99.5214,91.3463,103900,0.0000
2014-09-30,100.0000,100.5700,94.5100,94.5100,86.7465,77995,0.0000
2014-10-31,94.3700,100.5400,88.0100,100.4600,92.2078,481563,0.0000
2014-11-28,100.3900,102.6460,98.8900,101.3700,93.0430,138563,0.0000
2014-12-31,100.4300,104.8100,98.4000,103.9780,96.0305,125582,0.6410
2015-01-30,103.6700,104.2900,98.7900,100.9500,93.2339,221636,0.0000
2015-02-27,101.3800,109.0000,99.7600,108.2400,99.9667,219993,0.0000
2015-03-31,108.2900,111.9500,106.3920,110.2900,101.8600,203217,0.0000
2015-04-30,109.7200,113.2441,106.6100,107.1000,98.9139,330000,0.0000
2015-05-29,107.5500,111.9100,106.6400,111.1400,102.6451,161813,0.0000
2015-06-30,111.4700,116.0900,110.2299,112.5200,103.9196,284274,0.0000
2015-07-31,113.2200,115.4400,109.3600,112.9500,104.3167,304536,0.0000
2015-08-31,112.8300,113.7190,92.8000,104.3900,96.4110,371092,0.0000
2015-09-30,102.6500,108.2500,94.9060,97.2800,90.2502,212469,0.4730
2015-10-30,97.5800,104.1800,95.4900,102.8500,95.4177,354428,0.0000
2015-11-30,103.2700,107.7100,100.9425,106.6262,98.9210,214894,0.0000
2015-12-31,107.0200,107.4600,99.5102,102.0600,94.9323,197837,0.2620
2016-01-29,99.4500,99.4500,84.5225,90.2300,83.9285,430967,0.0000
2016-02-29,89.5600,90.7300,81.0000,89.7800,83.5099,235540,0.0000
2016-03-31,90.3900,96.6626,90.1400,96.3199,89.7459,132727,0.1610
2016-04-29,95.8100,100.1400,94.7452,97.3000,90.6591,100438,0.0000
2016-05-31,97.6100,100.2500,93.8401,99.6200,92.8207,70915,0.0000
2016-06-30,99.6500,103.2500,93.4399,98.8648,92.2784,106651,0.1740
2016-07-29,99.3700,105.9699,98.0200,105.7700,98.7236,111174,0.0000
2016-08-31,105.9200,108.2240,104.2320,107.0700,99.9370,127698,0.0000
2016-09-30,107.1900,109.4800,104.4400,108.0700,101.2591,70368,0.4120
2016-10-31,107.4300,108.4333,101.1652,101.5500,95.1500,146485,0.0000
2016-11-30,101.6500,113.5800,98.2500,110.7000,103.7233,282914,0.0000
2016-12-30,110.8800,115.6260,108.7800,111.5900,104.8597,380538,0.3240
2017-01-31,113.2000,114.8700,111.4400,113.5700,106.7202,198814,0.0000
2017-02-28,114.3700,118.1114,112.7100,116.3100,109.2950,135192,0.0000
2017-03-31,117.8500,118.5500,113.5400,117.7363,110.7947,123273,0.1650
2017-04-28,117.8800,121.0540,114.2600,119.7283,112.6693,186426,0.0000
2017-05-31,120.1700,120.7000,116.7900,118.5800,111.5887,322793,0.0000
2017-06-30,119.0200,124.1200,118.7300,122.8400,115.8173,137576,0.2350
2017-07-31,122.5900,126.2388,121.0800,123.6582,116.5887,108116,0.0000
2017-08-31,124.2100,124.2100,117.8000,123.2700,116.2227,103167,0.0000
2017-09-29,123.4300,129.8900,122.7000,129.8900,122.6832,110052,0.2310
2017-10-31,130.3500,132.2900,129.4500,131.9300,124.6100,172221,0.0000
2017-11-30,132.5500,136.0100,127.6543,135.6400,128.1142,139705,0.0000
2017-12-29,135.7200,137.0400,131.8300,135.4900,128.2009,205433,0.2366
2018-01-31,136.3200,143.9400,135.9400,140.7100,133.1401,295745,0.0000
2018-02-28,140.1100,141.2900,127.3200,136.8400,129.4783,209437,0.0000
2018-03-29,136.6100,145.8800,134.6200,138.3200,131.0139,183939,0.1451
2018-04-30,138.2400,144.4500,134.0000,138.7200,131.3928,160793,0.0000
2018-05-31,138.5900,148.8100,137.4100,147.4200,139.6333,294904,0.0000
2018-06-29,148.4000,155.9000,146.4000,148.2400,140.6118,287564,0.2129
2018-07-31,147.4700,155.7000,147.1000,150.6200,142.8693,258119,0.0000
2018-08-31,150.6400,160.1400,149.9700,160.1400,151.8994,269924,0.0000
2018-09-28,160.0900,160.0900,155.2500,156.0000,148.2259,191081,0.2669
2018-10-31,157.3500,157.3500,130.4900,136.3900,129.5932,528275,0.0000
2018-11-30,137.2800,144.0700,130.0200,138.5800,131.6740,366194,0.0000
2018-12-31,141.1600,141.1600,113.5400,121.9500,116.0984,660622,0.2518
2019-01-31,120.1400,136.4100,119.1500,136.1500,129.6171,387612,0.0000
2019-02-28,136.2700,146.9899,135.6600,144.9400,137.9853,298767,0.0000
2019-03-29,146.3500,147.2600,138.6800,142.7900,136.1010,244889,0.1679
2019-04-30,144.1300,148.4800,142.3400,147.0500,140.1614,187311,0.0000
2019-05-31,147.4800,150.0000,135.9700,136.3400,129.9531,175905,0.0000
2019-06-28,136.4200,147.7300,135.3200,146.6600,140.0279,258682,0.2477
2019-07-31,148.6700,150.4000,145.3800,148.0400,141.3455,180721,0.0000
2019-08-30,148.2100,149.6800,137.5000,141.5300,135.1299,152265,0.0000
2019-09-30,140.3600,147.6800,138.6600,140.1000,134.0915,276780,0.3451
2019-10-31,140.8800,145.5200,134.4600,144.2300,138.0444,255218,0.0000
2019-11-29,144.8400,153.7700,144.8000,152.7300,146.1798,247319,0.0000
2019-12-31,153.1200,157.5800,149.1800,155.8200,149.4839,222347,0.3582
2020-01-31,156.8400,162.7200,153.6200,154.2000,147.9297,300613,0.0000
2020-02-28,155.0400,164.3700,139.3600,143.0800,137.2619,253288,0.0000
2020-03-31,144.5200,149.2600,94.3000,115.0100,110.5542,968450,0.2343
2020-04-30,109.4600,138.6700,104.2900,132.7300,127.5876,431316,0.0000
2020-05-29,128.9700,149.6100,125.2300,145.2500,139.6226,395659,0.0000
2020-06-30,145.1900,155.6600,139.0500,150.4500,144.8125,437404,0.1965
2020-07-31,150.2400,159.2400,146.8400,155.3100,149.4904,261164,0.0000
2020-08-31,156.3300,166.7150,156.3300,164.7700,158.5959,182514,0.0000
2020-09-30,164.7900,168.2800,153.6600,161.3200,155.4667,195605,0.1928
2020-10-30,162.1500,176.2600,160.1600,162.4100,156.5171,299952,0.0000
2020-11-30,163.6300,193.2400,162.4100,191.0800,184.1469,330145,0.0000
2020-12-31,191.9100,217.4700,189.3393,208.5500,201.3557,676618,0.3871
2021-01-29,210.2100,232.9148,202.9800,218.3100,210.7790,910127,0.0000
2021-02-26,222.1100,247.5500,219.1800,225.1500,217.3831,1371408,0.0000
2021-03-31,229.8000,233.8700,204.1000,218.7600,211.4026,1163860,0.1942
2021-04-30,221.3100,229.6800,213.4000,223.2500,215.7416,510117,0.0000
2021-05-28,225.0600,225.0600,201.7150,217.0400,209.7405,581419,0.0000
2021-06-30,218.3300,229.0000,213.1500,226.9400,219.4103,312260,0.1064
2021-07-30,227.7700,229.8000,206.7350,218.4300,211.1827,325548,0.0000
2021-08-31,219.4400,223.1800,206.9600,222.3600,214.9823,347231,0.0000
2021-09-30,223.1500,227.0000,212.2000,213.9700,207.0954,295160,0.2342
2021-10-29,215.1500,225.0000,210.8000,223.9000,216.7063,212748,0.0000
2021-11-30,224.9900,240.0000,209.8350,213.0300,206.1856,293425,0.0000
2021-12-31,217.0000,219.3900,200.7900,213.3200,207.0993,577964,0.6243
2022-01-31,213.6600,216.8900,169.8000,184.2600,178.8868,538861,0.0000
2022-02-28,184.7200,193.0000,169.0000,185.4500,180.0421,322562,0.0000
2022-03-31,185.3900,192.6250,169.3826,186.0000,180.6372,376171,0.0633
2022-04-29,187.2000,190.0000,163.0000,163.2400,158.5334,263681,0.0000
2022-05-31,163.1600,171.6150,145.0000,160.1500,155.5325,772557,0.0000
2022-06-30,161.4400,165.1400,140.3700,150.0200,145.8288,723142,0.1393
2022-07-29,150.2900,167.1900,147.6500,167.0900,162.4219,397732,0.0000
2022-08-31,165.9700,180.9600,164.7500,165.5700,160.9443,447450,0.0000
2022-09-30,163.6500,171.5000,147.6500,150.4100,146.5799,548285,0.3927
2022-10-31,152.6800,165.3900,146.7000,164.6000,160.4086,395154,0.0000
2022-11-30,166.8100,169.1050,154.6901,166.8300,162.5818,357679,0.0000
2022-12-30,167.7000,168.8600,151.7400,155.7100,152.2330,548987,0.5067
2023-01-31,157.4400,171.4800,153.4440,171.4800,167.6508,351662,0.0000
2023-02-28,171.7300,178.2500,167.4300,169.6100,165.8226,290460,0.0000
2023-03-31,169.6563,173.6400,155.0000,165.0500,161.7007,283750,0.3285
2023-04-28,165.2900,166.8800,159.4700,162.9200,159.6140,194465,0.0000
2023-05-31,162.5600,168.3052,158.6392,163.1800,159.8687,281228,0.0000
2023-06-30,162.9300,177.5400,162.9300,176.4600,173.1565,723342,0.2730
2023-07-31,176.4200,185.1500,170.1250,184.9700,181.5072,209770,0.0000
2023-08-31,183.2700,183.8100,166.9800,175.1300,171.8514,260854,0.0000
2023-09-29,176.6500,176.8750,160.8800,163.1000,160.4164,567470,0.3757
2023-10-31,162.7800,163.8400,148.1200,150.5200,148.0434,319557,0.0000
2023-11-30,150.7400,166.1300,149.0000,164.2500,161.5475,581471,0.0000
2023-12-29,164.2500,187.7815,164.1400,183.5500,181.0037,651362,0.4797
2024-01-31,182.6200,183.8800,172.7400,177.5200,175.0574,796266,0.0000
2024-02-29,179.0600,194.4357,176.5500,191.8500,189.1886,651771,0.0000
2024-03-28,192.3600,199.0000,187.4000,197.1000,194.6308,453349,0.2659
2024-04-30,197.5900,197.5900,177.0450,181.8300,179.5521,580379,0.0000
2024-05-31,181.2400,194.9200,180.6400,191.8900,189.4860,610819,0.0000
2024-06-28,193.6900,195.6200,186.8201,191.0500,188.9182,377668,0.2654
2024-07-31,191.5700,211.8897,188.7500,207.0000,204.6902,909181,0.0000
