ex_dividend_date,declaration_date,record_date,payment_date,amount
2026-03-27,2026-01-08,2026-03-27,2026-03-31,0.4778
2025-12-22,2025-04-03,2025-12-22,2025-12-24,0.4993
2025-09-29,2025-01-20,2025-09-29,2025-10-01,0.5068
2025-06-30,2025-01-20,2025-06-30,2025-07-02,0.5044
2025-03-27,2025-01-20,2025-03-27,2025-03-31,0.5
2024-12-23,2024-02-29,2024-12-23,2024-12-26,0.5344
2024-09-26,2024-02-29,2024-09-26,2024-09-30,0.4546
2024-06-27,2024-02-29,2024-06-27,2024-07-01,0.456
2024-03-21,2024-02-29,2024-03-22,2024-03-26,0.4676
2023-12-21,2023-03-17,2023-12-22,2023-12-27,0.5847
2023-09-21,2023-03-17,2023-09-22,2023-09-26,0.3759
2023-06-23,2023-03-17,2023-06-26,2023-06-28,0.4122
2023-03-23,2023-03-17,2023-03-24,2023-03-28,0.4292
2022-12-22,2022-12-20,2022-12-23,2022-12-28,0.4483
2022-09-23,2022-09-21,2022-09-26,2022-09-28,0.4296
2022-06-23,2022-06-21,2022-06-24,2022-06-28,0.3206
2022-03-23,2022-03-21,2022-03-24,2022-03-28,0.3006
2021-12-27,2021-12-22,2021-12-28,2021-12-30,0.469
2021-09-24,2021-09-23,2021-09-27,2021-09-29,0.3166
2021-06-24,2021-06-22,2021-06-25,2021-06-29,0.3736
2021-03-25,2021-03-23,2021-03-26,2021-03-30,0.3809
2020-12-24,2020-12-23,2020-12-28,2020-12-30,0.4606
2020-09-25,2020-09-24,2020-09-28,2020-09-30,0.4062
2020-06-25,2020-06-24,2020-06-26,2020-06-30,0.4189
2020-03-26,2020-03-25,2020-03-27,2020-03-31,0.3983
2019-12-24,,,,0.508
2019-09-16,,,,0.3854
2019-06-27,,,,0.4126
2019-03-28,,,,0.432
2018-12-24,,,,0.5274
2018-09-28,,,,0.4674
2018-06-22,,,,0.4194
2018-03-22,,,,0.3594
2017-12-21,,,,0.4751
2017-09-22,,,,0.411
2017-06-23,,,,0.341
2017-03-24,,,,0.379
2016-12-22,,,,0.528
2016-09-13,,,,0.376
2016-06-14,,,,0.323
2016-03-21,,,,0.32
2015-12-17,,,,0.413
2015-09-21,,,,0.347
2015-06-22,,,,0.296
2015-03-25,,,,0.332
2014-12-22,,,,0.406
2014-09-24,,,,0.304
2014-06-24,,,,0.275
2014-03-25,,,,0.275
2013-12-24,,,,0.347
2013-09-23,,,,0.278
2013-06-24,,,,0.258
2013-03-22,,,,0.227
2012-12-24,,,,0.422
2012-09-24,,,,0.248
2012-06-25,,,,0.209
2012-03-26,,,,0.194
2011-12-23,,,,0.227
2011-09-23,,,,0.174
2011-06-24,,,,0.195
2011-03-25,,,,0.17
2010-12-27,,,,0.203
2010-09-24,,,,0.203
2010-06-24,,,,0.149
2010-03-25,,,,0.145
2009-12-22,,,,0.179
2009-09-24,,,,0.142
2009-06-24,,,,0.145
2009-03-25,,,,0.148
2008-12-22,,,,0.168
2008-09-24,,,,0.138
2008-06-24,,,,0.14
2008-03-25,,,,0.131
2007-12-20,,,,0.159
2007-09-24,,,,0.154
2007-06-25,,,,0.153
2007-03-26,,,,0.134
2006-12-22,,,,0.153
2006-09-25,,,,0.112
2006-06-26,,,,0.114
2006-03-20,,,,0.149
2005-12-27,,,,0.147
2005-09-26,,,,0.112
2005-06-27,,,,0.091
2005-03-24,,,,0.11
2004-12-27,,,,0.364
2004-09-27,,,,0.089
2004-06-28,,,,0.07
2004-03-29,,,,0.09
