date,open,high,low,close,5. adjusted close,6. volume,7. dividend amount
2004-02-27,49.7000,50.8700,49.3300,50.0400,39.7181,64100,0.0000
2004-03-31,50.4000,50.5200,47.4700,49.1700,39.0991,96900,0.0900
2004-04-30,49.0900,50.3500,48.5200,48.7200,38.7413,295500,0.0000
2004-05-28,48.7700,49.3700,47.1900,49.3700,39.2582,1707200,0.0000
2004-06-30,49.0500,50.2600,48.9100,49.8400,39.6880,594200,0.0700
2004-07-30,49.0900,49.2400,46.0600,46.9900,37.4185,113600,0.0000
2004-08-31,46.8900,47.1400,44.9200,46.5500,37.0681,748800,0.0000
2004-09-30,46.7200,48.0200,46.6600,47.3300,37.7608,1134200,0.0890
2004-10-29,47.6100,48.5200,46.2400,48.0000,38.2954,854000,0.0000
2004-11-30,48.0500,50.6500,47.9100,50.0100,39.8990,607100,0.0000
2004-12-31,50.1600,52.1500,50.1600,51.4000,41.3006,460800,0.3640
2005-01-31,51.6500,51.6500,48.9600,49.7900,40.0070,626400,0.0000
2005-02-28,49.9500,50.9900,49.7500,50.4900,40.5695,177100,0.0000
2005-03-31,50.6300,51.5500,48.8900,49.4200,39.7983,462400,0.1100
2005-04-29,49.6600,50.0000,47.5700,48.2100,38.8238,272300,0.0000
2005-05-31,48.4000,50.9000,48.3800,50.8100,40.9176,737600,0.0000
2005-06-30,50.6700,51.6400,50.1600,50.5700,40.7980,877300,0.0910
2005-07-29,50.6200,53.1400,50.1600,52.7800,42.5810,386500,0.0000
2005-08-31,52.9700,53.2400,51.3100,52.0400,41.9840,727100,0.0000
2005-09-30,52.0000,52.9800,51.0200,52.1900,42.1968,837800,0.1120
2005-10-31,52.2700,52.2700,49.8300,51.7500,41.8410,901600,0.0000
2005-11-30,51.7500,54.7500,51.3700,53.9000,43.5793,839600,0.0000
2005-12-30,54.3500,55.0800,53.5000,53.5000,43.3737,1241700,0.1470
2006-01-31,53.8400,55.8500,53.2801,54.6700,44.3223,1687100,0.0000
2006-02-28,54.9100,55.2900,53.5400,54.5200,44.2006,1011000,0.0000
2006-03-31,54.8200,55.7000,54.0000,55.1700,44.8481,1672600,0.1490
2006-04-28,55.6900,56.0700,54.4101,55.1700,44.8481,947800,0.0000
2006-05-31,55.4000,55.8500,52.1700,53.2900,43.3198,1745500,0.0000
2006-06-30,53.2800,54.4000,50.7500,52.9700,43.1538,2058300,0.1140
2006-07-31,53.1700,53.2800,50.0000,51.7900,42.1925,1411100,0.0000
2006-08-31,51.6500,53.4800,51.1500,53.3800,43.4878,1461600,0.0000
2006-09-29,52.6500,55.0600,52.6500,54.8300,44.7612,1911200,0.1120
2006-10-31,54.9500,57.1300,54.2200,56.6500,46.2470,2147300,0.0000
2006-11-30,56.8800,58.4200,55.8600,58.0000,47.3491,6064700,0.0000
2006-12-29,58.0900,58.9500,57.2900,57.9600,47.4421,2645500,0.1530
2007-01-31,58.2800,60.3600,57.4500,59.3500,48.5798,4597600,0.0000
2007-02-28,59.5400,61.0000,57.0000,58.2500,47.6795,3080100,0.0000
2007-03-30,57.3100,59.5000,56.5000,58.4300,47.9350,6578500,0.1340
2007-04-30,58.5900,61.7600,58.2600,61.0000,50.0434,2965000,0.0000
2007-05-31,61.0000,63.2400,60.6700,63.1400,51.7991,2747000,0.0000
2007-06-29,63.2800,63.5800,61.4100,62.3500,51.2773,2574200,0.1530
2007-07-31,62.5400,64.9300,61.0100,61.0100,50.1753,4505700,0.0000
2007-08-31,61.4100,63.0900,57.5100,62.1900,51.1457,5895300,0.0000
2007-09-28,62.1650,65.0200,61.0300,64.8300,53.4449,6372600,0.1540
2007-10-31,64.9100,67.3900,63.7500,66.7500,55.0277,5463000,0.0000
2007-11-30,66.4800,66.4800,61.7800,64.6000,53.2552,6943300,0.0000
2007-12-31,63.9600,66.6400,62.8800,64.4800,53.2880,5470800,0.1590
2008-01-31,64.9000,64.9000,53.8000,59.3100,49.0154,13776300,0.0000
2008-02-29,59.5500,60.8100,56.8500,58.6300,48.4534,8870600,0.0000
2008-03-31,58.7200,59.3700,55.4100,57.9400,47.9893,9948500,0.1310
2008-04-30,58.3500,62.3000,58.3500,61.4400,50.8883,7086500,0.0000
2008-05-30,61.3400,64.7000,61.2901,63.5900,52.6690,6315000,0.0000
2008-06-30,63.5600,64.3300,58.9200,59.1900,49.1377,6455800,0.1400
2008-07-31,58.7900,59.7900,55.9300,58.2200,48.3324,11966400,0.0000
2008-08-29,58.3400,60.1300,56.9400,58.9200,48.9135,7935400,0.0000
2008-09-30,59.4600,61.5000,49.5733,52.2100,43.4547,15254100,0.1380
2008-10-31,51.5200,51.7600,36.5000,42.9100,35.7142,27700000,0.0000
2008-11-28,42.9000,44.2900,32.9000,39.1900,32.6181,20874200,0.0000
2008-12-31,38.0900,40.0200,35.6500,39.5100,33.0287,25282300,0.1680
2009-01-30,39.4900,41.5600,36.5450,37.5800,31.4153,20501600,0.0000
2009-02-27,37.1600,40.1900,34.6300,34.7700,29.0663,18107600,0.0000
2009-03-31,34.1100,39.0300,32.2100,37.3600,31.3531,24930700,0.1480
2009-04-30,37.1700,41.8900,36.9600,41.0800,34.4750,16368200,0.0000
2009-05-29,41.1800,42.9900,40.6900,42.9800,36.0695,14288700,0.0000
2009-06-30,43.4900,44.8000,41.9753,43.3600,36.5126,14744200,0.1450
2009-07-31,43.6000,47.0200,41.2500,46.4500,39.1146,12239300,0.0000
2009-08-31,46.9200,48.2700,45.6400,47.3700,39.8893,10157100,0.0000
2009-09-30,47.1900,50.3100,46.3400,49.2800,41.6180,6356100,0.1420
2009-10-30,49.1700,51.5400,47.7200,48.6300,41.0691,14503000,0.0000
2009-11-30,48.7700,52.4400,48.4400,51.5300,43.5182,7866300,0.0000
2009-12-31,51.8400,53.8800,51.0820,53.0600,44.9615,8316700,0.1790
2010-01-29,53.5200,54.7700,50.4900,50.6200,42.8940,9887200,0.0000
2010-02-26,50.8800,53.0000,49.4500,52.5800,44.5548,8282800,0.0000
2010-03-31,52.7700,56.0600,52.7500,55.5460,47.1913,8232000,0.1450
2010-04-30,55.9200,58.1600,55.5000,56.3896,47.9080,8764700,0.0000
2010-05-28,56.6400,57.2000,49.4000,51.7300,43.9493,17474000,0.0000
2010-06-30,51.3200,53.8600,48.5500,48.6400,41.4449,11235100,0.1490
2010-07-30,48.6300,53.3600,47.7600,52.2800,44.5465,5816600,0.0000
2010-08-31,53.1000,53.7200,49.3500,49.8100,42.4418,8244300,0.0000
2010-09-30,50.5100,55.7400,50.4500,54.9750,47.0151,7417600,0.2030
2010-10-29,55.3200,58.1180,54.3500,57.8200,49.4482,7301100,0.0000
2010-11-30,58.1100,60.1370,57.3100,58.3900,49.9357,7421000,0.0000
