date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2025-11-21,52.763,53.305,52.5,53.07,52.0579526250173,9722854,0.0,1.0
2025-11-24,53.23,53.65,53.2,53.61,52.5876547998338,10067931,0.0,1.0
2025-11-25,53.69,53.865,53.3312,53.85,52.8230779886411,7508048,0.0,1.0
2025-11-26,54.0,54.21,53.89,54.11,53.0781197765157,7627781,0.0,1.0
2025-11-28,54.18,54.32,54.09,54.3,53.2644964676548,4432113,0.0,1.0
2025-12-01,54.13,54.44,54.12,54.25,53.2154499699866,9267383,0.0,1.0
2025-12-02,54.15,54.19,53.9,54.13,53.0977383755829,7200280,0.0,1.0
2025-12-03,53.9,54.1064,53.84,54.06,53.0290732788475,6788829,0.0,1.0
2025-12-04,54.25,54.25,54.0237,54.18,53.1467848732511,7373047,0.0,1.0
2025-12-05,54.55,54.75,54.34,54.4,53.3625894629912,7700563,0.0,1.0
2025-12-08,54.185,54.37,54.06,54.2,53.1664034723184,9797169,0.0,1.0
2025-12-09,53.905,54.13,53.85,54.11,53.0781197765157,8257632,0.0,1.0
2025-12-10,54.2,54.67,54.1,54.56,53.5195382555294,11644102,0.0000,1.0
2025-12-11,54.21,54.4797,54.05,54.44,53.4018266611257,11380046,0.0000,1.0
2025-12-12,54.505,54.53,53.775,53.94,52.9113616844438,13708343,0.0000,1.0
2025-12-15,54.185,54.19,53.77,53.78,52.7544128919056,9770130,0.0000,1.0
2025-12-16,53.495,53.6,53.285,53.48,52.4601339058965,11144920,0.0000,1.0
2025-12-17,53.67,53.73,53.09,53.13,52.1168084222191,13055679,0.0000,1.0
2025-12-18,53.7,53.89,53.56,53.58,52.5582269012328,12956143,0.0000,1.0
2025-12-19,53.03,53.28,52.955,53.11,53.11,12086556,1.0325,1.0
2025-12-22,53.43,53.5,53.301,53.45,53.45,11853234,0.0000,1.0
2025-12-23,53.4,53.72,53.28,53.7,53.7,12384776,0.0000,1.0
2025-12-24,53.68,53.726659,53.62,53.68,53.68,4991611,0.0000,1.0
2025-12-26,53.84,54.02,53.745,54.02,54.02,8210022,0.0000,1.0
2025-12-29,53.5,53.63,53.44,53.61,53.61,11570865,0.0000,1.0
2025-12-30,53.82,53.91,53.76,53.81,53.81,6283480,0.0000,1.0
2025-12-31,53.93,53.93,53.72,53.76,53.76,7619998,0.0000,1.0
2026-01-02,54.69,54.95,54.64,54.93,54.93,13654025,0.0000,1.0
2026-01-05,55.035,55.3,54.845,55.29,55.29,17010636,0.0000,1.0
2026-01-06,55.605,55.815,55.56,55.59,55.59,16666023,0.0000,1.0
2026-01-07,55.37,55.42,55.19,55.25,55.25,11228503,0.0000,1.0
2026-01-08,55.05,55.34,55.01,55.31,55.31,10794907,0.0000,1.0
2026-01-09,55.24,55.44,55.06,55.43,55.43,8923826,0.0000,1.0
2026-01-12,55.63,56.34,55.63,56.29,56.29,10116945,0.0000,1.0
2026-01-13,56.135,56.185,55.83,55.96,55.96,18907196,0.0000,1.0
2026-01-14,55.95,56.1,55.84,56.08,56.08,22873511,0.0000,1.0
2026-01-15,56.31,56.57,56.12,56.34,56.34,17565667,0.0000,1.0
2026-01-16,56.09,56.15,55.7801,56.0,56.0,12321372,0.0000,1.0
2026-01-20,55.635,55.89,55.48,55.54,55.54,13602171,0.0000,1.0
2026-01-21,56.01,56.32,55.8199,56.11,56.11,17088624,0.0000,1.0
2026-01-22,56.52,56.79,56.43,56.55,56.55,11880533,0.0000,1.0
2026-01-23,56.42,56.8565,56.33,56.77,56.77,15530367,0.0000,1.0
2026-01-26,56.84,57.095,56.795,56.93,56.93,11402603,0.0000,1.0
2026-01-27,57.37,57.69,57.28,57.64,57.64,11594986,0.0000,1.0
2026-01-28,58.025,58.1,57.6203,57.86,57.86,11659204,0.0000,1.0
2026-01-29,57.995,58.059,56.89,57.64,57.64,19033295,0.0000,1.0
2026-01-30,56.955,57.12,56.175,56.47,56.47,21105093,0.0000,1.0
2026-02-02,56.075,56.9053,56.06,56.78,56.78,25274994,0.0000,1.0
2026-02-03,57.005,57.0771,56.3,56.75,56.75,15516566,0.0000,1.0
2026-02-04,57.05,57.05,56.12,56.41,56.41,15093745,0.0000,1.0
2026-02-05,56.16,56.52,55.9,56.04,56.04,11123640,0.0000,1.0
2026-02-06,56.66,57.29,56.66,57.26,57.26,10467315,0.0000,1.0
2026-02-09,57.32,57.86,57.29,57.75,57.75,11064392,0.0000,1.0
2026-02-10,58.02,58.15,57.83,58.01,58.01,9922936,0.0000,1.0
2026-02-11,58.33,58.595,58.0026,58.51,58.51,8333106,0.0000,1.0
2026-02-12,58.61,58.61,57.65,57.76,57.76,10097616,0.0000,1.0
2026-02-13,57.46,57.8499,57.18,57.75,57.75,9795435,0.0000,1.0
2026-02-17,57.52,57.8775,57.15,57.79,57.79,9303304,0.0000,1.0
2026-02-18,57.99,58.2865,57.7801,57.95,57.95,8544772,0.0000,1.0
2026-02-19,57.47,57.595,57.24,57.59,57.59,6588403,0.0000,1.0
2026-02-20,57.48,58.54,57.42,58.53,58.53,7897368,0.0000,1.0
2026-02-23,58.35,58.53,57.95,58.06,58.06,8877826,0.0000,1.0
2026-02-24,58.36,58.82,58.245,58.68,58.68,9636619,0.0000,1.0
2026-02-25,59.09,59.09,58.74,59.01,59.01,6894813,0.0000,1.0
2026-02-26,58.65,58.65,57.88,58.27,58.27,10228315,0.0000,1.0
2026-02-27,57.92,58.22,57.83,58.1,58.1,10700994,0.0000,1.0
2026-03-02,56.81,57.5,56.76,57.24,57.24,12725477,0.0000,1.0
2026-03-03,54.875,55.48,53.94,55.23,55.23,31763841,0.0000,1.0
2026-03-04,55.42,55.67,55.09,55.58,55.58,21718702,0.0000,1.0
2026-03-05,54.94,55.345,54.24,54.85,54.85,15624099,0.0000,1.0
2026-03-06,54.33,54.78,54.115,54.47,54.47,9830010,0.0000,1.0
2026-03-09,53.975,55.335,53.655,55.13,55.13,21269066,0.0000,1.0
2026-03-10,55.39,56.2697,55.195,55.51,55.51,14404000,0.0000,1.0
2026-03-11,55.52,55.805,55.2735,55.56,55.56,12627210,0.0000,1.0
2026-03-12,55.07,55.09,54.2,54.31,54.31,12484537,0.0000,1.0
2026-03-13,54.69,54.955,53.885,54.02,54.02,12987417,0.0000,1.0
2026-03-16,54.8,55.2,54.73,55.02,55.02,10707478,0.0000,1.0
2026-03-17,55.43,55.475,55.1,55.26,55.26,6363806,0.0000,1.0
2026-03-18,54.88,55.055,54.2,54.21,54.21,8065494,0.0000,1.0
2026-03-19,53.315,54.25,53.15,54.01,54.01,17655839,0.0000,1.0
2026-03-20,53.56,53.61,52.39,52.56,52.56,15722762,0.0000,1.0
2026-03-23,53.32,54.27,53.25,53.8,53.8,21109511,0.0000,1.0
2026-03-24,52.995,53.56,52.91,53.31,53.31,15654684,0.0000,1.0
2026-03-25,54.36,54.595,54.06,54.34,54.34,9518763,0.0000,1.0
2026-03-26,53.37,53.74,52.835,52.85,52.85,11508012,0.0000,1.0
2026-03-27,52.71,52.95,52.39,52.49,52.49,13712943,0.0000,1.0
2026-03-30,52.81,52.85,52.2,52.42,52.42,11231249,0.0000,1.0
2026-03-31,52.67,54.1,52.67,54.05,54.05,15494812,0.0000,1.0
2026-04-01,54.21,54.62,54.085,54.21,54.21,20099844,0.0000,1.0
2026-04-02,53.175,54.15,53.05,53.82,53.82,10256106,0.0000,1.0
2026-04-06,53.89,54.295,53.79,54.01,54.01,8924268,0.0000,1.0
2026-04-07,53.92,54.11,53.405,54.09,54.09,7711418,0.0000,1.0
2026-04-08,56.82,56.9297,56.155,56.5,56.5,13739178,0.0000,1.0
2026-04-09,56.12,56.62,55.895,56.44,56.44,6776771,0.0000,1.0
2026-04-10,56.935,57.07,56.65,56.75,56.75,7160575,0.0000,1.0
2026-04-13,56.45,57.23,56.45,57.18,57.18,6327890,0.0000,1.0
2026-04-14,57.65,58.03,57.59,57.98,57.98,4706306,0.0000,1.0
2026-04-15,57.97,58.19,57.805,58.09,58.09,7012435,0.0000,1.0
2026-04-16,58.27,58.448,57.95,58.21,58.21,4837738,0.0000,1.0
2026-04-17,59.1,59.62,59.04,59.18,59.18,7123765,0.0000,1.0
2026-04-20,58.81,58.95,58.59,58.91,58.91,6691709,0.0000,1.0
2026-04-21,58.94,58.945,58.118,58.2,58.2,7712687,0.0000,1.0
2026-04-22,58.6,58.82,58.535,58.76,58.76,4763688,0.0000,1.0
2026-04-23,58.22,58.4,57.415,57.92,57.92,6906593,0.0000,1.0
2026-04-24,58.61,59.07,58.53,59.02,59.02,5426629,0.0000,1.0
2026-04-27,58.95,58.955,58.6228,58.73,58.73,5036448,0.0000,1.0
2026-04-28,58.13,58.365,58.0,58.32,58.32,8274012,0.0000,1.0
2026-04-29,58.245,58.32,57.87,58.08,58.08,7061625,0.0000,1.0
2026-04-30,58.38,59.03,58.165,58.93,58.93,7341720,0.0000,1.0
2026-05-01,58.89,59.425,58.855,58.99,58.99,10537805,0.0000,1.0
2026-05-04,58.99,59.225,58.5,58.73,58.73,7068033,0.0000,1.0
2026-05-05,59.28,59.48,59.17,59.36,59.36,7505650,0.0000,1.0
