date,open,high,low,close,5. adjusted close,6. volume,7. dividend amount
2002-02-28,60.1200,60.1200,56.8500,58.3500,21.4379,74400,0.0000
2002-03-28,58.6700,62.6500,58.5500,62.0500,22.7972,91200,0.0000
2002-04-30,62.2500,63.3800,60.5200,61.4400,22.5731,111800,0.0000
2002-05-31,61.5300,62.7700,59.5500,60.3500,22.1727,114400,0.0000
2002-06-28,60.1300,60.1300,54.0500,56.3500,20.7031,82300,0.0000
2002-07-31,56.0500,56.0500,44.3000,50.3700,18.5060,111800,0.0000
2002-08-30,50.6000,53.1500,47.5700,50.8800,18.6934,113600,0.0000
2002-09-30,49.8500,51.8000,46.1900,47.2900,17.3744,91100,0.0000
2002-10-31,46.6500,49.7200,43.1000,49.0500,18.0210,145000,0.0000
2002-11-29,48.7700,52.9000,48.2800,52.3500,19.2335,111200,0.0000
2002-12-31,53.1300,53.1300,48.9200,49.6100,18.4216,125600,0.5350
2003-01-31,49.9100,51.6500,47.5400,48.3400,17.9500,259800,0.0000
2003-02-28,48.6000,48.6400,45.5900,47.0500,17.4710,133900,0.0000
2003-03-31,47.7000,49.3400,44.8300,47.9900,17.8267,185800,0.0180
2003-04-30,47.9400,51.8100,47.7100,51.8100,19.2457,54900,0.0000
2003-05-30,52.0000,56.7000,51.3500,56.7000,21.0622,85500,0.0000
2003-06-30,57.3500,59.5100,56.7000,58.0000,21.5451,147500,0.0000
2003-07-31,57.5000,61.7000,57.1900,60.5800,22.5035,188700,0.0000
2003-08-29,60.8000,63.4800,58.3400,63.1500,23.4581,114500,0.0000
2003-09-30,63.1000,65.4500,61.9800,62.6800,23.2836,234600,0.0000
2003-10-31,63.0000,68.0000,62.9900,67.1500,24.9440,504800,0.0000
2003-11-28,67.7900,69.6400,66.8200,69.6400,25.8690,528900,0.0000
2003-12-31,70.0500,71.3000,67.5000,70.7000,26.4883,604400,0.5940
2004-01-30,71.0400,75.1400,70.3100,72.7500,27.2564,484200,0.0000
2004-02-27,73.2000,75.5000,71.6100,74.3800,27.8671,522500,0.0000
2004-03-31,74.6500,76.3000,70.9000,74.5900,27.9457,660600,0.0000
2004-04-30,74.9500,76.5000,71.3600,71.3800,26.7431,447700,0.0000
2004-05-28,71.9400,72.9300,68.1500,72.7000,27.2376,284000,0.0000
2004-06-30,72.6000,74.5900,71.7700,74.4800,27.9045,334300,0.0000
2004-07-30,74.3000,74.6000,68.5500,70.4300,26.3872,358200,0.0000
2004-08-31,70.0000,70.8000,66.9100,70.4500,26.3946,234800,0.0000
2004-09-30,70.3000,73.4000,70.3000,73.2500,27.4437,374300,0.0000
2004-10-29,73.3000,75.1400,72.4600,74.8500,28.0431,178800,0.0000
2004-11-30,75.0000,80.4900,74.7900,80.0600,29.9951,317200,0.0000
2004-12-31,80.2500,83.2300,79.5100,82.8200,31.3383,395300,0.8130
2005-01-31,83.1000,83.1000,78.0600,79.8500,30.2145,326600,0.0000
2005-02-28,80.0000,82.2300,79.8500,81.6000,30.8766,328000,0.0000
2005-03-31,81.6500,83.2300,78.7000,79.8500,30.2145,244400,0.0000
2005-04-29,80.4000,80.6900,76.1100,77.1600,29.1966,221600,0.0000
2005-05-31,77.4000,82.1500,77.3500,82.0800,31.0583,188900,0.0000
2005-06-30,82.0000,85.1500,82.0000,84.5600,31.9967,350700,0.0000
2005-07-29,84.7300,89.6100,84.5000,89.3800,33.8205,209900,0.0000
2005-08-31,89.3800,90.0900,85.9800,88.2600,33.3967,542300,0.0000
2005-09-30,88.4500,89.9800,86.0000,89.0600,33.6994,315900,0.0000
2005-10-31,89.6800,89.7200,82.5000,86.8200,32.8518,567900,0.0000
2005-11-30,86.8200,92.3300,86.4600,90.7700,34.3465,399300,0.0000
2005-12-30,91.6900,93.1200,90.0200,90.4700,34.6164,708000,1.0160
2006-01-31,90.6000,96.5500,89.8100,96.2400,36.8242,828600,0.0000
2006-02-28,96.2000,96.9799,92.9300,95.4500,36.5219,420600,0.0000
2006-03-31,96.1500,99.3500,93.7590,99.1300,37.9604,598600,0.0780
2006-04-28,99.4300,100.9300,97.0200,99.5600,38.1251,283800,0.0000
2006-05-31,100.0600,101.7900,91.5700,95.0000,36.3789,787800,0.0000
