ex_dividend_date,declaration_date,record_date,payment_date,amount
2026-03-20,2026-01-06,2026-03-20,2026-03-24,0.0795
2025-12-19,2025-04-03,2025-12-19,2025-12-23,1.3631
2025-09-19,2025-09-17,2025-09-19,2025-09-23,0.3597
2025-06-20,2025-06-17,2025-06-20,2025-06-24,0.4851
2025-03-21,2025-03-19,2025-03-21,2025-03-25,0.1909
2024-12-20,2024-12-18,2024-12-20,2024-12-24,1.0049
2024-09-20,2024-09-18,2024-09-20,2024-09-24,0.2723
2024-06-21,2024-06-18,2024-06-21,2024-06-25,0.4835
2024-03-15,2024-03-13,2024-03-18,2024-03-20,0.2235
2023-12-18,2023-12-15,2023-12-19,2023-12-21,0.8471
2023-09-18,2023-09-14,2023-09-19,2023-09-21,0.2952
2023-06-20,2023-06-15,2023-06-21,2023-06-23,0.618
2023-03-20,2023-03-16,2023-03-21,2023-03-23,0.1205
2022-12-19,2022-12-15,2022-12-20,2022-12-22,0.6289
2022-09-19,2022-09-15,2022-09-20,2022-09-22,0.2804
2022-06-21,2022-06-16,2022-06-22,2022-06-24,0.5893
2022-03-21,2022-03-17,2022-03-22,2022-03-24,0.1004
2021-12-20,2021-12-17,2021-12-21,2021-12-23,0.9412
2021-09-20,2021-09-16,2021-09-21,2021-09-23,0.3565
2021-06-21,2021-06-17,2021-06-22,2021-06-24,0.5148
2021-03-22,2021-03-19,2021-03-23,2021-03-25,0.1553
2020-12-21,2020-12-18,2020-12-22,2020-12-24,0.5903
2020-09-21,2020-09-18,2020-09-22,2020-09-24,0.3385
2020-06-22,,,,0.2521
2020-03-23,,,,0.1058
2019-12-23,,,,0.6281
2019-09-24,,,,0.3004
2019-06-21,,,,0.6106
2019-03-25,,,,0.1656
2018-12-24,,,,0.4963
2018-09-26,,,,0.2683
2018-06-22,,,,0.5928
2018-03-26,,,,0.1424
2017-12-21,,,,0.5391
2017-09-20,,,,0.298
2017-06-21,,,,0.556
2017-03-24,,,,0.16
2017-03-23,,,,0.0
2016-12-20,,,,0.39
2016-09-13,,,,0.274
2016-06-14,,,,0.537
2016-03-15,,,,0.143
2015-12-21,,,,0.347
2015-09-25,,,,0.224
2015-06-26,,,,0.547
2015-03-25,,,,0.158
2014-12-22,,,,0.4
2014-09-24,,,,0.274
2014-06-24,,,,0.604
2014-03-25,,,,0.367
2013-12-20,,,,0.458
2013-09-23,,,,0.23
2013-06-24,,,,0.599
2013-03-22,,,,0.125
2012-12-20,,,,0.636
2012-09-24,,,,0.757
2011-12-21,,,,1.291
