date,open,high,low,close,5. adjusted close,6. volume,7. dividend amount
2011-02-28,50.6200,55.9200,49.5500,51.0400,32.3523,992900,0.0000
2011-03-31,51.3800,51.7500,46.1900,50.9100,32.2699,1439700,0.0000
2011-04-29,51.0600,53.6800,49.9100,53.5500,33.9433,840700,0.0000
2011-05-31,53.7500,53.9200,49.4700,51.9400,32.9228,1134300,0.0000
2011-06-30,51.9500,51.9500,48.3600,51.3100,32.5235,1155100,0.0000
2011-07-29,51.1400,51.8800,49.0800,50.4100,31.9530,2581100,0.0000
2011-08-31,51.1900,51.1900,42.4815,46.1500,29.2527,2531000,0.0000
2011-09-30,46.1100,46.5200,39.2500,40.3100,25.5510,2370400,0.0000
2011-10-31,39.8800,47.2000,38.0210,44.4400,28.1688,4023800,0.0000
2011-11-30,43.1400,45.0300,39.2200,43.5000,27.5730,2027600,0.0000
2011-12-30,43.2000,43.9600,40.0000,40.9000,26.7536,3958800,1.2910
2012-01-31,41.7200,44.4670,40.8221,43.9000,28.7160,2344400,0.0000
2012-02-29,44.4200,46.6840,44.3800,45.9000,30.0242,2570900,0.0000
2012-03-30,46.2600,46.6200,44.1100,45.6468,29.8586,3352100,0.0000
2012-04-30,45.6600,46.3600,43.2600,44.7000,29.2393,2113500,0.0000
2012-05-31,44.7100,45.1900,39.4100,39.8600,26.0733,2416600,0.0000
2012-06-29,39.2100,42.2400,38.8101,42.2400,27.6301,4282500,0.0000
2012-07-31,42.3300,42.9800,40.2200,42.3700,27.7152,2029400,0.0000
2012-08-31,42.7300,44.7000,41.6300,43.4700,28.4347,5041700,0.0000
2012-09-28,43.4000,46.8000,42.9200,44.2100,29.4054,2256300,0.7570
2012-10-31,44.7800,45.7358,43.8200,44.5700,29.6449,3185500,0.0000
2012-11-30,44.7800,45.6140,43.0300,45.4900,30.2568,3628800,0.0000
2012-12-31,45.7500,48.2500,45.4500,47.0700,31.7326,4758500,0.6360
2013-01-31,47.9200,48.4200,46.9300,48.2000,32.4944,5054500,0.0000
2013-02-28,48.5600,48.7200,46.8300,47.6500,32.1236,3970400,0.0000
2013-03-28,47.4100,48.7000,47.2800,47.9700,32.4236,3622400,0.1250
2013-04-30,47.8100,49.7500,46.8500,49.6500,33.5591,3833000,0.0000
2013-05-31,49.8200,51.0900,48.0101,48.0101,32.4507,4020200,0.0000
2013-06-28,48.2500,48.6999,43.9200,45.6800,31.2929,5869000,0.5990
2013-07-31,46.2200,48.8200,45.3000,47.7900,32.7383,4714300,0.0000
2013-08-30,48.2500,49.1400,46.8600,46.8600,32.1012,4578700,0.0000
2013-09-30,47.7100,51.7700,47.4801,50.1500,34.5111,3747900,0.2300
2013-10-31,50.3400,52.8400,49.5700,51.9900,35.7773,5917600,0.0000
2013-11-29,51.6100,52.4600,50.6175,52.0600,35.8255,4462500,0.0000
2013-12-31,52.0000,52.4600,50.3000,52.3800,36.3701,4456400,0.4580
2014-01-31,51.8300,52.2800,49.2500,49.5500,34.4051,6606100,0.0000
2014-02-28,49.6000,52.5300,48.6000,52.3200,36.3284,5207400,0.0000
2014-03-31,51.5100,52.9199,50.5200,52.2000,36.5050,4637200,0.3670
2014-04-30,52.5400,52.9700,51.2200,52.8600,36.9666,5941900,0.0000
2014-05-30,52.9500,54.0790,52.5750,53.8800,37.6799,5271500,0.0000
2014-06-30,54.1700,55.2200,53.7000,54.2900,38.3912,6864500,0.6040
2014-07-31,54.7400,55.0700,53.3336,53.3500,37.7265,5576600,0.0000
2014-08-29,53.3400,54.2600,52.1060,53.9700,38.1649,5144600,0.0000
2014-09-30,53.9500,54.6100,50.8200,51.0000,36.2539,5633294,0.2740
2014-10-31,50.8600,50.9700,47.0000,50.9600,36.2254,11244149,0.0000
2014-11-28,50.6700,51.3200,49.7400,50.7000,36.0406,7719057,0.0000
2014-12-31,50.6100,50.6900,47.1000,48.3400,34.6444,12843694,0.4000
2015-01-30,48.3400,49.5500,46.6100,48.4700,34.7376,11713413,0.0000
2015-02-27,48.9000,51.4600,48.7380,51.2700,36.7443,9516403,0.0000
2015-03-31,51.2800,51.7500,49.0100,50.3500,36.1969,11485884,0.1580
2015-04-30,50.7200,53.8855,50.3900,52.7700,37.9367,9926018,0.0000
2015-05-29,53.0100,53.9400,52.0600,52.2900,37.5916,8414799,0.0000
2015-06-30,52.5100,52.8100,50.1600,50.3300,36.5651,9279228,0.5470
2015-07-31,50.8600,51.0310,48.1000,50.0500,36.3617,19084680,0.0000
2015-08-31,49.9700,50.4400,43.1100,46.3300,33.6590,15953102,0.0000
2015-09-30,45.1800,47.1500,43.0451,44.3200,32.3619,15332872,0.2240
2015-10-30,44.6300,48.1250,44.0800,47.0900,34.3846,16757332,0.0000
2015-11-30,47.3700,47.8600,45.5100,46.4700,33.9319,12671418,0.0000
2015-12-31,46.6900,46.9590,43.9800,45.1100,33.1946,21850149,0.3470
2016-01-29,44.4800,44.4800,39.3160,42.6500,31.3843,29933068,0.0000
2016-02-29,42.3100,42.6400,39.4100,41.6000,30.6117,21058135,0.0000
2016-03-31,42.2500,45.5100,42.1900,44.9200,33.1624,19133900,0.1430
2016-04-29,44.0200,47.0200,43.4099,45.8900,33.8785,14851626,0.0000
2016-05-31,46.0900,46.2200,44.0900,45.4400,33.5463,15021166,0.0000
2016-06-30,45.2600,46.9800,41.6000,44.4800,33.2449,22867835,0.5370
2016-07-29,44.5600,46.5400,43.0700,46.4900,34.7472,15318808,0.0000
2016-08-31,46.4900,47.7000,45.6705,46.7000,34.9041,13032486,0.0000
2016-09-30,46.8600,48.2200,45.7600,47.2100,35.4959,14572105,0.2740
2016-10-31,47.1900,47.4190,45.5700,46.3100,34.8192,9342725,0.0000
2016-11-30,46.4200,46.4799,44.6800,45.3800,34.1200,15386524,0.0000
2016-12-30,45.4400,47.1000,45.1400,45.8800,34.7901,18412966,0.3900
2017-01-31,46.1500,48.2100,46.0600,47.7500,36.2081,18171671,0.0000
2017-02-28,48.0400,49.1500,47.7400,48.3900,36.6934,12993004,0.0000
2017-03-31,48.7600,50.2300,48.1600,49.6800,37.7928,15733376,0.1600
2017-04-28,49.6800,50.9600,49.0500,50.7000,38.5687,12354080,0.0000
2017-05-31,50.9200,52.5500,50.8300,52.2000,39.7098,18036603,0.0000
2017-06-30,52.4000,53.0500,51.5400,51.9700,39.9612,18016515,0.5560
2017-07-31,52.1000,53.8900,51.4800,53.7200,41.3068,16319640,0.0000
2017-08-31,54.1300,54.1800,52.8100,54.0100,41.5298,16161687,0.0000
2017-09-29,54.2600,55.2800,53.5500,54.7300,42.3119,11830173,0.2980
2017-10-31,54.6800,56.0500,54.6200,55.8400,43.1700,13520865,0.0000
2017-11-30,56.2000,56.7450,54.8800,56.1900,43.4406,12011610,0.0000
2017-12-29,56.0500,57.0400,55.3700,56.8100,44.3405,14316238,0.5391
2018-01-31,57.1700,61.1700,57.0900,60.0600,46.8771,30287421,0.0000
2018-02-28,59.8600,60.1600,54.2000,56.9100,44.4185,22107964,0.0000
2018-03-29,56.8900,57.9400,55.3200,56.5500,44.2491,14467737,0.1424
2018-04-30,56.2500,57.8000,55.2500,56.8100,44.4526,13850412,0.0000
2018-05-31,56.7200,57.8700,55.1500,55.8800,43.7249,12652707,0.0000
2018-06-29,56.2500,57.0600,53.2000,54.1000,42.7910,15404978,0.5928
2018-07-31,53.3500,55.6700,53.2500,55.4800,43.8825,13801175,0.0000
2018-08-31,55.3800,55.4200,52.2500,54.1500,42.8305,14351335,0.0000
2018-09-28,53.5000,54.8300,52.2000,54.0000,42.9223,15388937,0.2683
2018-10-31,54.2400,54.3000,47.9300,49.3800,39.2501,27285378,0.0000
2018-11-30,49.9000,51.3600,48.6900,50.2100,39.9098,21635194,0.0000
2018-12-31,50.9900,51.1000,45.5900,47.2200,37.9406,56427169,0.4963
2019-01-31,46.6000,50.9300,46.4900,50.8400,40.8493,21547274,0.0000
2019-02-28,50.8400,52.2300,49.8100,51.6700,41.5161,21715815,0.0000
2019-03-29,51.9200,52.9800,50.5700,51.9000,41.8352,21233260,0.1656
2019-04-30,52.3600,53.7300,52.3500,53.3400,42.9959,22514678,0.0000
2019-05-31,53.4500,53.5800,50.1300,50.4500,40.6664,24842983,0.0000
2019-06-28,50.7300,53.5137,50.5800,52.7500,43.0145,26989177,0.6106
2019-07-31,53.3500,53.4500,51.3100,51.7000,42.1583,31024563,0.0000
2019-08-30,51.7600,52.1700,48.9700,50.5800,41.2450,44100862,0.0000
2019-09-30,50.2400,52.8700,50.1600,51.6600,42.3701,28904174,0.3004
2019-10-31,51.5700,53.6000,50.2100,53.4300,43.8218,32878890,0.0000
2019-11-29,53.7900,54.6100,53.6500,53.9600,44.2565,27908285,0.0000
2019-12-31,54.0000,56.0400,53.1400,55.6900,46.1935,33881262,0.6281
2020-01-31,56.1700,56.6600,53.5100,53.8000,44.6258,43802870,0.0000
2020-02-28,53.9100,55.8800,48.7200,50.2500,41.6811,47526842,0.0000
2020-03-31,50.0800,51.7100,36.4200,41.9600,34.9050,176916198,0.1058
2020-04-30,40.8700,46.2100,40.1400,45.1500,37.5586,104968313,0.0000
2020-05-29,44.3400,47.8600,43.3400,47.4100,39.4386,67451511,0.0000
2020-06-30,47.8500,51.4400,47.7900,49.1700,41.1098,75789229,0.2521
2020-07-31,49.2000,52.7100,49.1900,51.2100,42.8154,50721440,0.0000
2020-08-31,51.6300,54.1500,51.4900,53.4800,44.7133,46698297,0.0000
2020-09-30,53.6500,54.2900,50.7200,52.1700,43.9013,65803546,0.3385
2020-10-30,52.5400,54.4150,50.6900,50.9700,42.8915,57007200,0.0000
2020-11-30,51.6400,58.7050,51.3107,57.4000,48.3023,62639265,0.0000
2020-12-31,58.4600,60.8199,58.2101,60.1600,51.1318,83610465,0.5903
2021-01-29,61.2000,63.2781,60.0500,60.3100,51.2593,76665482,0.0000
2021-02-26,61.2300,64.9750,60.9650,61.7000,52.4407,64647663,0.0000
2021-03-31,62.5950,63.9950,61.1450,62.7000,53.4215,84635675,0.1553
2021-04-30,63.2600,65.6100,63.1600,64.4400,54.9040,61863888,0.0000
2021-05-28,64.8100,66.6550,63.4400,66.4200,56.5910,61955228,0.0000
2021-06-30,67.3000,67.5100,65.1000,65.6800,56.3988,62587242,0.5148
2021-07-30,65.7300,65.8950,63.3600,64.9400,55.7634,53224194,0.0000
2021-08-31,65.4800,66.0500,63.5000,65.8900,56.5791,50696969,0.0000
2021-09-30,66.3300,67.1250,63.0850,63.2600,54.6251,65005025,0.3565
2021-10-29,63.3500,65.8700,62.0100,65.0800,56.1967,54933320,0.0000
2021-11-30,65.3800,66.2200,61.7700,62.3100,53.8048,62703313,0.0000
2021-12-31,63.1800,64.3900,61.1300,63.5700,55.7328,89808806,0.9412
2022-01-31,63.9000,64.8300,59.7000,61.7700,54.1547,105629636,0.0000
2022-02-28,62.0950,63.4765,57.7900,60.0100,52.6117,98844513,0.0000
2022-03-31,59.7600,61.0181,55.1450,59.7400,52.4634,121594302,0.1004
2022-04-29,60.3700,60.9100,55.1700,55.8600,49.0560,83861916,0.0000
2022-05-31,55.6900,57.0950,52.2400,56.7100,49.8024,127361050,0.0000
2022-06-30,56.9700,57.2900,50.5900,51.6100,45.8402,113227855,0.5893
2022-07-29,50.9800,53.4900,49.0150,53.4900,47.5100,88971297,0.0000
2022-08-31,53.3000,54.6000,51.0800,51.0900,45.3783,93338980,0.0000
2022-09-30,50.4400,52.2900,45.3500,45.7700,40.8824,150458704,0.2804
2022-10-31,46.2100,48.4558,44.4200,47.3300,42.2758,139055482,0.0000
2022-11-30,48.3700,53.6700,46.6800,53.5000,47.7870,100183760,0.0000
2022-12-30,53.9100,54.5000,51.1700,51.7200,46.7626,93586541,0.6289
2023-01-31,52.2400,56.7050,51.8550,56.2100,50.8222,65740295,0.0000
2023-02-28,56.2700,56.9450,53.4201,53.8100,48.6523,53554242,0.0000
2023-03-31,54.4700,55.3200,51.5000,55.2100,50.0319,62131196,0.1205
2023-04-28,55.3000,56.6250,55.0000,56.2500,50.9744,41883432,0.0000
2023-05-31,56.2300,56.6875,53.8950,54.2800,49.1891,50677853,0.0000
2023-06-30,54.5200,57.9900,54.5200,56.0800,51.3795,49338289,0.6180
2023-07-31,56.2900,58.4178,54.5100,58.2600,53.3767,37969334,0.0000
2023-08-31,57.7100,57.8500,54.0500,55.7000,51.0313,45290927,0.0000
2023-09-29,56.2900,56.3511,52.9550,53.5200,49.2964,45007169,0.2952
2023-10-31,53.2500,54.1350,50.9500,51.7200,47.6384,63229056,0.0000
2023-11-30,51.8300,56.1400,51.7500,55.9800,51.5622,49263362,0.0000
2023-12-29,55.8100,58.1800,55.6500,57.9600,54.1869,67546627,0.8471
2024-01-31,57.4500,57.7600,55.3950,56.9700,53.2614,67783100,0.0000
2024-02-29,57.1700,59.0500,56.4800,58.6300,54.8133,56444436,0.0000
