date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2025-11-21,38.36,40.52,36.901,37.32,37.32,23538736,0.0,1.0
2025-11-24,36.79,36.87,34.575,34.78,34.78,10013414,0.0,1.0
2025-11-25,34.69,35.995,33.6,33.68,33.68,9885966,0.0,1.0
2025-11-26,33.3,33.43,32.58,32.77,32.77,7117638,0.0,1.0
2025-11-28,32.66,32.67,32.07,32.1,32.1,4377891,0.0,1.0
2025-12-01,32.87,32.87,31.6,32.06,32.06,8179304,0.0,1.0
2025-12-02,31.75,32.0488,31.5,31.7,31.7,4374128,0.0,1.0
2025-12-03,31.92,32.02,31.3001,31.42,31.42,5378809,0.0,1.0
2025-12-04,31.22,31.625,31.02,31.09,31.09,4981809,0.0,1.0
2025-12-05,30.95,31.18,30.66,30.72,30.72,5045076,0.0,1.0
2025-12-08,30.64,31.52,30.64,31.08,31.08,5567300,0.0,1.0
2025-12-09,31.25,31.3,30.77,31.24,31.24,4158909,0.0,1.0
2025-12-10,31.37,31.5455,29.88,30.02,30.02,8398097,0.0000,1.0
2025-12-11,30.3,30.85,29.46,29.48,29.48,7341146,0.0000,1.0
2025-12-12,29.35,30.9,29.11,29.53,29.53,12513430,0.0000,1.0
2025-12-15,29.25,30.24,29.155,29.56,29.56,8595220,0.0000,1.0
2025-12-16,29.7,30.2,29.255,29.53,29.53,10719390,0.0000,1.0
2025-12-17,29.31,30.075,29.02,29.99,29.99,9189306,0.0000,1.0
2025-12-18,29.22,29.67,28.78,28.94,28.94,9015799,0.0000,1.0
2025-12-19,28.7,28.7,27.81,27.86,27.86,6556943,0.0000,1.0
2025-12-22,27.38,27.4601,26.93,26.99,26.99,10513653,0.0000,1.0
2025-12-23,27.16,27.16,26.89,27.1,27.1,5799278,0.0000,1.0
2025-12-24,26.98,27.14,26.875,27.06,27.06,3381313,0.0000,1.0
2025-12-26,26.91,27.32,26.88,26.97,26.97,4957798,0.0000,1.0
2025-12-29,27.215,27.23,26.431,26.67,26.67,7684942,0.0000,1.0
2025-12-30,26.61,26.61,26.15,26.28,26.28,6284454,0.0000,1.0
2025-12-31,26.27,26.67,26.09,26.47,26.47,5690533,0.0000,1.0
2026-01-02,26.08,26.53,25.93,26.1,26.1,6190583,0.0000,1.0
2026-01-05,25.85,26.38,25.77,26.38,26.38,5819000,0.0000,1.0
2026-01-06,26.3,26.37,25.96,26.02,26.02,6015928,0.0000,1.0
2026-01-07,26.17,26.6056,26.14,26.44,26.44,7639766,0.0000,1.0
2026-01-08,26.57,26.63,26.02,26.25,26.25,6358212,0.0000,1.0
2026-01-09,26.13,26.43,25.635,25.75,25.75,8010905,0.0000,1.0
2026-01-12,26.33,26.33,25.78,25.84,25.84,6117582,0.0000,1.0
2026-01-13,25.715,26.75,25.69,26.53,26.53,11550866,0.0000,1.0
