date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2025-11-21,85.2,85.86,84.96,85.7,84.1502858695198,1174114,0.0,1.0
2025-11-24,85.55,85.81,85.37,85.69,84.14046669964,1143580,0.0,1.0
2025-11-25,86.17,86.7681,86.02,86.69,85.1223836876158,817797,0.0,1.0
2025-11-26,87.02,87.615,86.9769,87.49,85.9079172779963,850649,0.0,1.0
2025-11-28,87.4,87.765,87.325,87.72,86.1337581852307,605876,0.0,1.0
2025-12-01,87.8,87.95,87.485,87.54,85.9570131273951,991922,0.0,1.0
2025-12-02,88.0,88.019,87.645,87.91,86.3203224129461,793837,0.0,1.0
2025-12-03,88.0,88.23,87.89,88.21,86.6148975093389,800462,0.0,1.0
2025-12-04,88.5,88.685,88.34,88.48,86.8800150960923,769847,0.0,1.0
2025-12-05,88.76,88.92,88.4,88.46,86.8603767563328,1069342,0.0,1.0
2025-12-08,88.52,88.52,88.03,88.1225,86.528979772891,792461,0.0,1.0
2025-12-09,88.27,88.5,88.135,88.19,86.5952591695794,1743756,0.0,1.0
2025-12-10,88.44,89.23,88.39,89.12,87.5084419683968,1076704,0.0000,1.0
2025-12-11,89.42,89.825,89.34,89.71,88.0877729913024,1329489,0.0000,1.0
2025-12-12,89.81,89.87,88.9843,89.37,87.7539212153907,1061436,0.0000,1.0
2025-12-15,90.13,90.13,89.735,89.99,88.3627097479357,1001455,0.0000,1.0
2025-12-16,89.73,89.78,89.14,89.25,87.6360911768336,1032505,0.0000,1.0
2025-12-17,89.45,89.6,89.115,89.12,87.5084419683968,1131483,0.0000,1.0
2025-12-18,89.715,89.99,89.46,89.63,88.0092196322644,1009388,0.0000,1.0
2025-12-19,89.11,89.495,89.0201,89.21,88.5183435905298,1199085,0.9385,1.0
2025-12-22,89.34,89.6,89.29,89.56,88.8656299962768,1192127,0.0000,1.0
2025-12-23,89.925,90.2,89.9,90.17,89.47090058915,1587096,0.0000,1.0
2025-12-24,90.22,90.295,90.135,90.22,89.5205129328281,718303,0.0000,1.0
2025-12-26,90.24,90.33,90.1,90.33,89.62966008892,805414,0.0000,1.0
2025-12-29,90.1,90.23,89.94,90.16,89.4609781204144,1066531,0.0000,1.0
2025-12-30,90.46,90.575,90.325,90.4,89.6991173700694,1138132,0.0000,1.0
2025-12-31,90.19,90.235,89.855,90.0,89.3022186206444,1145618,0.0000,1.0
2026-01-02,90.8,90.91,90.5,90.91,90.2051632755864,1418684,0.0000,1.0
2026-01-05,90.7,91.36,90.46,91.33,90.6219069624828,1573549,0.0000,1.0
2026-01-06,91.64,91.752,91.305,91.32,90.6119844937471,1412001,0.0000,1.0
2026-01-07,91.06,91.06,90.6,90.66,89.9571015571957,1237834,0.0000,1.0
2026-01-08,90.5,91.01,90.45,90.98,90.2746205567358,1375842,0.0000,1.0
2026-01-09,91.11,91.3998,91.01,91.33,90.6219069624828,1263099,0.0000,1.0
2026-01-12,91.59,91.905,91.5352,91.87,91.1577202742066,1563004,0.0000,1.0
2026-01-13,92.03,92.03,91.545,91.81,91.0981854617929,1468109,0.0000,1.0
2026-01-14,92.18,92.59,92.12,92.59,91.8721380231718,1123124,0.0000,1.0
2026-01-15,92.69,92.85,92.46,92.6,91.8820604919074,1275017,0.0000,1.0
2026-01-16,92.64,92.695,92.3072,92.65,91.9316728355855,1226119,0.0000,1.0
2026-01-20,92.01,92.37,91.74,91.86,91.147797805471,1575838,0.0000,1.0
2026-01-21,92.24,92.92,91.96,92.74,92.0209750542062,1955722,0.0000,1.0
2026-01-22,93.07,93.418,92.929,93.25,92.5270209597232,1171750,0.0000,1.0
2026-01-23,93.04,93.81,92.9202,93.78,93.0529118027114,1256445,0.0000,1.0
2026-01-26,94.38,94.66,94.275,94.33,93.5986475831709,1368569,0.0000,1.0
2026-01-27,95.32,96.17,95.3,95.99,95.245777393285,2240347,0.0000,1.0
2026-01-28,95.49,95.65,94.95,95.45,94.7099640815612,1767562,0.0000,1.0
2026-01-29,96.64,96.83,95.36,96.37,95.6228312052389,2321940,0.0000,1.0
2026-01-30,95.89,96.0099,94.67,95.14,94.4023675507567,1459477,0.0000,1.0
2026-02-02,95.24,95.7799,95.17,95.71,94.9679482686875,1568413,0.0000,1.0
2026-02-03,96.11,96.7,95.94,96.66,95.910582798572,1838282,0.0000,1.0
2026-02-04,98.01,98.22,97.13,97.47,96.7143027661578,2001434,0.0000,1.0
2026-02-05,96.53,96.9275,96.01,96.23,95.4839166429401,1580407,0.0000,1.0
2026-02-06,97.39,98.1199,97.36,98.07,97.3096508902955,1460840,0.0000,1.0
2026-02-09,98.47,99.28,98.34,99.13,98.3614325762719,1894837,0.0000,1.0
2026-02-10,99.6,99.6593,99.1601,99.27,98.5003471385707,1660119,0.0000,1.0
2026-02-11,100.02,100.25,99.44,100.08,99.3040671061565,1807435,0.0000,1.0
2026-02-12,100.415,100.55,99.26,99.55,98.7781762631683,2307036,0.0000,1.0
2026-02-13,99.095,99.585,98.6,99.47,98.6987965132833,1883839,0.0000,1.0
2026-02-17,99.11,99.6,98.48,99.53,98.758331325697,1658182,0.0000,1.0
2026-02-18,99.81,100.12,99.43,99.63,98.8575560130533,1709292,0.0000,1.0
2026-02-19,99.17,99.59,98.915,99.56,98.7880987319039,1390189,0.0000,1.0
2026-02-20,99.47,100.565,99.47,100.56,99.7803456054666,1835262,0.0000,1.0
2026-02-23,100.75,101.0799,100.14,100.42,99.6414310431678,1753214,0.0000,1.0
2026-02-24,100.21,100.75,100.06,100.58,99.8001905429379,1596599,0.0000,1.0
2026-02-25,101.21,101.71,100.98,101.6,100.812282353972,1209346,0.0000,1.0
2026-02-26,101.31,101.409,100.715,101.35,100.564220635581,1487880,0.0000,1.0
2026-02-27,101.25,101.5148,100.965,101.09,100.306236448455,1341868,0.0000,1.0
2026-03-02,99.0,99.86,98.87,99.5,98.7285639194901,2051572,0.0000,1.0
2026-03-03,95.69,96.8759,94.47,96.47,95.7220558925951,4857938,0.0000,1.0
2026-03-04,96.54,97.2055,96.2301,97.09,96.337248954204,2048452,0.0000,1.0
2026-03-05,95.915,96.265,94.5638,95.29,94.5512045817911,2404531,0.0000,1.0
2026-03-06,93.87,94.93,93.51,94.6,93.8665542390328,1637060,0.0000,1.0
2026-03-09,93.32,95.4899,92.82,95.23,94.4916697693774,2102815,0.0000,1.0
2026-03-10,95.64,96.83,95.34,95.56,94.819111237653,1291865,0.0000,1.0
2026-03-11,95.21,95.7361,94.935,95.52,94.7794213627105,915659,0.0000,1.0
2026-03-12,94.59,94.59,93.58,93.9,93.1719814275389,1077134,0.0000,1.0
2026-03-13,94.105,94.595,92.905,93.06,92.3384940537463,1669681,0.0000,1.0
2026-03-16,94.175,94.89,94.12,94.68,93.9459339889179,1114558,0.0000,1.0
2026-03-17,95.55,95.71,95.145,95.25,94.5115147068486,898443,0.0000,1.0
2026-03-18,94.85,94.88,93.78,93.85,93.1223690838608,1234022,0.0000,1.0
2026-03-19,92.46,94.19,92.31,93.72,92.9933769902976,1423866,0.0000,1.0
2026-03-20,92.73,92.73,90.2199,90.61,90.61,1609616,0.7080,1.0
2026-03-23,91.98,93.365,91.72,92.49,92.49,1745148,0.0000,1.0
2026-03-24,91.46,92.53,91.33,92.11,92.11,1283764,0.0000,1.0
2026-03-25,93.485,93.8,92.97,93.45,93.45,909961,0.0000,1.0
2026-03-26,92.57,93.14,91.775,91.8,91.8,950255,0.0000,1.0
2026-03-27,91.65,92.295,91.185,91.44,91.44,2224160,0.0000,1.0
2026-03-30,92.04,92.46,91.37,91.72,91.72,1064849,0.0000,1.0
2026-03-31,92.89,94.3,92.51,94.24,94.24,1543097,0.0000,1.0
2026-04-01,95.07,95.475,94.66,95.01,95.01,1483493,0.0000,1.0
2026-04-02,93.685,95.14,93.5903,94.91,94.91,1366408,0.0000,1.0
2026-04-06,94.94,95.43,94.94,95.34,95.34,954024,0.0000,1.0
2026-04-07,94.89,95.49,94.2201,95.49,95.49,1179531,0.0000,1.0
2026-04-08,98.43,98.43,97.575,98.23,98.23,1289683,0.0000,1.0
2026-04-09,97.58,98.55,97.46,98.18,98.18,961070,0.0000,1.0
2026-04-10,98.68,98.8199,98.135,98.41,98.41,849571,0.0000,1.0
2026-04-13,97.79,99.05,97.64,99.02,99.02,875483,0.0000,1.0
2026-04-14,99.26,99.61,99.1,99.48,99.48,929695,0.0000,1.0
2026-04-15,99.5,99.53,99.22,99.4,99.4,852974,0.0000,1.0
2026-04-16,99.5,99.55,98.835,99.11,99.11,1482601,0.0000,1.0
2026-04-17,100.13,100.51,99.92,100.05,100.05,1159766,0.0000,1.0
2026-04-20,99.56,99.78,99.22,99.77,99.77,844163,0.0000,1.0
2026-04-21,99.33,99.49,97.97,98.03,98.03,789026,0.0000,1.0
2026-04-22,98.65,98.65,98.06,98.27,98.27,759566,0.0000,1.0
2026-04-23,97.96,98.24,96.73,97.56,97.56,1139877,0.0000,1.0
2026-04-24,97.72,98.1,97.4101,97.89,97.89,888196,0.0000,1.0
2026-04-27,97.88,98.085,97.515,97.57,97.57,844461,0.0000,1.0
2026-04-28,97.79,97.94,97.54,97.83,97.83,612350,0.0000,1.0
2026-04-29,97.35,97.47,96.59,96.88,96.88,912181,0.0000,1.0
2026-04-30,97.78,99.045,97.7,98.9,98.9,977517,0.0000,1.0
2026-05-01,98.99,99.395,98.65,98.67,98.67,968699,0.0000,1.0
2026-05-04,98.0,98.24,97.18,97.42,97.42,1054917,0.0000,1.0
2026-05-05,98.25,98.55,97.96,98.41,98.41,1272486,0.0000,1.0
