ex_dividend_date,declaration_date,record_date,payment_date,amount
2026-03-20,2026-01-06,2026-03-20,2026-03-24,0.708
2025-12-19,2025-04-03,2025-12-19,2025-12-23,0.9385
2025-09-19,2025-09-17,2025-09-19,2025-09-23,0.7001
2025-06-20,2025-06-17,2025-06-20,2025-06-24,1.0762
2025-03-21,2025-03-19,2025-03-21,2025-03-25,0.6003
2024-12-20,2024-12-18,2024-12-20,2024-12-24,0.9647
2024-09-20,2024-09-18,2024-09-20,2024-09-24,0.6967
2024-06-21,2024-06-18,2024-06-21,2024-06-25,1.0087
2024-03-15,2024-03-13,2024-03-18,2024-03-20,0.6158
2023-12-18,2023-12-15,2023-12-19,2023-12-21,0.8644
2023-09-18,2023-09-14,2023-09-19,2023-09-21,0.6826
2023-06-20,2023-06-15,2023-06-21,2023-06-23,1.1866
2023-03-20,2023-03-16,2023-03-21,2023-03-23,0.3137
2022-12-19,2022-12-15,2022-12-20,2022-12-22,0.6675
2022-09-19,2022-09-15,2022-09-20,2022-09-22,0.7059
2022-06-21,2022-06-16,2022-06-22,2022-06-24,1.1166
2022-03-21,2022-03-17,2022-03-22,2022-03-24,0.3124
2021-12-20,2021-12-17,2021-12-21,2021-12-23,0.9642
2021-09-20,2021-09-16,2021-09-21,2021-09-23,0.7304
2021-06-21,2021-06-17,2021-06-22,2021-06-24,0.8308
2021-03-22,2021-03-19,2021-03-23,2021-03-25,0.3614
2020-12-21,2020-12-18,2020-12-22,2020-12-24,0.5876
2020-09-21,2020-09-18,2020-09-22,2020-09-24,0.5768
2020-06-22,,,,0.5169
2020-03-23,,,,0.2772
2019-12-23,,,,0.561
2019-09-24,,,,0.6588
2019-06-14,,,,1.0203
2019-03-25,,,,0.4406
2018-12-24,,,,0.5079
2018-09-26,,,,0.5777
2018-06-22,,,,0.9477
2018-03-26,,,,0.3821
2017-12-19,,,,0.4744
2017-09-22,,,,0.479
2017-06-28,,,,0.83
2017-03-22,,,,0.365
2016-12-22,,,,0.338
2016-09-13,,,,0.374
2016-06-14,,,,0.559
2016-03-21,,,,0.085
