date,open,high,low,close,5. adjusted close,6. volume,7. dividend amount
2016-04-29,53.4900,56.8999,52.0754,55.6400,36.8697,274677,0.0000
2016-05-31,55.9500,56.0727,53.1100,54.8900,36.3727,385470,0.0000
2016-06-30,54.7100,56.5800,49.7469,53.3004,35.7002,760517,0.5590
2016-07-29,53.7000,55.4990,51.4271,55.4387,37.1324,625074,0.0000
2016-08-31,55.5100,57.0250,54.4150,56.0700,37.5552,669923,0.0000
2016-09-30,56.4200,58.0000,54.7501,56.4100,38.0399,383475,0.3740
2016-10-31,56.2600,56.7500,54.6650,55.8300,37.6488,484843,0.0000
2016-11-30,56.0300,56.1200,54.3670,55.3100,37.2981,704244,0.0000
2016-12-30,55.5100,58.1000,55.1600,56.6300,38.4177,821607,0.3380
2017-01-31,57.1400,59.8100,57.0100,58.8200,39.9034,1076610,0.0000
2017-02-28,59.2000,60.2393,58.4100,59.2600,40.2019,771267,0.0000
2017-03-31,59.4600,61.7000,59.1600,60.5600,41.3320,888389,0.3650
2017-04-28,61.0200,61.9880,59.3500,61.4500,41.9394,762141,0.0000
2017-05-31,61.9600,63.6000,61.6000,62.9660,42.9741,1705915,0.0000
2017-06-30,63.1000,63.7100,62.1200,62.5600,43.2595,1140184,0.8300
2017-07-31,63.4000,64.9040,62.2000,64.6600,44.7116,928080,0.0000
2017-08-31,65.0900,65.2600,63.6300,64.8000,44.8084,1288923,0.0000
2017-09-29,65.1100,66.4500,64.3100,65.6900,45.7550,1156867,0.4790
2017-10-31,65.5100,66.7499,65.3100,65.9100,45.9082,1519757,0.0000
2017-11-30,66.1500,66.5720,64.5000,66.1800,46.0963,1777013,0.0000
2017-12-29,66.3300,67.3640,65.2800,67.0000,47.0021,1598563,0.4744
2018-01-31,67.5800,72.3200,67.3200,70.9400,49.7661,2822749,0.0000
2018-02-28,70.9900,71.2950,64.3100,67.0500,47.0372,2534564,0.0000
2018-03-29,67.0000,68.0300,65.0200,66.4500,46.8867,1896572,0.3821
2018-04-30,66.2500,67.6500,64.7800,66.6100,46.9996,1731172,0.0000
2018-05-31,66.7000,67.5900,63.5300,64.3900,45.4331,2138042,0.0000
2018-06-29,64.9200,65.6500,61.2000,62.2300,44.5722,2205133,0.9477
2018-07-31,61.5700,64.7400,61.3600,64.5300,46.2196,1196556,0.0000
2018-08-31,64.3300,64.3300,60.9110,62.5100,44.7728,2112907,0.0000
2018-09-28,61.7900,64.0100,60.8800,62.8200,45.4055,1734029,0.5777
2018-10-31,63.0400,63.1800,57.2250,58.7300,42.4493,3820169,0.0000
2018-11-30,59.3000,60.6600,57.9540,59.2500,42.8251,2730481,0.0000
2018-12-31,60.1400,60.2190,54.4100,56.2700,41.0498,5398689,0.5079
2019-01-31,55.5200,60.4000,55.5200,60.2300,43.9387,2263394,0.0000
2019-02-28,60.2200,61.7500,59.2800,61.1700,44.6245,1412721,0.0000
2019-03-29,61.4700,62.8800,60.0000,60.8600,44.7208,1618192,0.4406
2019-04-30,61.6200,63.3190,61.4900,62.5900,45.9920,1576696,0.0000
2019-05-31,62.7700,62.8100,58.8060,59.2500,43.5377,1735412,0.0000
2019-06-28,59.3900,61.6500,59.1890,61.3800,45.8638,1610065,1.0203
2019-07-31,62.0700,62.1200,59.4500,59.7300,44.6309,1796694,0.0000
2019-08-30,59.7500,60.0550,56.0340,57.6700,43.0916,2848595,0.0000
2019-09-30,57.3400,60.9800,57.2300,59.3900,44.8704,1884676,0.6588
2019-10-31,59.3900,61.9360,57.6550,61.3500,46.3512,2123678,0.0000
2019-11-29,61.8200,63.0000,61.6750,61.8000,46.6912,2188273,0.0000
2019-12-31,61.7800,64.4900,60.7300,63.7800,48.6124,2647236,0.5610
2020-01-31,64.4300,64.7000,60.8400,61.0900,46.5621,3352983,0.0000
2020-02-28,61.0000,63.1070,55.0400,56.3900,42.9798,4549944,0.0000
2020-03-31,56.3200,57.9800,39.3300,45.2900,34.7615,11126306,0.2772
2020-04-30,43.9600,49.3410,43.3400,48.0500,36.8798,7359788,0.0000
2020-05-29,47.2000,50.5660,45.0100,49.8500,38.2614,3738222,0.0000
2020-06-30,50.1400,55.4900,50.1400,51.1900,39.6804,3284372,0.5169
2020-07-31,51.2300,54.3900,51.1910,52.5600,40.7423,2272924,0.0000
2020-08-31,52.8900,55.7291,52.8000,54.3900,42.1609,2712047,0.0000
2020-09-30,54.4000,55.1225,50.8586,52.0600,40.7997,2718119,0.5768
2020-10-30,52.2100,53.9900,50.2332,50.6600,39.7025,3348065,0.0000
2020-11-30,51.2500,59.7950,51.1038,58.2700,45.6665,2928690,0.0000
2020-12-31,59.2800,61.7400,59.0650,60.7800,48.1021,3249936,0.5876
2021-01-29,61.8700,64.7400,60.7100,61.0800,48.3395,4477557,0.0000
2021-02-26,61.6000,65.7300,61.3501,63.3400,50.1281,5354985,0.0000
2021-03-31,64.0400,66.8400,63.7300,65.4500,52.0823,4450558,0.3614
2021-04-30,65.6500,67.9800,65.4500,66.9400,53.2680,4514911,0.0000
2021-05-28,67.4700,70.0500,66.5300,69.8600,55.5916,3985041,0.0000
2021-06-30,70.5600,71.1400,67.7560,67.9800,54.7513,4297522,0.8308
2021-07-30,68.0000,68.3800,65.3338,67.5400,54.3969,4389025,0.0000
2021-08-31,68.1100,69.1626,66.5800,68.3500,55.0493,4283038,0.0000
2021-09-30,68.6600,69.1781,64.5900,66.0500,53.7937,5511969,0.7304
2021-10-29,66.2100,68.8550,65.7300,68.0100,55.3900,3808084,0.0000
2021-11-30,68.2800,68.7555,64.1400,64.6500,52.6535,4810536,0.0000
2021-12-31,65.5700,67.5200,64.4338,67.1700,55.5153,7485465,0.9642
2022-01-31,67.3600,70.6200,66.2800,68.6900,56.7716,9595021,0.0000
2022-02-28,68.9400,71.3699,65.6100,67.3100,55.6310,11646040,0.0000
2022-03-31,67.1500,68.6700,62.7010,67.6200,56.1480,12104515,0.3124
2022-04-29,68.1800,68.4500,63.2950,63.8500,53.0176,7936210,0.0000
2022-05-31,63.7400,66.1700,60.7300,65.8300,54.6617,12360210,0.0000
2022-06-30,66.3000,66.4700,57.8107,58.8200,49.7563,12506723,1.1166
2022-07-29,58.1400,59.7900,55.0150,59.7700,50.5599,10487223,0.0000
2022-08-31,59.7700,61.2100,57.6200,57.6400,48.7582,11638392,0.0000
2022-09-30,57.0900,59.4500,51.6650,52.0400,44.5694,13373001,0.7059
2022-10-31,52.8100,55.4800,51.2420,54.8500,46.9760,17376726,0.0000
2022-11-30,55.8600,61.3100,54.0700,61.1000,52.3288,11359268,0.0000
2022-12-30,61.4700,61.7600,58.5610,59.5700,51.5981,13449949,0.6675
2023-01-31,59.9800,64.6500,59.6700,64.3000,55.6951,14040366,0.0000
2023-02-28,64.1400,64.8900,61.7600,62.1600,53.8415,9513301,0.0000
2023-03-31,62.7900,63.6116,58.5741,61.9500,53.9418,11348233,0.3137
2023-04-28,62.3300,64.3000,62.1800,64.1300,55.8400,9910965,0.0000
2023-05-31,64.0600,64.6400,60.7150,61.0700,53.1756,7643189,0.0000
2023-06-30,61.4500,65.4800,61.3800,63.2000,56.0644,7381284,1.1866
2023-07-31,63.4100,66.1300,61.5000,65.9600,58.5128,7928510,0.0000
2023-08-31,65.4400,65.4800,61.5150,63.2500,56.1088,7736055,0.0000
2023-09-29,63.9500,64.7100,61.4143,61.8900,55.4920,5813309,0.6826
2023-10-31,61.6400,62.5101,59.2000,60.0300,53.8243,8882646,0.0000
2023-11-30,60.1900,64.4052,60.1388,64.2000,57.5632,7718769,0.0000
2023-12-29,64.2300,66.7199,64.0174,66.4900,60.4126,8574702,0.8644
2024-01-31,66.0600,66.7358,64.0892,65.6900,59.6857,8612868,0.0000
2024-02-29,65.8500,67.4300,64.5800,67.0400,60.9123,9729489,0.0000
2024-03-28,67.4000,69.0600,67.1320,68.8000,63.0783,9063951,0.6158
2024-04-30,68.7000,69.5050,65.9900,67.7600,62.1247,6500880,0.0000
2024-05-31,67.9300,71.8199,67.6000,70.9800,65.0770,5945833,0.0000
2024-06-28,71.2000,71.2500,67.8600,68.5300,63.7620,5930631,1.0087
2024-07-31,69.0700,71.3200,68.6000,70.6500,65.7345,6883586,0.0000
2024-08-30,70.0700,72.6620,65.4300,72.4700,67.4279,8925396,0.0000
2024-09-30,72.0900,74.2800,69.9700,73.4200,68.9725,8537384,0.6967
2024-10-31,73.3600,73.4800,70.2087,70.6900,66.4078,5789422,0.0000
2024-11-29,71.2600,72.2793,69.0400,70.5400,66.2669,6991979,0.0000
2024-12-31,70.5700,71.9000,66.6000,67.8800,64.6823,8306435,0.9647
2025-01-31,67.8300,71.2200,66.6200,70.2300,66.9216,10236040,0.0000
2025-02-28,69.0900,73.5100,68.9700,72.3700,68.9608,9034108,0.0000
2025-03-31,73.5300,76.3299,71.8800,73.6900,70.7834,14992635,0.6003
2025-04-30,73.7700,76.0900,65.0800,75.7100,72.7237,18622715,0.0000
2025-05-30,75.6700,79.5100,75.2300,79.1100,75.9896,17778787,0.0000
2025-06-30,79.3000,80.9700,77.4601,80.1100,78.0138,18213633,1.0762
2025-07-31,80.1700,82.8000,79.5700,79.9800,77.8872,19619195,0.0000
2025-08-29,80.0300,85.6100,79.5470,84.0900,81.8896,18090574,0.0000
2025-09-30,83.1300,86.0768,83.0600,84.6800,83.1487,18916736,0.7001
2025-10-31,85.0400,86.3850,82.8450,85.2300,83.6888,19448039,0.0000
2025-11-28,85.2450,88.3600,84.5899,87.7200,86.1338,18362262,0.0000
2025-12-31,87.8000,90.5750,87.4850,90.0000,89.3022,23456393,0.9385
2026-01-30,90.8000,96.8300,90.4500,95.1400,94.4024,30054032,0.0000
2026-02-27,95.2400,101.7100,95.1700,101.0900,100.3062,31984474,0.0000
2026-03-03,99.0,99.86,94.47,96.47,96.47,6907647,0.0
2026-03-31,99.0000,99.8600,90.2199,94.2400,94.2400,36058446,0.7080
2026-04-17,95.0700,100.5100,93.5903,100.0500,100.0500,13384299,0.0000
