ex_dividend_date,declaration_date,record_date,payment_date,amount
2026-03-20,2026-01-08,2026-03-20,2026-03-24,0.8617
2025-12-19,2025-04-03,2025-12-19,2025-12-23,0.9474
2025-09-19,2025-01-20,2025-09-19,2025-09-23,0.8417
2025-06-20,2025-01-20,2025-06-20,2025-06-24,0.8617
2025-03-21,2025-01-20,2025-03-21,2025-03-25,0.85
2024-12-20,2024-02-29,2024-12-20,2024-12-24,0.9642
2024-09-20,2024-02-29,2024-09-20,2024-09-24,0.8511
2024-06-21,2024-02-29,2024-06-21,2024-06-25,1.0237
2024-03-15,2024-02-29,2024-03-18,2024-03-20,0.6555
2023-12-18,2023-03-17,2023-12-19,2023-12-21,1.0995
2023-09-18,2023-03-17,2023-09-19,2023-09-21,0.7846
2023-06-20,2023-03-17,2023-06-21,2023-06-23,0.8767
2023-03-20,2023-03-16,2023-03-21,2023-03-23,0.7172
2022-12-19,2022-12-15,2022-12-20,2022-12-22,0.9745
2022-09-19,2022-09-16,2022-09-20,2022-09-22,0.7672
2022-06-21,2022-06-16,2022-06-22,2022-06-24,0.8479
2022-03-21,2022-03-17,2022-03-22,2022-03-24,0.6622
2021-12-20,2021-12-16,2021-12-21,2021-12-23,0.9386
2021-09-20,2021-09-16,2021-09-21,2021-09-23,0.7488
2021-06-21,2021-06-17,2021-06-22,2021-06-24,0.7523
2021-03-22,2021-03-18,2021-03-23,2021-03-25,0.6564
2020-12-21,,,,0.8096
2020-09-21,2020-09-17,2020-09-22,2020-09-24,0.7053
2020-06-22,,,,0.8368
2020-03-10,,,,0.5544
2019-12-23,,,,0.779
2019-09-24,,,,0.7864
2019-06-17,,,,0.6247
2019-03-25,,,,0.6516
2018-12-24,,,,0.7388
2018-09-26,,,,0.6718
2018-06-22,,,,0.6302
2018-03-26,,,,0.6084
2017-12-21,,,,0.6431
2017-09-20,,,,0.602
2017-06-23,,,,0.596
2017-03-22,,,,0.56
2016-12-22,,,,0.667
2016-09-13,,,,0.483
2016-06-21,,,,0.578
2016-03-15,,,,0.478
2015-12-21,,,,0.599
2015-09-23,,,,0.528
2015-06-26,,,,0.56
2015-03-23,,,,0.462
2014-12-18,,,,0.562
2014-09-22,,,,0.469
2014-06-23,,,,0.476
2014-03-24,,,,0.401
2013-12-20,,,,0.532
2013-09-23,,,,0.437
2013-06-24,,,,0.419
2013-03-22,,,,0.361
2012-12-20,,,,0.492
2012-09-24,,,,0.403
2012-06-25,,,,0.37
2012-03-26,,,,0.328
2011-12-21,,,,0.375
2011-09-23,,,,0.307
2011-06-24,,,,0.335
2011-03-25,,,,0.31
2010-12-22,,,,0.313
2010-09-24,,,,0.276
2010-06-24,,,,0.273
2010-03-25,,,,0.229
2009-12-22,,,,0.321
2009-09-24,,,,0.257
2009-06-24,,,,0.28
2009-03-25,,,,0.31
2008-12-22,,,,0.33
2008-09-24,,,,0.371
2008-06-24,,,,0.371
2008-03-25,,,,0.371
2007-12-14,,,,0.447
2007-09-24,,,,0.346
2007-06-25,,,,0.296
2007-03-26,,,,0.268
2006-12-22,,,,0.175
