ex_dividend_date,declaration_date,record_date,payment_date,amount
2026-03-23,2026-01-02,2026-03-23,2026-03-25,0.385178
2025-12-22,2025-01-09,2025-12-22,2025-12-24,0.373015
2025-09-22,2025-01-09,2025-09-22,2025-09-24,0.748731
2025-06-23,2025-01-09,2025-06-23,2025-06-25,0.718258
2025-03-24,2025-01-09,2025-03-24,2025-03-26,0.71633
2024-12-23,2024-01-05,2024-12-23,2024-12-26,0.699989
2024-09-23,2024-01-05,2024-09-23,2024-09-25,0.727492
2024-06-24,2024-01-05,2024-06-24,2024-06-26,0.714839
2024-03-18,2024-01-05,2024-03-19,2024-03-21,0.733933
2023-12-18,2023-01-13,2023-12-19,2023-12-21,0.802139
2023-09-18,2023-01-13,2023-09-19,2023-09-21,0.673608
2023-06-20,2023-01-13,2023-06-21,2023-06-23,0.705843
2023-03-20,2023-01-13,2023-03-21,2023-03-23,0.795347
2022-12-19,2022-12-16,2022-12-20,2022-12-22,0.85963
2022-09-19,2022-01-24,2022-09-20,2022-09-22,0.846245
2022-06-21,2022-01-24,2022-06-22,2022-06-24,0.815061
2022-03-21,2022-01-24,2022-03-22,2022-03-24,0.699962
2021-12-20,2021-01-22,2021-12-21,2021-12-23,0.695015
2021-09-20,2021-01-22,2021-09-21,2021-09-23,0.591901
2021-06-21,2021-01-22,2021-06-22,2021-06-24,0.530291
2021-03-22,2021-01-22,2021-03-23,2021-03-25,0.519944
2020-12-21,2020-01-16,2020-12-22,2020-12-24,0.5201
2020-09-21,2020-01-16,2020-09-22,2020-09-24,0.543571
2020-06-22,2020-01-16,2020-06-23,2020-06-25,0.501041
2020-03-23,2020-01-16,2020-03-24,2020-03-26,0.565756
2019-12-30,,,,1.791
2019-12-20,,,,0.593
2019-09-20,,,,0.560455
2019-06-21,,,,0.5765
2019-03-15,,,,0.5136
2018-12-21,,,,0.53
2018-09-21,,,,0.5132
2018-06-15,,,,0.5124
2018-03-16,,,,0.474788
2017-12-15,,,,0.458329
2017-09-15,,,,0.865379
2017-06-16,,,,0.449147
2017-03-17,,,,0.419015
2016-12-16,,,,0.402364
2016-09-16,,,,0.410518
2016-06-17,,,,0.436431
2016-03-18,,,,0.452407
2015-12-18,,,,0.542236
2015-09-18,,,,0.478112
2015-06-19,,,,0.50882
2015-03-20,,,,0.51494
2014-12-19,,,,0.48542
2014-09-19,,,,0.48327
2014-06-20,,,,0.46353
2014-03-21,,,,0.42707
2013-12-20,,,,0.40268
2013-09-20,,,,0.39266
2013-06-21,,,,0.37438
2013-03-15,,,,0.3571
2012-12-21,,,,0.37095
2012-09-21,,,,0.33369
2012-06-15,,,,0.31109
2012-03-16,,,,0.28462
2011-12-16,,,,0.27738
2011-09-16,,,,0.26444
2011-06-17,,,,0.26457
2011-03-18,,,,0.2549
2010-12-17,,,,0.29291
2010-09-17,,,,0.24919
2010-06-18,,,,0.25157
2010-03-19,,,,0.20326
2009-12-18,,,,0.30447
2009-09-18,,,,0.24625
2009-06-19,,,,0.25358
2009-03-20,,,,0.22978989
2008-12-19,,,,0.23879
2008-09-19,,,,0.21509
2008-06-20,,,,0.22838
2008-03-20,,,,0.20281
2007-12-21,,,,0.1988
2007-09-21,,,,0.19766
2007-06-15,,,,0.20322
2007-03-16,,,,0.18692
2006-12-15,,,,0.18369
2006-09-15,,,,0.18369
2006-06-16,,,,0.19746286
2006-03-17,,,,0.16143
2005-12-16,,,,0.13678
2005-09-16,,,,0.14761
2005-06-17,,,,0.14057
2005-03-18,,,,0.1444
2004-12-17,,,,0.1309
2004-09-17,,,,0.13306
2004-06-18,,,,0.12369
2004-03-19,,,,0.12664
2003-12-19,,,,0.12217
2003-09-19,,,,0.12064
2003-06-20,,,,0.1181
2003-03-21,,,,0.11941
2002-12-20,,,,0.11549
2002-09-20,,,,0.11549
2002-06-21,,,,0.15579
2002-03-15,,,,0.09582
2001-12-21,,,,0.10561
2001-09-21,,,,0.14146
2001-06-15,,,,0.15102
2001-03-16,,,,0.09659
2000-12-15,,,,0.09114
2000-09-15,,,,0.142977
2000-06-16,,,,0.1508
2000-03-17,,,,0.0964
1999-12-17,,,,0.08015
1999-09-17,,,,0.130437
1999-06-18,,,,0.146296
1999-03-19,,,,0.089699
