date,open,high,low,close,5. adjusted close,6. volume,7. dividend amount
1999-12-31,24.1900,25.4100,22.7200,23.7700,11.4990,14715300,0.0838
2000-01-31,23.7200,24.0800,21.4700,23.0600,11.1556,8663900,0.0000
2000-02-29,23.1900,23.2300,19.6600,20.5900,9.9607,8425500,0.0000
2000-03-31,20.6300,25.1900,19.4700,24.2700,11.7839,15117400,0.0848
2000-04-28,24.7800,25.8000,22.1300,24.5000,11.8955,8649500,0.0000
2000-05-31,23.3800,25.1900,22.6600,25.0500,12.1626,5391700,0.0000
2000-06-30,25.1700,27.1600,23.4100,23.7500,11.5734,9440800,0.0874
2000-07-31,23.7500,26.3400,23.5600,25.8400,12.5918,4613900,0.0000
2000-08-31,25.9800,28.6300,25.8800,28.4700,13.8734,4267000,0.0000
2000-09-29,28.5000,29.6300,27.1300,29.0000,14.1751,10808900,0.0879
2000-10-31,28.9700,29.6300,24.8800,28.7500,14.0529,18210900,0.0000
2000-11-30,28.5000,29.2200,25.7500,27.2800,13.3344,17317600,0.0000
2000-12-29,27.4700,30.0600,26.7200,29.5000,14.4731,21173200,0.1032
2001-01-31,29.5900,30.6600,28.0000,29.4300,14.4388,23310600,0.0000
2001-02-28,29.5500,29.8800,26.1800,27.4500,13.4674,11224700,0.0000
2001-03-30,27.2500,28.4400,23.3800,26.5400,13.0647,15710400,0.0872
2001-04-30,26.2600,28.9900,24.8500,27.5000,13.5372,29114900,0.0000
2001-05-31,27.4100,29.3300,27.3600,28.7100,14.1329,6994600,0.0000
2001-06-29,28.5500,29.1800,27.1400,28.4000,14.0315,13097300,0.1011
2001-07-31,28.5500,28.8400,26.9200,28.1300,13.8981,14045600,0.0000
2001-08-31,28.1800,28.4800,26.0900,26.2700,12.9791,12892200,0.0000
2001-09-28,26.1100,26.6500,21.1500,24.6800,12.2486,15160700,0.0988
2001-10-31,24.5900,25.6000,23.8000,24.3300,12.0749,26526900,0.0000
2001-11-30,24.3900,26.8400,23.9000,25.9100,12.8590,8461900,0.0000
2001-12-31,25.7000,26.6700,25.4100,26.3000,13.1101,13606900,0.1154
2002-01-31,26.1500,26.9900,24.5500,26.0000,12.9606,50461200,0.0000
2002-02-28,25.9500,25.9500,24.1000,25.5500,12.7363,79244500,0.0000
2002-03-28,25.7500,27.8100,25.5500,27.1500,13.5777,56150800,0.0895
2002-04-30,27.1200,27.6500,26.1000,26.4600,13.2327,32292000,0.0000
2002-05-31,26.6000,36.3000,25.2300,26.3800,13.1926,26943600,0.0000
2002-06-28,26.4200,26.5900,23.9200,25.1400,12.6288,41356900,0.1116
2002-07-31,24.9800,25.2300,18.6000,23.0500,11.5789,74142500,0.0000
2002-08-30,22.8900,24.3600,21.0100,23.4800,11.7949,48733200,0.0000
2002-09-30,23.0000,23.3800,19.9900,20.6700,10.4397,33173600,0.1123
2002-10-31,20.8500,23.2000,18.5200,22.5600,11.3943,75184300,0.0000
2002-11-29,22.4200,23.8000,21.7800,23.4000,11.8185,41456600,0.0000
2002-12-31,23.7000,23.8700,21.7600,22.0000,11.1769,19512000,0.1334
2003-01-31,22.0500,24.0000,21.2200,21.7200,11.0346,30048200,0.0000
2003-02-28,21.6500,21.9300,20.1000,21.0500,10.6942,24329300,0.0000
2003-03-31,21.3000,22.1800,19.1500,20.7600,10.5932,29046000,0.0972
2003-04-30,20.9000,23.7000,20.8100,23.3700,11.9250,33500100,0.0000
2003-05-30,23.3600,24.6000,22.9600,24.5600,12.5323,66578300,0.0000
2003-06-30,24.8000,26.2500,24.5000,24.5500,12.5852,53830300,0.1161
2003-07-31,24.3500,26.2800,24.2900,25.6200,13.1338,34596400,0.0000
2003-08-29,25.6800,25.8200,24.6200,25.3200,12.9800,58538700,0.0000
2003-09-30,25.3900,26.4400,25.0800,25.4100,13.0951,80419400,0.1389
2003-10-31,25.5000,27.4300,25.5000,27.1700,14.0021,55282100,0.0000
2003-11-28,27.2500,27.5400,26.3100,27.0700,13.9506,36051100,0.0000
2003-12-31,27.2200,28.3000,26.8700,28.1300,14.5833,41965500,0.1644
2004-01-30,28.1800,29.5400,27.9800,29.0500,15.0602,64817300,0.0000
2004-02-27,29.0700,30.1600,28.9000,29.8800,15.4905,47701600,0.0000
2004-03-31,29.9100,30.6100,28.5900,29.4000,15.3115,73152300,0.1341
