ex_dividend_date,declaration_date,record_date,payment_date,amount
2026-03-23,2026-01-02,2026-03-23,2026-03-25,0.167505
2025-12-22,2025-01-09,2025-12-22,2025-12-24,0.218827
2025-09-22,2025-01-09,2025-09-22,2025-09-24,0.357867
2025-06-23,2025-01-09,2025-06-23,2025-06-25,0.397508
2025-03-24,2025-01-09,2025-03-24,2025-03-26,0.374892
2024-12-23,2024-01-05,2024-12-23,2024-12-26,0.385957
2024-09-23,2024-01-05,2024-09-23,2024-09-25,0.398514
2024-06-24,2024-01-05,2024-06-24,2024-06-26,0.400001
2024-03-18,2024-01-05,2024-03-19,2024-03-21,0.339199
2023-12-18,2023-01-26,2023-12-19,2023-12-21,0.422014
2023-09-18,2023-01-26,2023-09-19,2023-09-21,0.360286
2023-06-20,2023-01-26,2023-06-21,2023-06-23,0.361583
2023-03-20,2023-01-26,2023-03-21,2023-03-23,0.315452
2022-12-19,2022-01-24,2022-12-20,2022-12-22,0.365364
2022-09-19,2022-01-24,2022-09-20,2022-09-22,0.316666
2022-06-21,2022-01-24,2022-06-22,2022-06-24,0.323167
2022-03-21,2022-01-24,2022-03-22,2022-03-24,0.285619
2021-12-20,2021-01-21,2021-12-21,2021-12-23,0.316544
2021-09-20,2021-01-21,2021-09-21,2021-09-23,0.272862
2021-06-21,2021-01-21,2021-06-22,2021-06-24,0.259491
2021-03-22,2021-01-21,2021-03-23,2021-03-25,0.273149
2020-12-21,2020-12-18,2020-12-22,2020-12-24,0.297642
2020-09-21,2020-01-16,2020-09-22,2020-09-24,0.246526
2020-06-22,2020-01-16,2020-06-23,2020-06-25,0.280517
2020-03-23,2020-01-16,2020-03-24,2020-03-26,0.371482
2019-12-20,,,,0.295
2019-09-20,,,,0.252703
2019-06-21,,,,0.2783
2019-03-15,,,,0.2334
2018-12-21,,,,0.2651
2018-09-21,,,,0.2544
2018-06-15,,,,0.2553
2018-03-16,,,,0.217747
2017-12-15,,,,0.238253
2017-09-15,,,,0.209224
2017-06-16,,,,0.22338
2017-03-17,,,,0.205239
2016-12-16,,,,0.216232
2016-09-16,,,,0.195572
2016-06-17,,,,0.211309
2016-03-18,,,,0.220226
2015-12-18,,,,0.215905
2015-09-18,,,,0.18343
2015-06-19,,,,0.19289
2015-03-20,,,,0.17343
2014-12-19,,,,0.21649
2014-09-19,,,,0.17376
2014-06-20,,,,0.17602
2014-03-21,,,,0.15732
2013-12-20,,,,0.17131
2013-09-20,,,,0.15833
2013-06-21,,,,0.15464
2013-03-15,,,,0.12434
2012-12-21,,,,0.16763
2012-09-21,,,,0.12996
2012-06-15,,,,0.10857
2012-03-16,,,,0.0964
2011-12-16,,,,0.10923
2011-09-16,,,,0.0935
2011-06-17,,,,0.09823
2011-03-18,,,,0.08359
2010-12-17,,,,0.09
2010-09-17,,,,0.08078
2010-06-18,,,,0.07893
2010-03-19,,,,0.0731
2009-12-18,,,,0.07946
2009-09-18,,,,0.0767
2009-06-19,,,,0.08063
2009-03-20,,,,0.07716807
2008-12-19,,,,0.08051
2008-09-19,,,,0.0707
2008-06-20,,,,0.06858
2008-03-20,,,,0.0055
2007-12-21,,,,0.12262
2007-09-21,,,,0.05255
2007-06-15,,,,0.01771
2006-12-15,,,,0.13491
2006-09-15,,,,0.13491
2005-12-16,,,,0.1481
2004-12-17,,,,0.41766
2003-12-19,,,,0.14106
2002-12-20,,,,0.04075
1999-12-17,,,,0.001323
