date,open,high,low,close,5. adjusted close,6. volume,7. dividend amount
1999-12-31,46.5000,55.0000,46.5000,53.8800,19.9640,12957600,0.0013
2000-01-31,55.6300,55.6300,47.8800,50.5600,18.7338,26007000,0.0000
2000-02-29,50.5200,56.5000,50.0300,55.8800,20.7050,14345000,0.0000
2000-03-31,56.0000,65.4400,55.8800,60.5600,22.4391,25334100,0.0000
2000-04-28,59.8100,60.7500,47.2500,55.0000,20.3790,19069700,0.0000
2000-05-31,55.8100,56.2500,44.6900,49.2800,18.2595,10430200,0.0000
2000-06-30,50.2500,56.9800,49.9400,54.1900,20.0788,7453200,0.0000
2000-07-31,54.0600,57.7500,49.8400,51.3100,19.0117,4436200,0.0000
2000-08-31,51.2500,56.6600,48.8400,56.5300,20.9459,4197800,0.0000
2000-09-29,57.0300,57.1900,46.3100,46.3800,17.1850,6812600,0.0000
2000-10-31,47.0600,47.4400,39.5000,43.7200,16.1994,10161600,0.0000
2000-11-30,43.2500,44.6600,33.7700,34.7500,12.8758,9777200,0.0000
2000-12-29,35.7500,39.3800,29.6300,31.3100,11.6012,31240300,0.0000
2001-01-31,31.4400,39.0600,29.1400,37.3000,13.8206,18885300,0.0000
2001-02-28,37.4200,37.6500,27.5900,28.0100,10.3784,16537600,0.0000
2001-03-30,27.6500,30.2100,24.3000,24.8000,9.1891,20568600,0.0000
2001-04-30,24.9500,32.0000,21.8500,28.8100,10.6749,21948800,0.0000
2001-05-31,28.8000,31.1900,27.1700,27.6300,10.2376,17379100,0.0000
2001-06-29,27.9000,29.6900,25.4800,28.1700,10.4377,8168200,0.0000
2001-07-31,27.9000,28.5100,25.0500,26.2200,9.7152,9975700,0.0000
2001-08-31,26.7000,27.5000,22.5700,23.0200,8.5295,8981300,0.0000
2001-09-28,22.5100,23.5000,17.6200,19.2500,7.1326,16882100,0.0000
2001-10-31,19.1500,22.8700,18.6700,21.3500,7.9107,24246700,0.0000
2001-11-30,21.5000,25.1500,21.1200,24.5400,9.0927,40367900,0.0000
2001-12-31,24.4400,26.3000,23.8500,24.0000,8.8926,43101100,0.0000
2002-01-31,24.4000,26.3200,22.4400,23.7400,8.7963,39620000,0.0000
2002-02-28,23.8100,23.8100,20.0700,20.6600,7.6551,24471500,0.0000
2002-03-28,20.9200,23.5600,20.9000,21.6700,8.0293,20394600,0.0000
2002-04-30,22.0500,22.0500,18.5500,19.0500,7.0585,19880900,0.0000
2002-05-31,18.9500,20.1300,17.2700,18.2600,6.7658,25307800,0.0000
2002-06-28,18.2700,18.9000,14.5000,15.8200,5.8617,15850700,0.0000
2002-07-31,15.7800,16.3000,12.9000,14.3200,5.3059,22291700,0.0000
2002-08-30,14.1700,15.8400,12.7600,14.2000,5.2615,17595400,0.0000
2002-09-30,13.8500,14.7000,11.7200,11.8300,4.3833,19703100,0.0000
2002-10-31,11.9400,15.0500,11.4000,14.7600,5.4690,30753800,0.0000
2002-11-29,14.6000,17.3000,14.4400,17.1000,6.3360,26949300,0.0000
2002-12-31,17.6000,17.8000,14.7200,14.8000,5.4984,33608900,0.0408
2003-01-31,14.9000,16.9000,14.1300,14.4500,5.3683,26907000,0.0000
2003-02-28,14.4300,14.9500,13.7500,14.5200,5.3943,12794900,0.0000
2003-03-31,14.5500,15.6100,13.4200,14.3000,5.3126,20061100,0.0000
2003-04-30,14.3500,15.9400,14.3300,15.6100,5.7993,17244100,0.0000
2003-05-30,15.5700,17.0300,15.4600,16.9500,6.2971,18973800,0.0000
