ex_dividend_date,declaration_date,record_date,payment_date,amount
2026-03-23,2025-12-31,2026-03-23,2026-03-25,0.271061
2025-12-22,2025-01-09,2025-12-22,2025-12-24,0.436108
2025-09-22,2025-01-09,2025-09-22,2025-09-24,0.316686
2025-06-23,2025-01-09,2025-06-23,2025-06-25,0.375403
2025-03-24,2025-01-09,2025-03-24,2025-03-26,0.263606
2024-12-23,2024-01-05,2024-12-23,2024-12-26,0.43361
2024-09-23,2024-01-05,2024-09-23,2024-09-25,0.311485
2024-06-24,2024-01-05,2024-06-24,2024-06-26,0.387111
2024-03-18,2024-01-05,2024-03-19,2024-03-21,0.263591
2023-12-18,2023-01-26,2023-12-19,2023-12-21,0.420763
2023-09-18,2023-01-26,2023-09-19,2023-09-21,0.291033
2023-06-20,2023-01-26,2023-06-21,2023-06-23,0.35885
2023-03-20,2023-01-26,2023-03-21,2023-03-23,0.255887
2022-12-19,2022-12-16,2022-12-20,2022-12-22,0.420683
2022-09-19,2022-01-24,2022-09-20,2022-09-22,0.363777
2022-06-21,2022-01-24,2022-06-22,2022-06-24,0.312434
2022-03-21,2022-01-24,2022-03-22,2022-03-24,0.268545
2021-12-20,2021-01-21,2021-12-21,2021-12-23,0.425422
2021-09-20,2021-01-21,2021-09-21,2021-09-23,0.260856
2021-06-21,2021-01-21,2021-06-22,2021-06-24,0.285374
2021-03-22,2021-01-21,2021-03-23,2021-03-25,0.382324
2020-12-21,2020-01-16,2020-12-22,2020-12-24,0.466266
2020-09-21,2020-01-16,2020-09-22,2020-09-24,0.212973
2020-06-22,2020-01-16,2020-06-23,2020-06-25,0.270448
2020-03-23,2020-01-16,2020-03-24,2020-03-26,0.201839
2019-12-20,,,,0.413
2019-09-20,,,,0.263219
2019-06-21,,,,0.3028
2019-03-15,,,,0.2035
2018-12-21,,,,0.3686
2018-09-21,,,,0.3501
2018-06-15,,,,0.2686
2018-03-16,,,,0.183267
2017-12-15,,,,0.365002
2017-09-15,,,,0.235565
2017-06-16,,,,0.27182
2017-03-17,,,,0.197712
2016-12-16,,,,0.551317
2016-09-07,,,,0.17753
2016-06-17,,,,0.265949
2016-03-18,,,,0.303035
2015-12-18,,,,0.340049
