date,open,high,low,close,5. adjusted close,6. volume,7. dividend amount
2015-11-30,30.9500,31.6000,26.7000,30.7500,21.4150,315773,0.0000
2015-12-31,30.9800,31.5900,29.9200,31.1840,21.9605,81520,0.3400
2016-01-29,30.9800,31.3830,28.1199,29.1900,20.5563,37485,0.0000
2016-02-29,29.6070,29.8101,27.0707,29.3300,20.6549,24371,0.0000
2016-03-31,29.8000,32.3300,29.7900,32.1600,22.8659,201688,0.3030
2016-04-29,32.0228,33.1499,31.0101,31.3800,22.3113,89043,0.0000
2016-05-31,31.1900,33.1900,30.9852,31.9200,22.6953,82776,0.0000
2016-06-30,31.7500,33.6000,31.6340,33.5900,24.0801,108349,0.2659
2016-07-29,33.8300,34.7700,33.3283,34.6780,24.8601,1412852,0.0000
2016-08-31,34.7100,34.8200,32.9000,33.3800,23.9296,1213846,0.0000
2016-09-30,33.5100,33.9000,31.6500,32.7700,23.6154,58423312,0.1775
2016-10-31,32.6600,32.7000,30.3553,30.9500,22.3039,45375299,0.0000
2016-11-30,30.8700,30.9010,29.0735,30.0100,21.6265,52091879,0.0000
2016-12-30,29.8200,31.4800,29.4100,30.7500,22.5611,43538579,0.5513
2017-01-31,30.8600,31.5500,30.3700,30.7100,22.5317,38073979,0.0000
2017-02-28,30.6700,32.3501,30.3200,32.1400,23.5809,42562932,0.0000
2017-03-31,32.0600,32.2475,30.5400,31.6000,23.3321,54173746,0.1977
2017-04-28,31.6600,32.5906,31.4500,31.6500,23.3690,36392669,0.0000
2017-05-31,31.7000,32.3482,31.1400,31.8600,23.5241,37807066,0.0000
2017-06-30,31.8700,32.8350,31.7246,32.2000,23.9744,56492265,0.2718
2017-07-31,32.3400,32.7700,31.2100,32.5900,24.2647,36087316,0.0000
2017-08-31,32.6500,33.0400,31.8244,32.9200,24.5104,31226168,0.0000
2017-09-29,32.9600,33.4600,31.8800,32.2400,24.1752,34217732,0.2356
2017-10-31,32.2800,33.1170,31.8650,32.5000,24.3702,36118804,0.0000
2017-11-30,32.5500,34.0238,32.4150,33.4500,25.0825,37159494,0.0000
2017-12-29,33.5100,33.6800,32.1500,32.9400,24.9718,32062623,0.3650
2018-01-31,32.9900,33.0400,31.1030,32.3100,24.4942,44478704,0.0000
2018-02-28,32.2100,32.4200,29.1700,30.1100,22.8263,108788282,0.0000
2018-03-29,30.1200,31.4150,29.6100,31.0800,23.6998,109914708,0.1833
2018-04-30,31.1200,31.3400,30.0330,30.8900,23.5549,76180652,0.0000
2018-05-31,30.9400,31.8100,30.4300,31.5800,24.0811,46733895,0.0000
2018-06-29,31.5700,32.8600,31.2850,32.7100,25.1555,59265607,0.2686
2018-07-31,32.6700,33.3500,32.1400,33.0500,25.4170,56288683,0.0000
2018-08-31,32.8000,34.1350,32.6500,33.8500,26.0322,53328204,0.0000
2018-09-28,33.7800,33.9600,32.0700,32.6100,25.3435,38899396,0.3501
2018-10-31,32.6100,32.7500,30.6500,32.0900,24.9394,106059987,0.0000
2018-11-30,32.1800,33.8850,31.5800,33.8500,26.3072,87909835,0.0000
2018-12-31,33.9000,34.5000,29.5200,31.0000,24.3792,159212903,0.3686
2019-01-31,30.8000,34.3900,30.1100,34.3300,26.9980,122724719,0.0000
2019-02-28,34.3800,35.2200,33.6700,34.7100,27.2968,85779433,0.0000
2019-03-29,34.7700,36.3070,34.2650,36.2200,28.6478,93941919,0.2035
2019-04-30,36.2700,36.7100,34.8250,36.0300,28.4975,77910943,0.0000
2019-05-31,36.0600,36.9900,35.2600,36.4700,28.8455,75859489,0.0000
2019-06-28,36.6000,38.6200,36.1000,36.7700,29.3159,85502765,0.3028
2019-07-31,36.9500,38.3100,36.2850,37.4100,29.8262,91234852,0.0000
2019-08-30,37.5200,39.3900,36.6200,39.2100,31.2613,105256320,0.0000
2019-09-30,39.1500,40.1400,38.4650,39.3400,31.5760,91781945,0.2632
2019-10-31,39.3000,40.3400,38.5300,39.3300,31.5680,79715432,0.0000
2019-11-29,39.3800,39.5150,37.5500,38.6500,31.0222,69811252,0.0000
2019-12-31,38.5500,38.7100,37.2600,38.6700,31.3734,83224052,0.4130
