date,open,high,low,close,5. adjusted close,6. volume,7. dividend amount
1999-12-31,28.4700,30.8900,28.3800,30.8900,20.7995,2852900,0.1762
2000-01-31,31.0000,32.9400,29.1600,30.1100,20.2743,1869900,0.0000
2000-02-29,30.2200,31.8100,27.0000,28.1400,18.9478,1110800,0.0000
2000-03-31,28.2700,31.3600,27.2200,30.6700,20.6514,2289900,0.0000
2000-04-28,30.9200,31.1300,27.1400,30.3100,20.4090,253600,0.0000
2000-05-31,30.4100,30.5600,27.9700,29.5000,19.8636,511400,0.0000
2000-06-30,29.5600,30.5000,28.9100,29.5600,19.9040,1862700,0.0000
2000-07-31,29.2500,30.4400,28.6300,29.1300,19.6144,523000,0.0000
2000-08-31,29.0300,30.6600,29.0300,30.1600,20.3080,354500,0.0000
2000-09-29,30.0300,30.2800,28.0000,29.0600,19.5673,2885000,0.0000
2000-10-31,29.2500,30.4700,25.1900,29.5000,19.8636,294700,0.0000
2000-11-30,29.5500,30.3800,26.3800,26.8100,18.0523,331100,0.0000
2000-12-29,26.8800,28.8100,25.9700,27.2500,18.3876,397700,0.0590
2001-01-31,27.0000,30.2500,26.1400,29.2200,19.7170,1071600,0.0000
2001-02-28,29.5000,29.8500,27.7900,28.6600,19.3391,936100,0.0000
2001-03-30,28.5300,28.8400,24.5500,26.8200,18.1009,419800,0.0051
2001-04-30,26.9500,29.2600,25.7000,28.8000,19.4372,8234700,0.0000
2001-05-31,28.8900,30.8100,28.3300,29.9000,20.1796,397900,0.0000
2001-06-29,29.8000,30.1800,28.4500,29.5500,19.9516,366300,0.0119
2001-07-31,29.5500,29.8600,27.8900,28.9600,19.5533,258400,0.0000
2001-08-31,28.8500,29.3000,27.1600,27.4900,18.5607,590800,0.0000
2001-09-28,27.4500,28.0100,21.0000,23.5000,15.8734,2230800,0.0091
2001-10-31,23.5000,24.8500,23.0600,23.6200,15.9544,592600,0.0000
2001-11-30,23.4700,26.8000,23.4700,26.3600,17.8052,1248100,0.0000
2001-12-31,26.5500,28.0300,26.1400,26.9500,18.2362,939200,0.0472
2002-01-31,27.2000,28.1000,22.4400,26.7500,18.1008,2801500,0.0000
2002-02-28,27.0500,28.2000,26.0500,27.9800,18.9331,843000,0.0000
2002-03-28,28.0500,30.1000,27.9100,29.5900,20.0310,1213900,0.0125
2002-04-30,29.4600,30.5200,28.7000,29.4100,19.9092,2263800,0.0000
2002-05-31,29.5000,30.5000,29.0000,29.8200,20.1867,1439900,0.0000
2002-06-28,29.9500,29.9700,26.5500,27.6800,18.7425,2091600,0.0065
2002-07-31,27.5000,27.5000,21.6500,26.8800,18.2008,1568000,0.0000
2002-08-30,26.7000,28.6200,24.8100,27.1400,18.3769,1350200,0.0000
2002-09-30,26.8000,27.5500,25.0000,25.3800,17.2383,1839700,0.0791
2002-10-31,25.6600,28.1400,25.0000,26.8600,18.2435,5216700,0.0000
2002-11-29,26.6000,28.2200,26.6000,27.6900,18.8072,2369800,0.0000
2002-12-31,27.8500,27.8500,25.8000,26.5500,18.0997,1749800,0.0988
2003-01-31,26.7500,27.9000,25.5200,26.4600,18.0384,2795100,0.0000
2003-02-28,26.5500,26.6300,24.6600,25.8700,17.6361,1641900,0.0000
2003-03-31,26.0000,27.4200,24.8800,26.7200,18.2634,2838200,0.0717
2003-04-30,26.8800,28.0400,26.3500,27.6000,18.8649,2643500,0.0000
2003-05-30,27.6800,28.8200,27.0400,28.1700,19.2545,2523700,0.0000
2003-06-30,28.4000,31.1100,27.9300,29.3300,20.1043,3054900,0.0859
2003-07-31,29.1000,30.1000,28.6200,28.8900,19.8027,1985600,0.0000
2003-08-29,28.7500,28.7500,27.4100,27.8200,19.0693,2675700,0.0000
2003-09-30,27.8200,29.2600,27.6600,27.8100,19.1197,3235500,0.0865
2003-10-31,28.0000,28.8500,27.4400,28.0000,19.2504,3382000,0.0000
2003-11-28,28.1500,29.2500,27.3100,28.6000,19.6629,4153500,0.0000
2003-12-31,28.8500,30.1800,28.7200,30.1500,20.8006,4283000,0.1026
2004-01-30,30.2000,31.3000,30.0500,30.9800,21.3732,5137700,0.0000
2004-02-27,31.0500,31.9800,30.9400,31.3100,21.6008,6966600,0.0000
2004-03-31,31.3700,31.8000,29.0400,29.9300,20.7010,5067100,0.0748
2004-04-30,30.0000,31.6000,30.0000,30.8600,21.3442,7039200,0.0000
2004-05-28,31.0000,31.4600,29.8700,30.7600,21.2751,8290300,0.0000
2004-06-30,30.7600,31.4400,30.1700,30.5600,21.1956,5796700,0.0859
2004-07-30,30.6000,30.6200,28.2600,28.9200,20.0581,6123900,0.0000
2004-08-31,28.9200,29.6100,27.7500,29.3900,20.3841,10740900,0.0000
2004-09-30,29.4500,30.3800,28.6500,28.7900,20.0273,15345800,0.0887
2004-10-29,28.7900,30.0000,26.7000,28.1500,19.5821,8422000,0.0000
2004-11-30,28.1000,30.2800,27.5200,28.7000,19.9647,15233400,0.0000
2004-12-31,28.7000,30.4400,28.7000,30.1900,21.0671,18109500,0.0931
2005-01-31,30.4500,30.4500,29.0900,29.2500,20.4111,9415700,0.0000
2005-02-28,29.3500,30.7000,29.2500,30.1300,21.0252,11487600,0.0000
2005-03-31,30.3000,30.8800,29.3300,29.8600,20.9076,13229200,0.1006
2005-04-29,30.0400,31.4000,29.5400,30.9000,21.6358,15745500,0.0000
2005-05-31,31.0500,31.6500,30.5700,31.2900,21.9089,19117700,0.0000
2005-06-30,31.3400,31.7700,30.9000,31.0300,21.7928,14045600,0.0960
2005-07-29,31.1000,32.0000,30.6000,31.7300,22.2844,14395400,0.0000
2005-08-31,31.9500,32.0900,30.7500,31.6200,22.2071,19878400,0.0000
2005-09-30,31.7000,32.5200,31.0100,31.3500,22.0833,18752800,0.0955
2005-10-31,31.4500,31.7900,29.7800,30.3900,21.4070,26393700,0.0000
2005-11-30,30.4500,31.3500,29.5000,30.7600,21.6677,16676300,0.0000
2005-12-30,31.0000,32.5000,30.9200,31.7200,22.4169,17758900,0.1036
2006-01-31,31.7800,33.1100,31.6100,32.1300,22.7066,26943300,0.0000
2006-02-28,32.2900,33.0300,31.5100,32.5000,22.9681,18980900,0.0000
2006-03-31,32.4600,32.9200,31.9500,31.9800,22.6742,18830500,0.1065
2006-04-28,32.1000,32.1900,30.5800,30.9900,21.9723,49785500,0.0000
2006-05-31,31.0200,31.3000,29.7900,30.3400,21.5114,37987800,0.0000
2006-06-30,30.4700,30.9300,29.4300,30.2400,21.5189,22905400,0.1108
2006-07-31,30.2300,32.1000,29.8500,31.8900,22.6930,23892600,0.0000
2006-08-31,31.8800,32.9700,31.4500,32.8000,23.3406,18648100,0.0000
2006-09-29,32.8000,33.4300,32.4300,33.1900,23.7016,20317700,0.1171
2006-10-31,33.1700,33.9500,32.8800,33.3000,23.7802,27744300,0.0000
2006-11-30,33.2500,33.8300,32.2600,33.2600,23.7516,32790600,0.0000
2006-12-29,33.3000,33.7900,32.8900,33.4900,23.9997,17927500,0.1171
2007-01-31,33.7000,34.9200,33.3400,34.5100,24.7306,40729200,0.0000
2007-02-28,34.6500,34.9000,33.1600,33.6800,24.1358,33143500,0.0000
2007-03-30,33.4300,34.3300,32.8900,33.6500,24.2047,44875300,0.1244
2007-04-30,33.8000,36.5100,33.7200,36.1100,25.9742,34700000,0.0000
2007-05-31,36.0600,37.0500,35.9600,36.7300,26.4201,37175000,0.0000
2007-06-29,36.7400,36.8200,34.7900,35.3100,25.5348,45187000,0.1933
2007-07-31,35.4200,36.0400,33.5800,33.6300,24.3199,41743800,0.0000
2007-08-31,33.5700,34.9000,32.9400,34.4000,24.8768,55490100,0.0000
2007-09-28,34.5100,35.6700,34.1900,35.3500,25.6523,26302600,0.1228
2007-10-31,35.4800,36.3900,34.7600,36.0100,26.1312,47688400,0.0000
2007-11-30,36.0100,36.5800,34.0300,36.4700,26.4650,53615100,0.0000
2007-12-31,36.8300,37.8900,35.2000,35.3100,25.7164,35148000,0.1303
2008-01-31,35.6300,36.6100,30.3600,33.7000,24.5438,117396900,0.0000
2008-02-29,33.3700,34.1500,32.6300,32.8000,23.8883,60497000,0.0000
2008-03-31,32.7000,33.0000,30.0000,31.1700,22.8029,75514300,0.1392
2008-04-30,31.0800,32.0700,31.0200,31.4800,23.0296,49099400,0.0000
2008-05-30,31.5200,32.2500,31.2610,32.0800,23.4686,33977100,0.0000
2008-06-30,32.0100,32.2590,29.9000,30.5800,22.4774,45851600,0.1424
2008-07-31,30.3200,32.3400,30.1400,31.9500,23.4844,101648000,0.0000
2008-08-29,32.0700,33.7400,31.5700,32.6900,24.0284,78764900,0.0000
2008-09-30,32.9000,33.3100,29.0000,30.4500,22.4837,128430000,0.1424
2008-10-31,30.1000,30.6000,22.8900,27.1500,20.0470,191266000,0.0000
2008-11-28,26.6700,27.5700,21.9900,24.9200,18.4004,123466300,0.0000
2008-12-31,24.8000,26.7100,23.4400,26.5500,19.7226,133087400,0.1579
2009-01-30,26.5600,27.2300,25.1400,26.2300,19.4849,107335900,0.0000
2009-02-27,26.0000,27.5500,22.9300,22.9800,17.0706,111602100,0.0000
2009-03-31,23.6600,24.7400,21.6300,24.2100,18.0960,159301500,0.1462
2009-04-30,23.9200,24.8500,23.2900,24.1800,18.0736,110085200,0.0000
2009-05-29,24.1400,25.8400,23.9200,25.8300,19.3069,111738600,0.0000
