ex_dividend_date,declaration_date,record_date,payment_date,amount
2026-03-23,2025-12-30,2026-03-23,2026-03-25,0.062987
2025-12-22,2025-01-09,2025-12-22,2025-12-24,0.128636
2025-09-22,2025-01-09,2025-09-22,2025-09-24,0.100754
2025-06-23,2025-01-09,2025-06-23,2025-06-25,0.090437
2025-03-24,2025-01-09,2025-03-24,2025-03-26,0.06875
2024-12-23,2024-01-02,2024-12-23,2024-12-26,0.064691
2024-09-23,2024-01-02,2024-09-23,2024-09-25,0.105635
2024-06-24,2024-01-02,2024-06-24,2024-06-26,0.096086
2024-03-18,2024-01-02,2024-03-19,2024-03-21,0.102827
2023-12-18,2023-01-26,2023-12-19,2023-12-21,0.09619
2023-09-18,2023-01-26,2023-09-19,2023-09-21,0.168139
2023-06-20,2023-01-26,2023-06-21,2023-06-23,0.163462
2023-03-20,2023-01-26,2023-03-21,2023-03-23,0.169057
2022-12-19,2022-01-17,2022-12-20,2022-12-22,0.351849
2022-09-19,2022-01-17,2022-09-20,2022-09-22,0.199737
2022-06-21,2022-01-17,2022-06-22,2022-06-24,0.21066
2022-03-21,2022-01-17,2022-03-22,2022-03-24,0.055002
2021-12-20,2021-01-21,2021-12-21,2021-12-23,0.082962
2021-09-20,2021-01-21,2021-09-21,2021-09-23,0.067004
2021-06-21,2021-01-21,2021-06-22,2021-06-24,0.086188
2021-03-22,2021-01-21,2021-03-23,2021-03-25,0.076993
2020-12-21,2020-12-18,2020-12-22,2020-12-24,0.081908
2020-09-21,2020-01-15,2020-09-22,2020-09-24,0.073892
2020-06-22,2020-01-15,2020-06-23,2020-06-25,0.094052
2020-03-23,2020-01-15,2020-03-24,2020-03-26,0.080594
2019-12-20,,,,0.124
2019-09-20,,,,0.095211
2019-06-21,,,,0.3407
2019-03-15,,,,0.1517
2018-12-21,,,,0.089
2018-09-21,,,,0.0733
2018-06-15,,,,0.3739
2018-03-16,,,,0.048677
2017-12-15,,,,0.265026
2017-09-15,,,,0.060098
2017-06-16,,,,0.052667
2017-03-17,,,,0.039722
2016-12-16,,,,0.070272
2016-09-16,,,,0.073453
2016-06-17,,,,0.077862
2016-03-18,,,,0.088912
2015-12-18,,,,0.148939
2015-09-18,,,,0.09904
2015-06-19,,,,0.080138
2015-03-20,,,,0.061886
2014-12-19,,,,0.270346
2014-09-19,,,,0.173943
2014-06-20,,,,0.150135
2014-03-21,,,,0.08743
2013-12-20,,,,0.145642
2013-09-20,,,,0.143872
2013-06-21,,,,0.163608
2013-03-15,,,,0.102344
2012-12-21,,,,0.208348
2012-09-21,,,,0.141264
2012-06-15,,,,0.151384
2012-03-16,,,,0.11271
2011-12-16,,,,0.208617
2011-09-16,,,,0.09718
2011-06-17,,,,0.096976
2011-03-18,,,,0.059197
2010-12-17,,,,0.41089
2010-09-17,,,,0.09688
2010-06-18,,,,0.08527
2010-03-19,,,,0.022407
2009-12-18,,,,0.140757
2009-09-18,,,,0.097089101
2009-06-19,,,,0.105982904
2009-03-20,,,,0.113704205
2008-12-19,,,,0.202808
2008-09-19,,,,0.143558
2008-06-20,,,,0.115876
2008-03-20,,,,0.040456
2007-12-21,,,,0.170525
2007-09-21,,,,0.076816
2007-06-15,,,,0.061436
2007-03-16,,,,0.097815
2006-12-15,,,,0.108511
2006-09-15,,,,0.090196
