date,open,high,low,close,5. adjusted close,6. volume,7. dividend amount
2006-07-31,50.3700,50.8500,42.6800,45.9100,35.6587,790000,0.0000
2006-08-31,44.9100,47.1500,42.8200,44.3100,34.4160,304600,0.0000
2006-09-29,44.3300,46.2800,38.4800,41.3800,32.2101,168600,0.0902
2006-10-31,41.6000,49.0400,38.9100,47.4500,36.9349,436900,0.0000
2006-11-30,47.9500,52.2900,46.2800,52.1000,40.5545,535900,0.0000
2006-12-29,52.3500,53.6200,48.1500,49.2700,38.4330,1126300,0.1085
2007-01-31,49.0200,52.9100,46.5200,52.7900,41.1788,1522600,0.0000
2007-02-28,53.2600,57.2200,51.7500,54.0000,42.1227,4424800,0.0000
2007-03-30,52.4000,58.0140,50.3000,57.2300,44.7235,2882400,0.0978
2007-04-30,57.6000,64.2600,57.3100,62.1300,48.5527,3904300,0.0000
2007-05-31,62.0500,66.7600,60.6800,66.2300,51.7567,6953700,0.0000
2007-06-29,66.5600,67.5000,59.0000,62.5300,48.9117,8527500,0.0614
2007-07-31,63.0000,68.0200,58.1800,59.1500,46.2678,9409300,0.0000
2007-08-31,59.3200,59.6100,49.1700,57.9200,45.3057,12205900,0.0000
2007-09-28,57.4700,64.6200,56.0800,64.0000,50.1227,5699600,0.0768
2007-10-31,64.5500,70.1600,62.0000,68.5200,53.6626,9805300,0.0000
2007-11-30,67.6300,67.9000,59.0000,66.8100,52.3234,11645700,0.0000
2007-12-31,67.2800,71.5500,64.8700,69.1200,54.2651,9798100,0.1705
2008-01-31,69.3200,70.1800,53.0200,65.5400,51.4545,23237100,0.0000
2008-02-29,66.4900,78.0500,64.0000,73.9000,58.0178,31535700,0.0000
2008-03-31,75.8200,76.5900,63.1700,69.7900,54.8247,26035800,0.0405
2008-04-30,69.8500,82.7200,68.4400,76.4000,60.0173,17296900,0.0000
2008-05-30,75.3900,91.1200,72.8170,87.6400,68.8470,28133700,0.0000
2008-06-30,88.8800,96.0900,86.0000,94.5800,74.3922,28944700,0.1159
2008-07-31,92.1200,93.9600,71.2100,79.4000,62.4524,47471400,0.0000
2008-08-29,79.1300,79.6900,63.9800,71.5900,56.3094,30026000,0.0000
2008-09-30,70.0300,70.0300,42.6500,47.0800,37.1198,55150900,0.1436
2008-10-31,47.1600,47.1600,22.7800,31.2400,24.6309,67750200,0.0000
2008-11-28,31.6200,34.0400,17.1500,26.4000,20.8148,38844400,0.0000
2008-12-31,24.7900,31.3900,20.2000,27.7500,22.0417,35072400,0.2028
2009-01-30,28.0800,33.1100,24.0600,26.3500,20.9297,39096500,0.0000
2009-02-27,25.6400,31.3200,22.6900,23.4600,18.6342,46113200,0.0000
2009-03-31,22.6400,27.9100,20.5500,25.1000,20.0291,46665500,0.1137
2009-04-30,24.8800,32.6300,24.2200,31.6900,25.2877,45616700,0.0000
2009-05-29,31.8100,38.9000,31.2900,37.8600,30.2112,67053000,0.0000
2009-06-30,39.2600,43.5100,34.4700,37.0100,29.6147,94139000,0.1060
2009-07-31,37.6100,40.3000,31.6300,39.6400,31.7191,97897300,0.0000
2009-08-31,41.3500,43.0000,38.6700,40.6000,32.4873,67684300,0.0000
2009-09-30,40.8500,50.1400,39.1700,45.6400,36.5941,68822400,0.0971
2009-10-30,45.2200,49.8600,41.6800,42.5000,34.0764,76618500,0.0000
2009-11-30,42.9200,50.7300,41.2300,48.9000,39.2079,64786700,0.0000
2009-12-31,49.6300,54.2200,47.1700,51.6100,41.4977,82934700,0.1408
2010-01-29,52.7500,60.4800,45.8100,46.1700,37.1236,112853100,0.0000
2010-02-26,46.5700,52.8300,44.4300,51.3100,41.2565,145590600,0.0000
2010-03-31,51.6700,58.7800,51.2600,56.8100,45.6973,143315700,0.0224
2010-04-30,57.7000,60.4000,55.6100,55.7600,44.8527,118406400,0.0000
2010-05-28,56.1100,57.1900,45.9000,51.3900,41.3376,173597800,0.0000
2010-06-30,50.4200,54.0500,45.5000,45.6900,36.8133,112526200,0.0853
2010-07-30,45.8000,51.9700,43.7100,49.8900,40.1973,67093500,0.0000
2010-08-31,50.8700,52.9000,45.9100,48.3900,38.9887,69931600,0.0000
2010-09-30,49.5000,54.5300,49.3300,53.4800,43.1705,57184300,0.0969
2010-10-29,54.3000,57.7200,52.8000,55.9900,45.1966,80558100,0.0000
2010-11-30,56.5400,62.8900,55.7000,61.1000,49.3216,86702500,0.0000
2010-12-31,62.4900,69.4400,62.2100,68.7800,55.8633,59598600,0.4109
2011-01-31,69.7900,71.7600,64.9800,68.9700,56.0177,79406200,0.0000
2011-02-28,69.6000,74.6600,68.1310,71.6600,58.2025,80687600,0.0000
2011-03-31,72.0300,74.8900,66.1000,74.2900,60.3904,107826500,0.0592
2011-04-29,74.8100,77.4400,70.1400,75.5900,61.4471,79535200,0.0000
2011-05-31,76.0300,77.0200,66.8800,71.8200,58.3825,114353400,0.0000
2011-06-30,71.3600,71.6250,61.8100,69.3700,56.4780,106601000,0.0970
2011-07-29,69.3100,72.0200,65.2800,66.6000,54.2228,78197500,0.0000
2011-08-31,67.9800,68.0500,51.2900,58.5700,47.6851,118588100,0.0000
2011-09-30,58.5500,59.2300,44.6200,44.8300,36.5614,87554400,0.0972
2011-10-31,44.2600,59.3599,40.1700,55.0100,44.8637,98747800,0.0000
2011-11-30,52.6300,58.0500,46.5100,54.3100,44.2928,77544900,0.0000
2011-12-30,54.0500,55.3800,47.1000,48.9900,40.1246,68568500,0.2086
2012-01-31,50.7100,56.8000,50.2400,54.2200,44.4081,63794900,0.0000
2012-02-29,54.8500,57.0600,51.5000,51.8200,42.4425,64797000,0.0000
2012-03-30,52.3600,53.1600,48.0700,49.7200,40.8126,91546900,0.1127
2012-04-30,49.6600,51.0900,45.7000,48.4450,39.7660,80794900,0.0000
2012-05-31,48.3600,49.5800,38.9401,39.4000,32.3414,97640100,0.0000
2012-06-29,38.4000,42.2200,37.8400,41.4300,34.1372,71804500,0.1514
2012-07-31,41.4700,43.5900,37.1000,39.8000,32.7941,67300200,0.0000
2012-08-31,40.0100,44.0000,38.5500,40.9400,33.7334,72197300,0.0000
2012-09-28,40.9800,48.2600,40.0201,43.5150,35.9673,70811400,0.1413
2012-10-31,44.0000,47.2200,42.4700,44.5000,36.7814,84688900,0.0000
2012-11-30,44.7200,46.6500,39.8400,42.4200,35.0622,70384100,0.0000
2012-12-31,42.6400,45.6200,41.5820,45.1300,37.4771,49019900,0.2083
2013-01-31,46.5100,46.9800,43.4100,43.8700,36.4308,54861300,0.0000
2013-02-28,44.3300,45.1200,40.0500,40.5600,33.6820,51204900,0.0000
2013-03-28,40.2400,41.8200,38.8000,40.3900,33.6242,68133100,0.1023
2013-04-30,40.3200,40.3700,34.3060,37.1700,30.9436,120936400,0.0000
2013-05-31,36.8400,39.9200,35.9950,37.6500,31.3432,77232500,0.0000
2013-06-28,37.9100,38.2200,31.8300,33.1600,27.7384,57771200,0.1636
2013-07-31,33.5000,37.3300,32.5000,35.6700,29.8380,70858000,0.0000
2013-08-30,36.0000,38.4000,34.2900,35.9700,30.0890,69259100,0.0000
2013-09-30,36.5801,40.2400,35.9310,36.6500,30.7746,56234200,0.1439
2013-10-31,36.3100,40.0400,36.2200,39.3250,33.0208,50133100,0.0000
2013-11-29,39.4300,41.0800,38.3300,39.0700,32.8066,53760200,0.0000
2013-12-31,38.9500,42.3600,38.2500,42.0800,35.4647,57123900,0.1456
2014-01-31,42.0600,42.8600,38.7800,39.8900,33.6190,57609900,0.0000
2014-02-28,39.8100,42.3800,38.2800,41.5100,34.9843,35770800,0.0000
2014-03-31,41.5900,43.0200,40.9000,41.7300,35.2425,36403400,0.0874
2014-04-30,41.8900,43.4200,40.8700,41.9400,35.4199,34471000,0.0000
2014-05-30,41.7800,42.8000,38.9600,39.2300,33.1312,27052100,0.0000
2014-06-30,39.1800,42.4300,38.5400,42.2500,35.8099,22859000,0.1501
2014-07-31,42.6700,43.3000,41.0100,41.4000,35.0895,27865200,0.0000
2014-08-29,41.4000,44.2000,40.9000,43.7600,37.0897,27831300,0.0000
2014-09-30,43.9700,43.9700,36.5800,36.7900,31.3162,37304592,0.1739
2014-10-31,36.7300,36.8600,31.4100,35.2100,29.9713,75927085,0.0000
2014-11-28,35.2300,36.4700,33.5700,33.8900,28.8477,36195195,0.0000
2014-12-31,33.7700,33.7700,29.1400,30.8600,26.4980,45748704,0.2703
2015-01-30,30.7400,31.0600,26.3400,27.1200,23.2866,40969227,0.0000
