date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2025-11-21,39.82,40.25,39.61,40.08,38.3088591477936,1578460,0.0,1.0
2025-11-24,39.88,40.035,39.825,40.01,38.6245631442137,1050453,0.4003,1.0
2025-11-25,40.02,40.17,39.92,40.14,38.7500615998185,841629,0.0,1.0
2025-11-26,40.21,40.26,40.19,40.25,38.8562526007149,414203,0.0,1.0
2025-11-28,40.26,40.31,40.26,40.31,38.9141749648402,296377,0.0,1.0
2025-12-01,40.25,40.33,40.25,40.3,38.9045212374859,670960,0.0,1.0
2025-12-02,40.33,40.35,40.3,40.34,38.9431361469028,665997,0.0,1.0
2025-12-03,40.33,40.38,40.32,40.37,38.9720973289654,469234,0.0,1.0
2025-12-04,40.4,40.42,40.37,40.42,39.0203659657365,549164,0.0,1.0
2025-12-05,40.42,40.44,40.4,40.44,39.0396734204449,665990,0.0,1.0
2025-12-08,40.44,40.45,40.41,40.43,39.0300196930907,826644,0.0,1.0
2025-12-09,40.44,40.45,40.425,40.44,39.0396734204449,407124,0.0,1.0
2025-12-10,40.48,40.48,40.43,40.48,38.7361898826037,796793,0.0000,1.0
2025-12-11,40.48,40.495,40.46,40.49,38.7457590994719,1088053,0.0000,1.0
2025-12-12,40.51,40.51,40.46,40.5,38.7553283163402,900350,0.0000,1.0
2025-12-15,40.51,40.51,40.49,40.5,38.7553283163402,932275,0.0000,1.0
2025-12-16,40.49,40.52,40.49,40.52,38.7744667500766,684060,0.0000,1.0
2025-12-17,40.51,40.53,40.495,40.5,38.7553283163402,541941,0.0000,1.0
2025-12-18,40.53,40.54,40.51,40.53,38.7840359669449,684258,0.0000,1.0
2025-12-19,40.55,40.8,40.55,40.79,39.0328356055189,1256575,0.0000,1.0
2025-12-22,40.59,40.62,40.55,40.59,39.1526422007092,1588175,0.3252,1.0
2025-12-23,40.58,40.68,40.58,40.67,39.2298092708264,625753,0.0000,1.0
2025-12-24,40.68,40.73,40.67,40.73,39.2876845734142,320074,0.0000,1.0
2025-12-26,40.73,40.76,40.72,40.75,39.3069763409435,401449,0.0000,1.0
2025-12-29,40.72,40.76,40.7,40.74,39.2973304571789,918919,0.0000,1.0
2025-12-30,40.74,40.76,40.73,40.74,39.2973304571789,1084260,0.0000,1.0
2025-12-31,40.74,40.76,40.63,40.63,39.1912257357678,810256,0.0000,1.0
