ex_dividend_date,declaration_date,record_date,payment_date,amount
2026-03-23,2026-01-19,2026-03-23,2026-03-26,0.3905
2026-02-23,2026-01-19,2026-02-23,2026-02-26,0.3412
2026-01-20,,,,0.3597
2025-12-22,2025-01-03,2025-12-22,2025-12-30,0.3252
2025-11-24,2025-01-03,2025-11-24,2025-12-02,0.4003
2025-10-20,2025-01-03,2025-10-20,2025-10-27,0.3967
2025-09-22,2025-01-03,2025-09-22,2025-09-29,0.3016
2025-08-18,2025-01-03,2025-08-18,2025-08-25,0.3163
2025-07-21,2025-01-03,2025-07-21,2025-07-28,0.3126
2025-06-23,2025-01-03,2025-06-23,2025-06-30,0.3872
2025-05-19,2025-01-03,2025-05-19,2025-05-27,0.3893
2025-04-21,2025-01-03,2025-04-21,2025-04-28,0.3774
2025-03-24,2025-01-03,2025-03-24,2025-03-31,0.4005
2025-02-24,2025-01-03,2025-02-24,2025-03-03,0.2907
2025-01-21,2025-01-03,2025-01-21,2025-01-28,0.373
2024-12-30,2023-12-28,2024-12-30,2025-01-07,1.189548
2024-11-18,2023-12-28,2024-11-18,2024-11-25,0.371
2024-10-21,2023-12-28,2024-10-21,2024-10-28,0.386
2024-09-23,2023-12-28,2024-09-23,2024-09-30,0.3419
2024-08-19,2023-12-28,2024-08-19,2024-08-26,0.4
2024-07-22,2023-12-28,2024-07-22,2024-07-29,0.3126
2024-06-24,2023-12-28,2024-06-24,2024-07-01,0.2764
2024-05-20,2023-12-28,2024-05-21,2024-05-29,0.2819
2024-04-22,2023-12-28,2024-04-23,2024-04-30,0.3404
2024-03-18,2023-12-28,2024-03-19,2024-03-26,0.3219
2024-02-20,2023-12-28,2024-02-21,2024-02-28,0.3017
2024-01-22,2023-12-28,2024-01-23,2024-01-30,0.3138
2023-12-28,2023-01-11,2023-12-29,2024-01-08,0.2896
2023-11-20,2023-01-11,2023-11-21,2023-11-29,0.2668
2023-10-23,2023-01-11,2023-10-24,2023-10-31,0.3835
2023-09-18,2023-01-11,2023-09-19,2023-09-26,0.333299
2023-08-21,2023-01-11,2023-08-22,2023-08-29,0.3803
2023-07-24,2023-01-11,2023-07-25,2023-08-01,0.2872
2023-06-20,2023-01-11,2023-06-21,2023-06-28,0.3274
2023-05-22,2023-01-11,2023-05-23,2023-05-31,0.284
2023-04-24,2023-01-11,2023-04-25,2023-05-02,0.376
2023-03-20,2023-01-11,2023-03-21,2023-03-28,0.3989
2023-02-21,2023-01-11,2023-02-22,2023-03-01,0.408121
2023-01-23,2023-01-20,2023-01-24,2023-01-31,0.4101
2022-12-29,2022-01-31,2022-12-30,2023-01-09,0.3822
2022-11-21,2022-01-31,2022-11-22,2022-11-30,0.4052
2022-10-24,2022-01-31,2022-10-25,2022-11-01,0.4007
2022-09-19,2022-01-31,2022-09-20,2022-09-27,0.4046
2022-08-22,2022-01-31,2022-08-23,2022-08-30,0.4338
2022-07-18,2022-01-31,2022-07-19,2022-07-26,0.4386
2022-06-21,2022-06-17,2022-06-22,2022-06-29,0.4223
2022-05-23,2022-01-31,2022-05-24,2022-06-01,0.4411
2022-04-18,,,,0.4947
2022-03-21,2022-01-31,2022-03-22,2022-03-29,0.5014
2022-02-22,2022-01-31,2022-02-23,2022-03-02,0.483528
2022-01-24,2022-01-21,2022-01-25,2022-02-01,0.4808
2021-12-30,2021-12-29,2021-12-31,2022-01-07,0.4577
2021-11-22,2021-01-06,2021-11-23,2021-12-01,0.3646
2021-10-18,2021-01-06,2021-10-19,2021-10-26,0.345132
2021-09-20,2021-01-06,2021-09-21,2021-09-28,0.370025
2021-08-23,2021-08-20,2021-08-24,2021-08-31,0.372813
2021-07-19,2021-01-06,2021-07-20,2021-07-27,0.336547
2021-06-21,2021-01-06,2021-06-22,2021-06-29,0.386506
2021-05-24,2021-01-06,2021-05-25,2021-06-02,0.3334
2021-04-19,2021-01-06,2021-04-20,2021-04-27,0.361055
2021-03-22,2021-01-06,2021-03-23,2021-03-30,0.419838
2021-02-22,2021-01-06,2021-02-23,2021-03-02,0.3596
2021-01-19,2021-01-06,2021-01-20,2021-01-27,0.476286
2020-12-30,2020-01-20,2020-12-31,2021-01-08,0.403563
2020-11-23,2020-01-20,2020-11-24,2020-12-02,0.449262
2020-10-19,2020-01-20,2020-10-20,2020-10-27,0.4523
2020-09-21,2020-01-20,2020-09-22,2020-09-29,0.4449
2020-08-24,2020-01-20,2020-08-25,2020-09-01,0.392
2020-07-20,2020-01-20,2020-07-21,2020-07-28,0.2177
2020-06-22,2020-01-20,2020-06-23,2020-06-30,0.2094
2020-05-18,2020-01-20,2020-05-19,2020-05-27,0.2066
2020-04-20,2020-01-20,2020-04-21,2020-04-28,0.203
2020-03-23,2020-01-20,2020-03-24,2020-03-31,0.1827
2020-02-24,2020-01-20,2020-02-25,2020-03-03,0.25995
2020-01-21,2020-01-17,2020-01-22,2020-01-29,0.25925
2019-12-30,,,,0.256
2019-11-20,,,,0.2506
2019-10-23,,,,0.24515
2019-09-25,,,,0.24345
2019-08-21,,,,0.2416
2019-07-24,,,,0.25065
2019-06-26,,,,0.2439
2019-05-22,,,,0.24
2019-04-24,,,,0.245
2019-03-20,,,,0.2393
2019-02-20,,,,0.2351
2019-01-23,,,,0.2266
2018-12-28,,,,0.387536
2018-11-21,,,,0.233
2018-10-24,,,,0.2475
2018-09-26,,,,0.2622
2018-08-22,,,,0.2601
2018-07-25,,,,0.25635
2018-06-20,,,,0.2543
2018-05-23,,,,0.2505
2018-04-25,,,,0.2451
2018-03-21,,,,0.24935
2018-02-21,,,,0.24985
2018-01-24,,,,0.25865
2017-12-20,,,,1.43499
2017-11-22,,,,0.06708
2017-10-25,,,,0.03746
2017-09-20,,,,0.06029
2017-08-23,,,,0.24676
2017-07-26,,,,0.05441
2017-06-21,,,,0.054297
2017-05-24,,,,0.07704
2017-04-26,,,,0.222812
2017-03-22,,,,0.061465
2017-02-23,,,,0.060377
2017-01-25,,,,0.226583
2016-12-21,,,,0.049982
2016-11-23,,,,0.076622
2016-10-26,,,,0.175962
2016-09-21,,,,0.198474
2016-08-24,,,,0.075623
2016-07-20,,,,0.031811
2016-06-22,,,,0.091224
2016-05-25,,,,0.266956
2016-04-20,,,,0.016562
2016-03-23,,,,0.074041
2016-02-24,,,,0.079974
2016-01-21,,,,0.334537
2015-12-23,,,,0.365741
2015-11-25,,,,0.084723
2015-10-21,,,,0.039984
2015-09-23,,,,0.39641
2015-08-26,,,,0.36993
2015-07-22,,,,0.057544
2015-06-24,,,,0.189357
2015-05-20,,,,0.071085
2015-04-22,,,,0.131005
2015-03-25,,,,0.069164
2015-02-25,,,,0.066743
2015-01-22,,,,0.193866
2014-12-24,,,,0.684003
2014-11-26,,,,0.183031
2014-10-23,,,,0.249981
2014-09-24,,,,0.170824
2014-08-21,,,,0.204816
2014-07-23,,,,0.035679
2014-06-25,,,,0.051692
2014-05-22,,,,0.079662
2014-04-23,,,,0.03311
2014-03-26,,,,0.046431
2014-02-26,,,,0.134651
2014-01-23,,,,0.019454
2013-12-26,,,,0.758212
2013-11-21,,,,0.065066
2013-10-23,,,,0.034844
2013-09-25,,,,0.050043
2013-08-22,,,,0.151374
2013-07-24,,,,0.0392
