date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2025-11-21,57.38,58.735,56.93,58.39,57.073393949079,1967190,0.0,1.0
2025-11-24,58.45,60.13,58.39,60.01,58.6568654030524,1666778,0.0,1.0
2025-11-25,60.6,60.975,60.08,60.63,59.2628853422274,1666413,0.0,1.0
2025-11-26,61.4,62.64,61.26,62.26,60.8561313113488,1065275,0.0,1.0
2025-11-28,63.65,64.58,63.43,64.3,62.8501324015376,2151184,0.0,1.0
2025-12-01,65.55,66.115,64.82,64.86,63.3975052498247,2971643,0.0,1.0
2025-12-02,65.16,65.16,63.55,64.65,63.192240431717,1671880,0.0,1.0
2025-12-03,66.28,67.675,66.14,67.47,65.9486537034485,6293278,0.0,1.0
2025-12-04,67.24,67.8,66.67,67.2,65.684741794453,2696645,0.0,1.0
2025-12-05,68.5,69.1,67.71,68.01,66.4764775214397,2157380,0.0,1.0
2025-12-08,68.1,68.27,67.14,67.44,65.9193301580046,1750884,0.0,1.0
2025-12-09,66.14,67.07,65.48,66.9,65.3915063400134,1559940,0.0,1.0
2025-12-10,67.42,68.69,66.89,68.46,66.9163307030989,2239273,0.0000,1.0
2025-12-11,68.25,69.64,68.2,69.15,67.5907722483098,2278142,0.0000,1.0
2025-12-12,69.95,70.42,67.43,68.14,66.6035462183635,2517143,0.0000,1.0
2025-12-15,69.68,69.71,68.52,68.76,67.2095661575385,2007007,0.0000,1.0
2025-12-16,68.3,68.96,67.81,68.33,66.7892620061752,1439764,0.0000,1.0
2025-12-17,69.46,69.73,68.68,68.75,67.1997916423905,1425430,0.0000,1.0
2025-12-18,69.13,69.53,68.585,69.15,67.5907722483098,1399008,0.0000,1.0
2025-12-19,69.9,71.1,69.63,70.3,68.714841490328,3456504,0.0000,1.0
2025-12-22,72.53,73.04,71.94,72.55,70.9141073986244,2936967,0.0000,1.0
2025-12-23,73.24,74.05,72.66,73.94,72.2727650041942,2938723,0.0000,1.0
2025-12-24,74.07,74.07,72.7,73.75,72.0870492163825,1125587,0.0000,1.0
2025-12-26,74.93,76.4984,74.7,75.71,74.0028541853874,3002748,0.0000,1.0
2025-12-29,74.13,74.13,72.0,72.98,71.3344115499877,3738420,0.0000,1.0
2025-12-30,73.06,73.1821,72.14,72.5,72.5,3768781,1.6725,1.0
2025-12-31,72.57,72.57,71.45,71.79,71.79,2495045,0.0000,1.0
2026-01-02,73.54,74.07,72.32,73.06,73.06,2286119,0.0000,1.0
2026-01-05,75.05,76.93,74.94,76.65,76.65,5575064,0.0000,1.0
2026-01-06,77.66,78.69,77.38,78.07,78.07,6775073,0.0000,1.0
2026-01-07,76.5,76.5,75.08,75.9,75.9,3927364,0.0000,1.0
2026-01-08,74.75,75.64,73.52,75.62,75.62,3123093,0.0000,1.0
2026-01-09,76.99,78.065,76.48,77.54,77.54,2987745,0.0000,1.0
2026-01-12,79.265,80.1725,78.82,80.07,80.07,5973535,0.0000,1.0
2026-01-13,81.28,81.28,79.44,79.84,79.84,3531106,0.0000,1.0
2026-01-14,81.59,82.62,81.07,82.39,82.39,5410321,0.0000,1.0
2026-01-15,81.865,82.89,81.3,82.04,82.04,3951298,0.0000,1.0
2026-01-16,81.06,81.06,79.3,80.77,80.77,4701762,0.0000,1.0
2026-01-20,81.55,82.5997,80.9,82.25,82.25,5168472,0.0000,1.0
2026-01-21,84.58,85.58,83.14,83.97,83.97,5752716,0.0000,1.0
2026-01-22,83.5,83.63,81.61,82.23,82.23,3961838,0.0000,1.0
2026-01-23,84.49,86.15,83.825,86.01,86.01,5750424,0.0000,1.0
2026-01-26,90.8,92.75,87.71,88.08,88.08,16169321,0.0000,1.0
2026-01-27,88.7,90.44,87.75,90.42,90.42,8253969,0.0000,1.0
2026-01-28,92.15,92.82,90.33,91.98,91.98,9110555,0.0000,1.0
2026-01-29,99.74,99.99,91.28,94.23,94.23,18336235,0.0000,1.0
2026-01-30,87.75,88.4899,82.4301,84.81,84.81,15178153,0.0000,1.0
2026-02-02,84.76,85.7889,83.63,85.2,85.2,6741891,0.0000,1.0
2026-02-03,89.12,90.87,88.05,90.76,90.76,8181754,0.0000,1.0
2026-02-04,91.7,91.75,84.49,86.61,86.61,8498920,0.0000,1.0
2026-02-05,84.12,84.9,81.1,81.31,81.31,9581199,0.0000,1.0
2026-02-06,83.8,84.99,83.66,84.68,84.68,5515893,0.0000,1.0
2026-02-09,86.485,89.2195,85.95,89.03,89.03,4473389,0.0000,1.0
2026-02-10,88.58,88.78,87.15,88.23,88.23,2321676,0.0000,1.0
2026-02-11,90.96,91.3372,88.3,90.12,90.12,5597535,0.0000,1.0
2026-02-12,91.57,91.57,86.1,87.15,87.15,4337975,0.0000,1.0
2026-02-13,86.71,88.2381,84.93,87.94,87.94,3538324,0.0000,1.0
2026-02-17,84.4,85.02,81.78,84.78,84.78,4051448,0.0000,1.0
2026-02-18,86.34,87.6,85.87,86.66,86.66,3316951,0.0000,1.0
2026-02-19,84.45,86.12,83.81,86.12,86.12,5685739,0.0000,1.0
2026-02-20,85.86,89.34,85.74,89.09,89.09,4000975,0.0000,1.0
2026-02-23,89.43,91.16,89.02,90.85,90.85,4701909,0.0000,1.0
2026-02-24,89.91,93.99,89.73,93.37,93.37,5832550,0.0000,1.0
2026-02-25,95.97,97.24,94.7454,95.06,95.06,5975477,0.0000,1.0
2026-02-26,92.97,94.59,91.52,94.45,94.45,6070660,0.0000,1.0
2026-02-27,95.34,96.71,94.59,95.7,95.7,5134718,0.0000,1.0
2026-03-02,93.785,94.27,92.77,93.6,93.6,3727225,0.0000,1.0
2026-03-03,85.85,87.89,83.4,87.02,87.02,8541188,0.0000,1.0
2026-03-04,88.53,88.61,86.94,88.16,88.16,2533284,0.0000,1.0
2026-03-05,85.14,85.65,81.15,82.3,82.3,6996676,0.0000,1.0
2026-03-06,80.47,81.3,79.11,79.95,79.95,8377145,0.0000,1.0
2026-03-09,77.455,82.25,76.18,82.24,82.24,7219922,0.0000,1.0
2026-03-10,83.04,84.86,82.71,83.06,83.06,5096728,0.0000,1.0
2026-03-11,81.96,83.28,81.1,82.29,82.29,3324385,0.0000,1.0
2026-03-12,81.145,81.18,78.97,79.74,79.74,2832402,0.0000,1.0
2026-03-13,79.75,80.0,76.1202,76.39,76.39,4238619,0.0000,1.0
2026-03-16,77.83,78.86,76.91,78.66,78.66,4793589,0.0000,1.0
2026-03-17,77.99,78.915,77.3301,77.91,77.91,2205929,0.0000,1.0
