date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2025-11-21,374.025,377.23,372.94,374.27,374.27,13194563,0.0,1.0
2025-11-24,374.88,380.28,374.19,380.2,380.2,10085318,0.0,1.0
2025-11-25,380.255,382.52,378.06,380.08,380.08,10462806,0.0,1.0
2025-11-26,381.055,383.775,380.46,383.12,383.12,9184071,0.0,1.0
2025-11-28,385.98,388.0,384.99,387.88,387.88,7175407,0.0,1.0
2025-12-01,390.61,390.7001,388.0605,389.75,389.75,11177072,0.0,1.0
2025-12-02,388.87,388.98,382.9103,387.24,387.24,8103923,0.0,1.0
2025-12-03,388.46,390.1293,385.83,386.88,386.88,7886793,0.0,1.0
2025-12-04,386.92,388.0,385.4,387.13,387.13,6754434,0.0,1.0
2025-12-05,389.12,391.735,386.175,386.44,386.44,9449808,0.0,1.0
2025-12-08,387.02,387.2418,384.01,385.42,385.42,6766623,0.0,1.0
2025-12-09,385.62,388.21,385.27,387.4,387.4,6002824,0.0,1.0
2025-12-10,385.95,389.76,384.5,389.05,389.05,9120475,0.0000,1.0
2025-12-11,389.02,394.09,388.5,393.24,393.24,11240629,0.0000,1.0
2025-12-12,399.155,400.39,391.47,395.44,395.44,16792059,0.0000,1.0
2025-12-15,397.76,398.71,394.0738,395.8,395.8,11345031,0.0000,1.0
2025-12-16,397.75,398.71,394.59,395.89,395.89,9201557,0.0000,1.0
2025-12-17,398.08,399.98,397.25,399.29,399.29,10456889,0.0000,1.0
2025-12-18,398.28,402.21,396.05,398.57,398.57,11837551,0.0000,1.0
2025-12-19,397.92,400.63,397.17,399.02,399.02,9894767,0.0000,1.0
2025-12-22,406.98,408.52,405.72,408.23,408.23,14202068,0.0000,1.0
2025-12-23,410.3,413.76,407.1,413.64,413.64,13193258,0.0000,1.0
2025-12-24,412.25,412.63,408.83,411.93,411.93,6718437,0.0000,1.0
2025-12-26,416.48,418.45,414.75,416.74,416.74,10476234,0.0000,1.0
2025-12-29,403.66,403.76,395.33,398.6,398.6,20679239,0.0000,1.0
2025-12-30,403.6,403.8,398.56,398.89,398.89,10179028,0.0000,1.0
2025-12-31,398.6,400.13,395.59,396.31,396.31,10194738,0.0000,1.0
2026-01-02,401.62,401.82,396.25,398.28,398.28,10372572,0.0000,1.0
2026-01-05,406.39,409.72,406.15,408.76,408.76,13410637,0.0000,1.0
2026-01-06,410.67,413.48,410.31,413.18,413.18,11640912,0.0000,1.0
2026-01-07,408.63,410.81,406.65,409.23,409.23,10589452,0.0000,1.0
2026-01-08,406.965,411.64,406.4,411.49,411.49,8705926,0.0000,1.0
2026-01-09,413.215,415.29,411.8,414.47,414.47,14011238,0.0000,1.0
2026-01-12,421.52,425.74,421.52,422.23,422.23,20904133,0.0000,1.0
2026-01-13,424.59,426.12,420.07,421.63,421.63,16681219,0.0000,1.0
2026-01-14,426.03,426.86,422.84,425.94,425.94,18305538,0.0000,1.0
2026-01-15,423.02,425.06,422.79,423.33,423.33,14253249,0.0000,1.0
2026-01-16,422.8,424.8,417.04,421.29,421.29,20951571,0.0000,1.0
2026-01-20,436.69,438.1399,434.1,437.23,437.23,21071562,0.0000,1.0
2026-01-21,446.87,447.9999,437.11,443.6,443.6,38830228,0.0000,1.0
2026-01-22,443.84,452.98,443.56,451.79,451.79,19251185,0.0000,1.0
2026-01-23,454.11,458.75,453.45,458.0,458.0,21531873,0.0000,1.0
2026-01-26,466.78,469.28,460.36,464.7,464.7,34155974,0.0000,1.0
2026-01-27,465.07,476.49,463.95,476.1,476.1,27056993,0.0000,1.0
2026-01-28,483.39,495.88,481.2501,494.56,494.56,44154580,0.0000,1.0
2026-01-29,509.51,509.7,468.51,495.9,495.9,69970856,0.0000,1.0
2026-01-30,466.245,470.06,430.8,444.95,444.95,86593519,0.0000,1.0
2026-02-02,434.01,440.78,422.55,427.13,427.13,41626234,0.0000,1.0
2026-02-03,452.63,459.0,448.31,454.29,454.29,28255847,0.0000,1.0
2026-02-04,462.47,463.1,445.71,453.97,453.97,24427923,0.0000,1.0
2026-02-05,444.29,450.9,440.35,441.88,441.88,17718069,0.0000,1.0
2026-02-06,450.73,456.93,450.03,455.46,455.46,12663907,0.0000,1.0
2026-02-09,461.39,467.56,460.85,467.03,467.03,12330874,0.0000,1.0
2026-02-10,465.96,466.75,459.52,462.4,462.4,7861589,0.0000,1.0
2026-02-11,466.0,468.61,462.82,467.63,467.63,11209595,0.0000,1.0
2026-02-12,464.9,466.38,448.06,451.39,451.39,20488829,0.0000,1.0
2026-02-13,459.73,463.8399,456.25,462.62,462.62,12359348,0.0000,1.0
2026-02-17,450.26,451.37,445.53,448.2,448.2,10976087,0.0000,1.0
2026-02-18,455.81,460.51,455.324,458.28,458.28,10226301,0.0000,1.0
2026-02-19,457.34,461.505,456.03,459.56,459.56,8411438,0.0000,1.0
2026-02-20,463.25,468.62,458.34,468.62,468.62,14316250,0.0000,1.0
2026-02-23,474.65,481.46,474.61,481.28,481.28,17441572,0.0000,1.0
2026-02-24,470.085,475.44,469.55,474.61,474.61,14147095,0.0000,1.0
2026-02-25,475.74,479.53,472.9,473.42,473.42,12954283,0.0000,1.0
2026-02-26,474.95,477.83,442.04,477.48,477.48,12375047,0.0000,1.0
2026-02-27,480.75,483.9,479.11,483.75,483.75,16795079,0.0000,1.0
2026-03-02,490.095,492.15,483.28,490.0,490.0,19916577,0.0000,1.0
2026-03-03,472.83,473.2,458.93,468.14,468.14,22591538,0.0000,1.0
2026-03-04,474.82,476.415,469.39,471.8,471.8,9985887,0.0000,1.0
2026-03-05,470.45,470.67,463.91,466.13,466.13,11674826,0.0000,1.0
2026-03-06,469.04,475.46,467.07,473.51,473.51,10489815,0.0000,1.0
2026-03-09,468.09,472.68,464.79,472.53,472.53,8829848,0.0000,1.0
2026-03-10,479.74,481.31,474.21,477.86,477.86,9616837,0.0000,1.0
2026-03-11,476.13,477.45,473.13,476.24,476.24,7522851,0.0000,1.0
2026-03-12,475.02,475.02,466.6,466.88,466.88,11900580,0.0000,1.0
2026-03-13,469.31,470.102,460.22,460.84,460.84,11741579,0.0000,1.0
