date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2025-11-21,478.5,478.92,468.27,472.12,471.04423266645,31769248,0.0,1.0
2025-11-24,475.0,476.9,468.02,474.0,472.919948919548,34421046,0.0,1.0
2025-11-25,474.07,479.15,464.89,476.99,475.903135939104,28019793,0.0,1.0
2025-11-26,486.31,488.31,481.2,485.5,484.393745148609,25709079,0.0,1.0
2025-11-28,487.595,492.63,486.65,492.01,490.888911535669,14386730,0.0,1.0
2025-12-01,488.435,489.8599,484.6475,486.74,485.630919698525,23963993,0.0,1.0
2025-12-02,486.715,493.4999,486.32,490.0,488.883491499111,19562722,0.0,1.0
2025-12-03,476.32,484.24,475.2,477.73,476.641449783409,34615102,0.0,1.0
2025-12-04,479.76,481.322,476.49,480.84,479.744363372311,22318155,0.0,1.0
2025-12-05,482.515,483.4,478.8801,483.16,482.059077046348,22608710,0.0,1.0
2025-12-08,484.885,492.3,484.38,491.02,489.901167338558,20668450,0.0,1.0
2025-12-09,489.1,492.12,488.5001,492.02,490.898888749781,14092776,0.0,1.0
2025-12-10,484.03,484.25,475.08,478.56,477.469558554724,35756229,0.0000,1.0
2025-12-11,476.63,486.03,475.86,483.47,482.368370683827,24669180,0.0000,1.0
2025-12-12,479.82,482.45,476.34,478.53,477.439626912387,21248102,0.0000,1.0
2025-12-15,480.1,480.7205,472.52,474.82,473.738080476751,23727694,0.0000,1.0
2025-12-16,471.905,477.89,470.88,476.39,475.304503092371,20705560,0.0000,1.0
2025-12-17,476.905,480.0,475.0,476.12,475.03511831134,24527176,0.0000,1.0
2025-12-18,478.19,489.6,477.89,483.98,482.877208603551,28573545,0.0000,1.0
2025-12-19,487.36,487.85,482.49,485.92,484.812788141323,70836105,0.0000,1.0
2025-12-22,486.12,488.73,482.69,484.92,483.8150667301,16963019,0.0000,1.0
2025-12-23,484.98,487.83,484.74,486.85,485.74066905376,14683582,0.0000,1.0
2025-12-24,485.68,489.1625,484.83,488.02,486.90800310489,5855880,0.0000,1.0
2025-12-26,486.705,488.12,485.96,487.71,486.598709467411,8842175,0.0000,1.0
2025-12-29,484.855,488.35,484.18,487.1,485.990099406565,10893408,0.0000,1.0
2025-12-30,485.93,489.68,485.5,487.48,486.36923354283,13944512,0.0000,1.0
2025-12-31,487.84,488.14,483.3,483.62,482.51802889551,15601554,0.0000,1.0
2026-01-02,484.385,484.66,470.16,472.94,471.862364223652,25571567,0.0000,1.0
2026-01-05,474.055,476.07,469.5,472.85,471.772569296642,25250260,0.0000,1.0
2026-01-06,473.8,478.7367,469.75,478.51,477.419672484163,23037665,0.0000,1.0
2026-01-07,479.755,489.7,477.95,483.47,482.368370683827,25564196,0.0000,1.0
2026-01-08,481.24,482.66,475.86,478.11,477.020583919674,18162616,0.0000,1.0
2026-01-09,474.06,479.82,472.2001,479.28,478.187917970804,18491036,0.0000,1.0
2026-01-12,476.67,480.99,475.6803,477.18,476.092703007236,23519895,0.0000,1.0
2026-01-13,474.675,475.7799,465.95,470.67,469.597536620177,28545800,0.0000,1.0
2026-01-14,466.46,468.2,457.17,459.38,458.333261887473,28184302,0.0000,1.0
2026-01-15,464.12,464.25,455.9,456.66,455.619459648947,23225839,0.0000,1.0
2026-01-16,457.83,463.19,456.48,459.86,458.81216816486,34246650,0.0000,1.0
2026-01-20,451.215,456.8,449.28,454.52,453.484335828931,25973898,0.0000,1.0
2026-01-21,452.595,452.69,438.68,444.11,443.098055938103,37980510,0.0000,1.0
2026-01-22,447.62,452.84,444.7,451.14,450.112037458998,25349378,0.0000,1.0
2026-01-23,451.87,471.1,450.53,465.95,464.888291559206,38000159,0.0000,1.0
2026-01-26,465.305,474.25,462.0,470.28,469.2084252698,29291235,0.0000,1.0
2026-01-27,473.7,482.87,473.16,480.58,479.484955805393,29088664,0.0000,1.0
2026-01-28,483.21,483.74,478.0,481.63,480.532563287177,36875403,0.0000,1.0
2026-01-29,439.99,442.5,421.02,433.5,432.51223176503,128855323,0.0000,1.0
