date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2025-11-21,204.53,212.0,192.59,207.37,207.192441270231,36679691,0.0,1.0
2025-11-24,213.41,226.11,212.36,223.93,223.738261916588,33052839,0.0,1.0
2025-11-25,219.22,226.19,216.0,224.53,224.33774817189,17441636,0.0,1.0
2025-11-26,229.616,233.8299,226.0,230.26,230.062841910032,17817622,0.0,1.0
2025-11-28,235.615,238.1,233.47,236.48,236.277516090004,12914741,0.0,1.0
2025-12-01,232.285,242.36,231.5,240.46,240.254108250179,18238209,0.0,1.0
2025-12-02,238.745,244.3699,234.33,239.49,239.284938804106,18166225,0.0,1.0
2025-12-03,236.39,237.8,228.09,234.16,233.9595025695,19188220,0.0,1.0
2025-12-04,230.28,234.16,223.33,226.65,226.455932940627,23513857,0.0,1.0
2025-12-05,228.945,240.57,226.685,237.22,237.016882471544,21160980,0.0,1.0
2025-12-08,243.49,249.23,241.61,246.92,246.708576932273,20196743,0.0,1.0
2025-12-09,244.485,255.5075,242.83,252.42,252.203867605881,16973586,0.0,1.0
2025-12-10,255.13,264.75,250.58,263.71,263.484200643162,21960704,0.0000,1.0
2025-12-11,261.53,262.85,251.55,258.46,258.238695909263,18867027,0.0000,1.0
2025-12-12,255.67,255.82,239.32,241.14,240.933526006189,25936927,0.0000,1.0
2025-12-15,247.11,250.11,236.0,237.5,237.296642724019,27483624,0.0000,1.0
2025-12-16,235.8,239.3999,230.58,232.51,232.310915367417,22577259,0.0000,1.0
2025-12-17,236.555,237.45,221.69,225.52,225.32690049314,41957128,0.0000,1.0
2025-12-18,256.53,263.65,245.0,248.55,248.337181259178,65006099,0.0000,1.0
2025-12-19,251.75,268.38,251.745,265.92,265.692308350194,62312103,0.0000,1.0
2025-12-22,277.15,279.99,268.29,276.59,276.353172256995,30961879,0.0000,1.0
2025-12-23,275.92,281.86,272.32,276.27,276.033446254167,20767600,0.0000,1.0
2025-12-24,278.0,289.3,277.25,286.68,286.43453278367,18592572,0.0000,1.0
2025-12-26,290.835,290.87,283.42,284.79,284.546151079467,17878464,0.0000,1.0
2025-12-29,280.325,294.5,278.5,294.37,294.232849821401,26642890,0.1150,1.0
2025-12-30,294.7,298.83,292.01,292.63,292.49366050629,23056391,0.0000,1.0
2025-12-31,293.165,293.165,284.18,285.41,285.277024382668,17573788,0.0000,1.0
2026-01-02,295.125,315.6,294.86,315.42,315.273042397888,42604280,0.0000,1.0
2026-01-05,325.13,325.53,309.55,312.15,312.004565926386,34608591,0.0000,1.0
2026-01-06,318.28,344.55,318.06,343.43,343.269992234819,48732420,0.0000,1.0
2026-01-07,340.71,346.3,337.1801,339.55,339.391799968939,32781099,0.0000,1.0
2026-01-08,342.9,343.66,321.36,327.02,326.867637831961,33897720,0.0000,1.0
2026-01-09,332.745,345.8,326.19,345.09,344.929218822799,33387505,0.0000,1.0
2026-01-12,340.55,348.47,339.32,345.87,345.708855412331,23152588,0.0000,1.0
2026-01-13,346.27,351.23,335.22,338.13,337.972461562354,23881339,0.0000,1.0
2026-01-14,334.84,339.1,328.2,333.35,333.194688616245,20277196,0.0000,1.0
2026-01-15,345.325,347.77,336.27,336.63,336.473160428638,25370230,0.0000,1.0
2026-01-16,353.1,365.81,352.04,362.75,362.580990837087,47901925,0.0000,1.0
2026-01-20,364.68,381.5599,361.35,365.0,364.829942537661,48666296,0.0000,1.0
2026-01-21,372.85,394.2,366.73,389.11,388.92870942693,56712817,0.0000,1.0
2026-01-22,396.64,397.78,376.92,397.58,397.394763161982,39607596,0.0000,1.0
2026-01-23,397.16,412.4299,390.74,399.65,399.46379872651,35404198,0.0000,1.0
2026-01-26,395.5,398.0,384.3,389.09,388.908718745147,29193925,0.0000,1.0
2026-01-27,404.61,416.4499,399.6,410.24,410.048864730548,34251357,0.0000,1.0
2026-01-28,422.435,438.94,417.0,435.28,435.077198322721,42725675,0.0000,1.0
2026-01-29,439.37,444.71,417.7,435.79,435.586960708185,42675710,0.0000,1.0
2026-01-30,446.465,455.5,407.13,414.88,414.686702904178,51022881,0.0000,1.0
2026-02-02,412.18,442.43,410.0,437.8,437.596024227365,37771237,0.0000,1.0
2026-02-03,442.16,442.3,407.53,419.44,419.244578350676,42166116,0.0000,1.0
2026-02-04,410.59,413.0,363.901,379.4,379.223233421339,58074935,0.0000,1.0
2026-02-05,369.62,390.93,366.0,382.89,382.711607392452,38899485,0.0000,1.0
2026-02-06,377.965,396.65,372.8726,394.69,394.506109644355,37196006,0.0000,1.0
2026-02-09,380.69,391.8099,370.68,383.5,383.32132318683,31009558,0.0000,1.0
2026-02-10,375.99,382.79,366.06,373.25,373.076098773101,35433808,0.0000,1.0
2026-02-11,395.385,414.16,386.57,410.34,410.148818139463,48474994,0.0000,1.0
2026-02-12,422.25,438.77,411.16,413.97,413.777126883056,45639117,0.0000,1.0
2026-02-13,405.19,420.88,392.71,411.66,411.468203137133,33807586,0.0000,1.0
2026-02-17,400.95,413.66,395.3,399.78,399.593738158099,28549505,0.0000,1.0
2026-02-18,399.5,427.85,394.6,420.95,420.753874825283,32306578,0.0000,1.0
2026-02-19,415.81,420.315,407.74,417.35,417.155552104364,21651264,0.0000,1.0
2026-02-20,415.18,430.57,415.15,428.17,427.970510948905,29894907,0.0000,1.0
2026-02-23,422.31,431.695,415.3001,420.97,420.773865507066,25426639,0.0000,1.0
2026-02-24,429.22,436.27,411.28,418.01,417.815244603199,33389161,0.0000,1.0
2026-02-25,426.5,436.8899,423.0,429.0,428.800124242895,27296338,0.0000,1.0
2026-02-26,424.84,434.0,401.96,415.56,415.366386084796,35433455,0.0000,1.0
2026-02-27,401.81,417.96,401.1818,412.37,412.177872340426,28653878,0.0000,1.0
2026-03-02,401.47,417.61,397.0,412.67,412.477732567169,30049197,0.0000,1.0
2026-03-03,386.55,390.09,374.55,379.68,379.503102966299,39010902,0.0000,1.0
2026-03-04,393.635,407.88,387.6089,400.77,400.583276906352,32644899,0.0000,1.0
2026-03-05,398.6,404.53,380.3,397.05,396.865010094735,29960060,0.0000,1.0
2026-03-06,380.14,391.1799,367.45,370.3,370.127473210126,34458784,0.0000,1.0
2026-03-09,363.96,390.0,357.67,389.32,389.13861158565,35547220,0.0000,1.0
2026-03-10,394.01,415.31,393.64,403.11,402.92218667495,33745433,0.0000,1.0
2026-03-11,410.77,422.75,405.79,418.69,418.494927783817,30191430,0.0000,1.0
2026-03-12,409.995,413.73,396.665,405.35,405.161143034633,31720873,0.0000,1.0
2026-03-13,413.75,429.35,413.0,426.13,425.931461407051,39260990,0.0000,1.0
2026-03-16,446.16,454.86,437.745,441.8,441.594160583942,43067574,0.0000,1.0
2026-03-17,452.535,462.7299,445.1401,461.69,461.474893617021,43017891,0.0000,1.0
2026-03-18,464.76,471.34,458.3,461.73,461.514874980587,58973662,0.0000,1.0
2026-03-19,424.97,457.22,421.11,444.27,444.063009784128,74591901,0.0000,1.0
2026-03-20,443.915,449.1,415.3601,422.9,422.702966299115,64224943,0.0000,1.0
2026-03-23,426.145,444.27,401.52,404.35,404.161608945488,54807325,0.0000,1.0
2026-03-24,401.28,404.98,388.91,395.53,395.345718279236,44975061,0.0000,1.0
2026-03-25,383.0,388.92,371.381,382.09,381.911980121137,55328681,0.0000,1.0
2026-03-26,370.02,374.25,350.0,355.46,355.294387327225,54515896,0.0000,1.0
