date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2025-11-21,105.13,106.53,103.81,104.31,104.31,41232687,0.0,1.0
2025-11-24,104.25,108.04,103.32,106.97,106.97,62918292,0.0,1.0
2025-11-25,106.12,106.3,103.82,104.4,104.4,35122559,0.0,1.0
2025-11-26,105.74,106.95,105.22,106.14,106.14,27951013,0.0,1.0
2025-11-28,106.435,107.94,106.24,107.58,107.58,15021609,0.0,1.0
2025-12-01,106.51,109.335,106.31,109.13,109.13,24873385,0.0,1.0
2025-12-02,109.205,109.73,107.52,109.35,109.35,25762983,0.0,1.0
2025-12-03,106.59,106.87,102.03,103.96,103.96,53593403,0.0,1.0
2025-12-04,103.57,103.8,101.77,103.22,103.22,51779136,0.0,1.0
2025-12-05,98.775,104.79,97.74,100.24,100.24,133363601,0.0,1.0
2025-12-08,99.87,99.89,95.3,96.79,96.79,99591582,0.0,1.0
2025-12-09,97.03,97.24,95.45,96.71,96.71,51498294,0.0,1.0
2025-12-10,96.735,96.97,92.35,92.71,92.71,74129272,0.0000,1.0
2025-12-11,93.895,94.82,92.76,94.09,94.09,43949009,0.0000,1.0
2025-12-12,95.5,96.92,94.65,95.19,95.19,49323122,0.0000,1.0
2025-12-15,96.015,96.37,93.53,93.77,93.77,40016455,0.0000,1.0
2025-12-16,93.88,94.93,93.32,94.57,94.57,34264989,0.0000,1.0
2025-12-17,95.98,97.33,94.46,94.79,94.79,50472781,0.0000,1.0
2025-12-18,95.02,95.81,93.59,94.0,94.0,37244734,0.0000,1.0
2025-12-19,93.57,95.54,93.45,94.39,94.39,78990153,0.0000,1.0
2025-12-22,94.71,94.71,92.91,93.23,93.23,39484765,0.0000,1.0
2025-12-23,93.395,93.81,91.33,93.5,93.5,25896234,0.0000,1.0
2025-12-24,93.11,93.68,92.665,93.64,93.64,12427895,0.0000,1.0
2025-12-26,93.48,94.685,93.27,94.47,94.47,22068276,0.0000,1.0
2025-12-29,93.99,94.97,93.625,94.15,94.15,24493738,0.0000,1.0
2025-12-30,93.52,93.9899,93.34,93.78,93.78,23422033,0.0000,1.0
2025-12-31,93.6,94.305,93.2,93.76,93.76,23495191,0.0000,1.0
2026-01-02,94.13,94.13,90.8104,90.99,90.99,41155402,0.0000,1.0
2026-01-05,90.92,92.63,90.84,91.46,91.46,39183316,0.0000,1.0
2026-01-06,91.54,91.64,89.74,90.65,90.65,43330972,0.0000,1.0
2026-01-07,91.555,92.419,90.06,90.73,90.73,36525740,0.0000,1.0
2026-01-08,90.45,91.25,89.58,90.53,90.53,40068670,0.0000,1.0
2026-01-09,90.03,90.05,88.32,89.46,89.46,55579523,0.0000,1.0
2026-01-12,89.69,90.335,89.33,89.41,89.41,36290606,0.0000,1.0
2026-01-13,89.44,91.15,89.07,90.32,90.32,45221097,0.0000,1.0
2026-01-14,91.24,91.58,87.95,88.55,88.55,49737704,0.0000,1.0
2026-01-15,89.02,89.89,87.82,88.05,88.05,36945057,0.0000,1.0
2026-01-16,88.335,88.51,87.78,88.0,88.0,48130497,0.0000,1.0
2026-01-20,88.97,89.9,87.02,87.26,87.26,100813841,0.0000,1.0
2026-01-21,82.515,86.0,81.93,85.36,85.36,127940744,0.0000,1.0
2026-01-22,85.02,85.1,82.98,83.54,83.54,69113304,0.0000,1.0
2026-01-23,83.43,86.3,83.28,86.12,86.12,64520383,0.0000,1.0
2026-01-26,86.92,86.94,85.35,85.7,85.7,40941875,0.0000,1.0
2026-01-27,85.275,85.6,83.88,85.58,85.58,37509148,0.0000,1.0
2026-01-28,85.625,86.47,84.295,84.64,84.64,37762612,0.0000,1.0
2026-01-29,84.31,84.38,82.3501,83.16,83.16,42278102,0.0000,1.0
2026-01-30,83.1,84.055,82.78,83.49,83.49,45755030,0.0000,1.0
2026-02-02,83.53,85.27,82.72,82.76,82.76,41445253,0.0000,1.0
2026-02-03,82.23,82.45,79.62,79.94,79.94,49323672,0.0000,1.0
2026-02-04,79.99,81.435,79.225,80.16,80.16,48963242,0.0000,1.0
2026-02-05,81.49,83.3,80.535,80.87,80.87,54805693,0.0000,1.0
2026-02-06,81.02,82.485,80.65,82.2,82.2,46154060,0.0000,1.0
2026-02-09,82.18,82.205,79.87,81.47,81.47,42200212,0.0000,1.0
2026-02-10,82.715,84.66,82.09,82.21,82.21,43595792,0.0000,1.0
2026-02-11,81.96,82.48,79.45,79.62,79.62,40840269,0.0000,1.0
2026-02-12,79.11,79.15,75.23,75.86,75.86,73516074,0.0000,1.0
2026-02-13,76.14,77.18,75.53,76.87,76.87,42292078,0.0000,1.0
2026-02-17,76.92,77.87,75.3,77.0,77.0,35961512,0.0000,1.0
2026-02-18,77.32,78.32,76.28,77.99,77.99,29883106,0.0000,1.0
2026-02-19,77.75,78.7,76.59,77.0,77.0,30139202,0.0000,1.0
2026-02-20,76.61,78.85,76.4,78.67,78.67,32411317,0.0000,1.0
2026-02-23,77.79,77.83,75.01,76.02,76.02,38363022,0.0000,1.0
2026-02-24,75.73,78.12,75.21,78.04,78.04,33079056,0.0000,1.0
2026-02-25,79.43,83.117,79.25,82.7,82.7,69319330,0.0000,1.0
2026-02-26,83.2,86.5,82.8,84.59,84.59,85642486,0.0000,1.0
2026-02-27,94.295,96.75,90.58,96.24,96.24,200766960,0.0000,1.0
2026-03-02,95.26,98.07,95.2,97.09,97.09,79915361,0.0000,1.0
2026-03-03,96.01,98.46,95.33,97.7,97.7,59149000,0.0000,1.0
2026-03-04,97.105,99.75,96.99,98.66,98.66,52604273,0.0000,1.0
2026-03-05,98.5,100.19,98.1,99.17,99.17,53403048,0.0000,1.0
2026-03-06,99.33,99.88,97.4,99.02,99.02,41196294,0.0000,1.0
2026-03-09,97.7,98.94,96.58,98.32,98.32,48589009,0.0000,1.0
2026-03-10,97.805,98.49,96.29,96.94,96.94,41027158,0.0000,1.0
2026-03-11,97.41,98.0,94.685,94.89,94.89,33962858,0.0000,1.0
2026-03-12,94.86,95.4,93.87,94.31,94.31,34206855,0.0000,1.0
2026-03-13,94.64,95.68,94.24,95.31,95.31,29876659,0.0000,1.0
2026-03-16,95.58,96.1,94.36,95.2,95.2,34931831,0.0000,1.0
2026-03-17,95.3,96.34,94.01,94.36,94.36,26434496,0.0000,1.0
2026-03-18,94.445,95.335,93.61,94.7,94.7,27878318,0.0000,1.0
2026-03-19,94.31,95.75,90.775,91.74,91.74,40169250,0.0000,1.0
2026-03-20,91.31,91.88,90.69,91.82,91.82,61678012,0.0000,1.0
2026-03-23,92.04,93.98,91.86,93.38,93.38,34315874,0.0000,1.0
2026-03-24,92.79,93.7398,90.815,90.92,90.92,28938033,0.0000,1.0
2026-03-25,91.71,92.52,91.235,92.28,92.28,29545625,0.0000,1.0
2026-03-26,91.52,95.86,91.01,93.32,93.32,59522026,0.0000,1.0
2026-03-27,94.57,95.5799,92.74,93.43,93.43,44590673,0.0000,1.0
2026-03-30,92.75,94.49,92.22,92.97,92.97,32375138,0.0000,1.0
2026-03-31,93.03,96.26,93.03,96.15,96.15,54269957,0.0000,1.0
2026-04-01,96.47,97.2,94.264,95.55,95.55,30439305,0.0000,1.0
2026-04-02,95.27,98.71,95.17,98.66,98.66,37068024,0.0000,1.0
