date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2025-11-21,587.47,596.98,580.74,590.07,588.580714804364,103344155,0.0,1.0
2025-11-24,595.28,606.68,595.16,605.16,603.632628960986,60168149,0.0,1.0
2025-11-25,603.51,610.2601,597.32,608.89,607.353214766433,57560867,0.0,1.0
2025-11-26,612.51,616.19,610.39,614.27,612.719636115845,42393598,0.0,1.0
2025-11-28,616.11,619.32,615.4174,619.25,617.687067030357,23034394,0.0,1.0
2025-12-01,613.63,619.4401,612.52,617.17,615.612316768874,40957588,0.0,1.0
2025-12-02,619.46,623.75,617.59,622.0,620.430126270298,54541834,0.0,1.0
2025-12-03,619.62,624.22,618.03,623.52,621.94628992292,47841627,0.0,1.0
2025-12-04,624.93,624.94,619.54,622.94,621.367753792314,47067751,0.0,1.0
2025-12-05,624.38,628.92,623.71,625.48,623.901343053932,53614169,0.0,1.0
2025-12-08,627.21,628.84,621.69,624.28,622.70437174923,42019642,0.0,1.0
2025-12-09,623.01,625.87,621.0,625.05,623.472428336414,36918603,0.0,1.0
2025-12-10,623.85,629.21,620.99,627.61,626.025967119777,55031384,0.0000,1.0
2025-12-11,623.82,625.78,617.72,625.58,624.001090662657,58272844,0.0000,1.0
2025-12-12,622.08,623.54,611.36,613.62,612.071276659132,75158726,0.0000,1.0
2025-12-15,618.37,618.42,609.32,610.54,608.999050310398,49538197,0.0000,1.0
2025-12-16,608.26,613.51,606.9101,611.75,610.205996375972,55152819,0.0000,1.0
2025-12-17,613.06,613.65,600.28,600.41,598.894617546542,70654327,0.0000,1.0
2025-12-18,609.8,612.93,606.92,609.11,607.572659505629,78875824,0.0000,1.0
2025-12-19,611.95,617.62,611.87,617.05,615.492619638404,60369829,0.0000,1.0
2025-12-22,621.35,621.65,617.77,619.21,618.439243798231,43703101,0.7941,1.0
2025-12-23,618.2,622.41,617.78,622.11,621.335634048735,41120445,0.0000,1.0
2025-12-24,621.99,624.28,621.72,623.93,623.153368619742,18468707,0.0000,1.0
2025-12-26,624.66,625.515,623.14,623.89,623.11341840939,28959778,0.0000,1.0
2025-12-29,620.1,622.78,618.73,620.87,620.09717752783,32458308,0.0000,1.0
2025-12-30,619.84,622.18,619.215,619.43,618.658969955166,31226754,0.0000,1.0
2025-12-31,619.65,619.96,614.05,614.31,613.545343030137,40746527,0.0000,1.0
2026-01-02,620.06,622.85,610.15,613.12,612.356824272172,61859163,0.0000,1.0
2026-01-05,619.32,620.81,616.72,617.99,617.220762382502,46828359,0.0000,1.0
2026-01-06,619.23,624.0213,618.54,623.42,622.644003437756,43137520,0.0000,1.0
2026-01-07,623.04,627.94,622.56,624.02,623.243256593033,44880339,0.0000,1.0
2026-01-08,623.03,623.42,617.8,620.47,619.697675424312,50435941,0.0000,1.0
2026-01-09,621.41,627.89,619.06,626.65,625.869982923663,49688734,0.0000,1.0
2026-01-12,622.31,628.845,622.26,627.17,626.389335658236,37388651,0.0000,1.0
2026-01-13,627.27,629.47,623.695,626.24,625.460493267557,44481380,0.0000,1.0
2026-01-14,622.24,623.45,614.56,619.55,618.778820586221,72598700,0.0000,1.0
2026-01-15,626.6,630.0,620.75,621.78,621.006044813333,53934892,0.0000,1.0
2026-01-16,625.5,626.08,618.88,621.26,620.48669207876,61058094,0.0000,1.0
2026-01-20,610.53,615.055,607.05,608.06,607.303122662671,80764676,0.0000,1.0
2026-01-21,609.47,620.42,607.8635,616.28,615.512890889963,79837881,0.0000,1.0
2026-01-22,622.35,622.46,617.78,620.76,619.987314449363,42254757,0.0000,1.0
2026-01-23,619.73,625.3999,618.65,622.72,621.9448747566,43645825,0.0000,1.0
2026-01-26,623.21,627.61,622.12,625.46,624.681464165698,35983008,0.0000,1.0
2026-01-27,628.91,632.0427,627.34,631.13,630.344406483063,38344052,0.0000,1.0
2026-01-28,635.46,636.6,631.81,633.22,632.431804973944,50691691,0.0000,1.0
2026-01-29,632.65,633.67,618.27,629.43,628.646522543112,79944047,0.0000,1.0
2026-01-30,625.71,628.256,619.2975,621.87,621.095932786625,65650714,0.0000,1.0
2026-02-02,618.7,628.49,618.66,626.14,625.360617741678,49020292,0.0000,1.0
2026-02-03,628.3,629.98,610.96,616.52,615.752592152073,80522875,0.0000,1.0
2026-02-04,615.02,615.1,600.47,605.75,604.995998014855,81850748,0.0000,1.0
2026-02-05,600.21,604.81,594.76,597.03,596.286852158166,89354492,0.0000,1.0
2026-02-06,600.19,611.41,598.77,609.65,608.891143524154,78019338,0.0000,1.0
2026-02-09,607.54,616.46,605.07,614.32,613.555330582725,56797557,0.0000,1.0
2026-02-10,615.305,617.02,611.01,611.47,610.70887809516,53938859,0.0000,1.0
2026-02-11,616.38,617.52,607.69,613.11,612.346836719584,58575101,0.0000,1.0
2026-02-12,614.71,615.81,599.57,600.64,599.892358642414,81378903,0.0000,1.0
2026-02-13,600.43,606.48,596.42,601.92,601.170765373672,69237547,0.0000,1.0
2026-02-17,598.375,603.95,593.34,601.3,600.551537113219,69013763,0.0000,1.0
2026-02-18,602.11,609.771,600.72,605.79,605.035948225207,64250668,0.0000,1.0
2026-02-19,602.81,605.815,600.75,603.47,602.718836024803,60960839,0.0000,1.0
2026-02-20,600.12,610.35,599.23,608.81,608.052189106767,74127323,0.0000,1.0
2026-02-23,606.605,608.01,599.05,601.41,600.661400191686,63859111,0.0000,1.0
2026-02-24,602.4,608.99,599.73,607.87,607.1133591635,55023732,0.0000,1.0
2026-02-25,611.07,616.83,611.0,616.68,615.91239299348,55710653,0.0000,1.0
2026-02-26,615.59,615.59,603.98,609.24,608.481653868048,96178870,0.0000,1.0
2026-02-27,602.98,608.32,602.19,607.29,606.534081113399,68125196,0.0000,1.0
2026-03-02,598.86,609.92,597.99,608.09,607.333085320435,75264644,0.0000,1.0
2026-03-03,596.33,603.96,591.87,601.58,600.831188585682,97015532,0.0000,1.0
2026-03-04,604.16,612.88,603.43,610.75,609.989774308828,70943888,0.0000,1.0
2026-03-05,607.4,612.76,602.26,608.91,608.152064632646,89602407,0.0000,1.0
2026-03-06,600.31,606.0,598.33,599.75,599.003466462087,86302307,0.0000,1.0
2026-03-09,594.225,609.27,591.33,607.76,607.003496085032,93068170,0.0000,1.0
2026-03-10,607.78,613.29,605.42,607.77,607.01348363762,64078867,0.0000,1.0
2026-03-11,608.95,612.43,605.03,607.69,606.933583216917,60114800,0.0000,1.0
2026-03-12,602.76,604.14,597.05,597.26,596.516565867689,71836629,0.0000,1.0
2026-03-13,599.73,603.5999,592.57,593.72,592.980972251556,63145490,0.0000,1.0
2026-03-16,600.04,603.86,599.11,600.38,599.632682275128,49077155,0.0000,1.0
2026-03-17,603.14,605.9,601.87,603.31,602.559035183396,47106607,0.0000,1.0
2026-03-18,601.49,603.16,594.56,594.9,594.159503456933,56127962,0.0000,1.0
2026-03-19,589.51,595.8,587.08,593.02,592.281843570399,75597578,0.0000,1.0
2026-03-20,591.06,591.17,578.54,582.06,581.33548593401,91964677,0.0000,1.0
2026-03-23,590.52,595.08,585.96,588.0,588.0,89936118,0.7328,1.0
2026-03-24,584.81,587.93,581.93,583.98,583.98,57750895,0.0000,1.0
2026-03-25,589.14,591.37,585.69,587.82,587.82,60475491,0.0000,1.0
2026-03-26,582.6,584.63,573.43,573.79,573.79,81492124,0.0000,1.0
2026-03-27,570.81,571.02,561.57,562.58,562.58,82702240,0.0000,1.0
2026-03-30,567.38,568.05,555.6,558.28,558.28,70602622,0.0000,1.0
2026-03-31,564.29,578.64,564.21,577.18,577.18,95877997,0.0000,1.0
2026-04-01,581.48,587.739,580.42,584.31,584.31,79435132,0.0000,1.0
2026-04-02,573.97,586.05,571.92,584.98,584.98,50941709,0.0000,1.0
2026-04-06,586.23,590.61,584.69,588.5,588.5,35108496,0.0000,1.0
2026-04-07,585.64,588.98,578.4001,588.59,588.59,49948195,0.0000,1.0
2026-04-08,608.71,609.9,602.12,606.09,606.09,63085996,0.0000,1.0
2026-04-09,605.93,610.5,603.03,610.19,610.19,37837538,0.0000,1.0
2026-04-10,611.84,613.67,609.58,611.07,611.07,34038533,0.0000,1.0
2026-04-13,609.48,626.74,608.11,617.39,617.39,32972110,0.0000,1.0
2026-04-14,620.22,628.6,620.1,628.6,628.6,49921081,0.0000,1.0
2026-04-15,629.08,637.83,628.2,637.4,637.4,50102386,0.0000,1.0
2026-04-16,639.21,642.18,635.255,640.47,640.47,42320581,0.0000,1.0
2026-04-17,645.59,650.0,644.07,648.85,648.85,53488871,0.0000,1.0
2026-04-20,648.04,648.76,642.52,646.79,646.79,37138511,0.0000,1.0
2026-04-21,648.41,650.2,642.21,644.33,644.33,39580523,0.0000,1.0
2026-04-22,650.15,655.33,648.52,655.11,655.11,37368402,0.0000,1.0
2026-04-23,653.55,656.92,645.52,651.42,651.42,40099827,0.0000,1.0
2026-04-24,658.51,664.51,656.5301,663.88,663.88,45563050,0.0000,1.0
2026-04-27,663.4,664.43,660.69,664.23,664.23,32717030,0.0000,1.0
2026-04-28,657.41,659.64,653.81,657.55,657.55,34147916,0.0000,1.0
2026-04-29,658.63,661.72,656.5899,661.57,661.57,31724860,0.0000,1.0
2026-04-30,665.35,668.9,657.56,667.74,667.74,40622226,0.0000,1.0
2026-05-01,669.16,675.97,668.8,674.15,674.15,39172607,0.0000,1.0
2026-05-04,674.66,676.73,668.9,672.88,672.88,34541990,0.0000,1.0
2026-05-05,677.96,682.7734,677.51,681.61,681.61,37101063,0.0000,1.0
