date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2025-11-21,183.21,186.81,182.81,185.76,184.249887022361,57508451,0.0,1.0
2025-11-24,186.19,187.155,185.28,186.53,185.01362740246,15833469,0.0,1.0
2025-11-25,186.98,189.5299,186.895,189.18,187.642084554749,22726531,0.0,1.0
2025-11-26,189.4,191.16,189.31,190.5,188.951353777776,14643834,0.0,1.0
2025-11-28,190.71,191.83,190.56,191.53,189.972980519987,5185484,0.0,1.0
2025-12-01,190.34,191.6455,190.115,190.22,188.673630003195,13035230,0.0,1.0
2025-12-02,190.74,190.745,189.53,190.04,188.495093290964,11714181,0.0,1.0
2025-12-03,190.27,191.62,190.25,191.49,189.933305695047,13577000,0.0,1.0
2025-12-04,191.48,192.06,191.005,191.55,189.992817932457,11086989,0.0,1.0
2025-12-05,191.82,192.81,191.585,192.0,190.439159713034,12887433,0.0,1.0
2025-12-08,192.235,192.27,190.67,190.85,189.298508496003,8677669,0.0,1.0
2025-12-09,190.71,191.69,190.42,190.49,188.941435071541,7878591,0.0,1.0
2025-12-10,190.76,193.6,190.61,193.17,191.599648342536,17968602,0.0000,1.0
2025-12-11,193.02,194.8782,193.0,194.73,193.146966515204,17852740,0.0000,1.0
2025-12-12,195.33,195.465,193.055,193.41,191.837697292177,26817080,0.0000,1.0
2025-12-15,194.51,194.57,192.91,193.65,192.075746241818,26605882,0.0000,1.0
2025-12-16,193.77,193.96,191.59,192.29,190.726802193851,16005770,0.0000,1.0
2025-12-17,192.45,193.61,191.54,191.77,190.211029469628,13546073,0.0000,1.0
2025-12-18,192.92,193.76,191.81,192.18,190.617696425265,18124157,0.0000,1.0
2025-12-19,192.24,193.52,192.07,192.88,191.312005861719,13708069,0.0000,1.0
2025-12-22,192.61,193.725,192.42,193.54,192.724122149698,8322341,0.7637,1.0
2025-12-23,193.34,193.66,192.725,193.09,192.276019147903,6423023,0.0000,1.0
2025-12-24,193.17,194.105,193.0,193.79,192.973068261806,4193194,0.0000,1.0
2025-12-26,193.8,193.93,193.17,193.84,193.022857484227,9570692,0.0000,1.0
2025-12-29,193.61,194.06,193.13,193.52,192.704206460729,7381032,0.0000,1.0
