date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2025-11-21,196.74,205.26,192.88,200.43,199.801609268993,7133970,0.0,1.0
2025-11-24,203.58,210.31,202.6,209.18,208.524176155705,2778732,0.0,1.0
2025-11-25,208.97,216.06,205.15,214.97,214.29602327274,2974419,0.0,1.0
2025-11-26,217.32,221.1945,216.49,219.24,218.552635913456,2289328,0.0,1.0
2025-11-28,220.29,222.92,219.97,222.73,222.03169402027,1185222,0.0,1.0
2025-12-01,218.16,222.25,218.07,219.63,218.941413180406,1946053,0.0,1.0
2025-12-02,221.11,222.97,218.6251,220.72,220.027995798294,2184998,0.0,1.0
2025-12-03,219.81,223.9799,218.92,222.98,222.280910217033,4354449,0.0,1.0
2025-12-04,224.3,224.33,220.45,223.55,222.849123145653,5639628,0.0,1.0
2025-12-05,224.37,227.1899,223.49,224.53,223.826050636965,2444542,0.0,1.0
2025-12-08,225.35,225.38,220.4,222.47,221.772509175636,2345251,0.0,1.0
2025-12-09,221.87,224.057,221.38,221.77,221.074703824699,1892517,0.0,1.0
2025-12-10,221.24,227.46,220.01,225.98,225.271504578191,2900581,0.0000,1.0
2025-12-11,223.68,227.71,220.74,227.57,226.856519589605,5215215,0.0000,1.0
2025-12-12,226.5,227.17,217.5807,220.09,219.399970982451,4527739,0.0000,1.0
2025-12-15,223.91,223.92,217.6718,219.06,218.373200251786,2664539,0.0000,1.0
2025-12-16,217.46,219.2611,213.46,217.11,216.429313917033,3353590,0.0000,1.0
2025-12-17,218.08,218.6058,209.68,209.73,209.072451788584,4089190,0.0000,1.0
2025-12-18,215.66,218.58,213.12,214.59,213.91721465366,3063333,0.0000,1.0
2025-12-19,216.46,220.7438,216.36,220.19,219.499657461156,1867967,0.0000,1.0
2025-12-22,223.44,224.7973,222.21,224.22,223.517022552979,1551327,0.0000,1.0
2025-12-23,223.14,227.33,223.12,227.1,226.559314321994,1414798,0.1719,1.0
2025-12-24,226.98,229.84,226.86,229.38,228.833886037776,894967,0.0000,1.0
2025-12-26,229.5,230.5,228.16,229.12,228.574505052643,1314643,0.0000,1.0
2025-12-29,226.36,227.95,224.8801,226.62,226.080457118671,1546632,0.0000,1.0
2025-12-30,226.2,227.2887,225.38,225.64,225.102790328554,1453078,0.0000,1.0
2025-12-31,225.76,225.97,220.4,220.61,220.084765885403,1749855,0.0000,1.0
2026-01-02,224.1,225.23,218.4423,221.64,221.112313634199,2844273,0.0000,1.0
2026-01-05,224.88,227.68,224.74,226.03,225.491861806254,1967635,0.0000,1.0
2026-01-06,226.18,230.47,226.03,230.0,229.452409925401,1793380,0.0000,1.0
2026-01-07,230.29,232.07,227.5,227.77,227.227719168298,2176403,0.0000,1.0
2026-01-08,226.85,228.6499,225.53,227.55,227.008242950108,1533648,0.0000,1.0
2026-01-09,228.48,233.08,227.09,231.82,231.268076821332,2272521,0.0000,1.0
2026-01-12,228.45,233.84,228.435,232.96,232.405362679223,1523623,0.0000,1.0
2026-01-13,233.2,233.78,229.06,231.39,230.839100576689,2087932,0.0000,1.0
2026-01-14,228.63,229.3,223.79,228.01,227.467147769959,2980662,0.0000,1.0
2026-01-15,232.07,232.95,228.9,229.76,229.212981323739,2112542,0.0000,1.0
2026-01-16,231.0,231.52,227.4762,228.91,228.365005026189,1726706,0.0000,1.0
2026-01-20,218.72,221.99,213.89,214.87,214.358431829004,4231681,0.0000,1.0
2026-01-21,216.74,225.3899,215.3229,222.14,221.611123220994,4193484,0.0000,1.0
2026-01-22,226.51,227.75,223.6,225.5,224.963123644252,2423958,0.0000,1.0
2026-01-23,224.63,227.4,223.7,225.6,225.06288556161,1704034,0.0000,1.0
2026-01-26,226.86,230.43,226.35,229.13,228.584481244379,1666410,0.0000,1.0
2026-01-27,230.42,232.8,229.875,231.9,231.347886355219,1502028,0.0000,1.0
2026-01-28,233.26,234.09,230.2,231.78,231.228172054389,1844293,0.0000,1.0
2026-01-29,232.5,233.16,221.03,230.14,229.592076609703,3463181,0.0000,1.0
2026-01-30,227.9,230.26,223.19,227.97,227.427243003016,3154146,0.0000,1.0
2026-02-02,225.55,232.75,225.445,231.3,230.749314851066,1810798,0.0000,1.0
2026-02-03,232.07,232.74,219.945,225.33,224.793528384742,4151412,0.0000,1.0
2026-02-04,226.11,227.16,217.68,221.96,221.431551769748,4885574,0.0000,1.0
2026-02-05,216.86,219.45,211.87,213.47,212.96176498598,6840304,0.0000,1.0
2026-02-06,217.1,227.345,216.56,225.8,225.262409396328,2725987,0.0000,1.0
2026-02-09,224.55,230.83,223.47,228.97,228.424862176604,2003418,0.0000,1.0
2026-02-10,229.86,231.45,226.61,226.98,226.439600021163,1596412,0.0000,1.0
2026-02-11,231.29,231.96,224.15,226.87,226.329861912068,2002575,0.0000,1.0
2026-02-12,229.04,230.12,215.46,216.33,215.814955822443,3511066,0.0000,1.0
2026-02-13,216.445,220.82,212.5,216.41,215.89476535633,3122230,0.0000,1.0
2026-02-17,214.91,219.42,210.76,217.46,216.942265488599,3297165,0.0000,1.0
2026-02-18,218.57,223.44,217.43,220.74,220.214456377969,2447004,0.0000,1.0
2026-02-19,218.33,220.55,216.12,218.93,218.408765673774,2402655,0.0000,1.0
2026-02-20,216.62,224.0,216.2045,223.44,222.908028146659,5183552,0.0000,1.0
2026-02-23,221.85,224.0,214.67,216.62,216.104265382784,2959353,0.0000,1.0
2026-02-24,216.01,222.15,214.32,221.31,220.783099306915,2497896,0.0000,1.0
2026-02-25,223.88,227.27,223.88,226.74,226.200171419502,1543715,0.0000,1.0
2026-02-26,226.84,226.84,218.12,222.95,222.4191947516,2919240,0.0000,1.0
2026-02-27,216.67,220.33,215.36,219.73,219.206861012645,2720503,0.0000,1.0
2026-03-02,212.5,222.0,211.88,219.81,219.286670546532,2866157,0.0000,1.0
2026-03-03,208.89,216.19,203.7381,213.94,213.430645997566,6179167,0.0000,1.0
2026-03-04,215.16,220.3064,213.31,218.35,217.830146553092,3064241,0.0000,1.0
2026-03-05,215.47,218.77,209.295,214.89,214.378384212476,5008630,0.0000,1.0
2026-03-06,207.09,209.63,203.66,206.17,205.679145018782,4380474,0.0000,1.0
2026-03-09,200.52,212.97,196.89,211.53,211.026383789218,5762848,0.0000,1.0
2026-03-10,210.94,216.21,208.17,210.31,209.809288397439,3961431,0.0000,1.0
2026-03-11,210.73,213.0,206.79,209.54,209.041121633776,3004869,0.0000,1.0
2026-03-12,204.635,205.13,199.78,199.91,199.434048992117,4041519,0.0000,1.0
2026-03-13,202.61,205.44,195.5703,196.35,195.882524734141,5109516,0.0000,1.0
2026-03-16,201.74,205.0,200.62,202.26,201.77845405005,3695656,0.0000,1.0
2026-03-17,205.28,207.16,203.19,203.85,203.364668536056,2752841,0.0000,1.0
2026-03-18,201.58,202.7976,195.08,195.34,194.874929368816,3272722,0.0000,1.0
2026-03-19,191.19,196.545,189.64,193.75,193.28871488281,5214465,0.0000,1.0
