date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2025-11-21,272.81,278.6887,266.82,275.06,273.586790014313,20872828,0.0,1.0
2025-11-24,273.19,285.06,273.19,284.64,283.115479930467,13570309,0.0,1.0
2025-11-25,282.73,285.4,273.08,284.68,283.155265692121,13726811,0.0,1.0
2025-11-26,289.1025,292.81,287.73,289.96,288.40698623046,12220253,0.0,1.0
2025-11-28,292.48,292.67,289.0,291.51,289.948684494556,5515376,0.0,1.0
2025-12-01,286.92,291.1599,283.19,287.68,286.139197816177,7713000,0.0,1.0
2025-12-02,292.0,294.5,289.18,292.09,290.52557803854,10746376,0.0,1.0
2025-12-03,292.18,296.6225,286.07,295.45,293.867582017483,9599221,0.0,1.0
2025-12-04,293.98,294.03,290.2,292.93,291.361079033276,6752997,0.0,1.0
2025-12-05,296.05,300.8,293.25,294.72,293.141491867296,10275297,0.0,1.0
2025-12-08,301.2,302.62,296.72,301.87,300.253196762964,13471115,0.0,1.0
2025-12-09,299.99,304.68,298.5,303.41,301.784948586646,10523767,0.0,1.0
2025-12-10,305.37,313.98,302.5,310.14,308.478902984945,12429150,0.0000,1.0
2025-12-11,305.32,305.84,299.64,304.85,304.010211989585,15028375,0.7972,1.0
2025-12-12,304.28,304.28,290.976,292.04,291.235500440998,19306089,0.0000,1.0
2025-12-15,295.145,295.8,287.55,287.74,286.947345900879,12082441,0.0000,1.0
2025-12-16,287.26,288.46,283.32,286.87,286.079742540437,11418442,0.0000,1.0
2025-12-17,288.525,289.1,275.0773,276.96,276.197042193326,16823004,0.0000,1.0
2025-12-18,285.0,287.16,281.7501,284.68,283.895775460702,11260340,0.0000,1.0
2025-12-19,286.38,292.17,286.38,288.95,288.154012643564,12735804,0.0000,1.0
2025-12-22,294.67,295.01,291.21,293.28,292.472084540939,6091071,0.0000,1.0
2025-12-23,293.395,297.91,292.2001,296.95,296.131974578669,6802255,0.0000,1.0
2025-12-24,297.74,299.16,296.2301,298.8,297.976878276162,2753914,0.0000,1.0
2025-12-26,299.9,303.38,298.52,302.84,302.005749053389,5125913,0.0000,1.0
2025-12-29,301.78,304.5,298.65,300.92,300.091038188964,6205140,0.0000,1.0
2025-12-30,302.36,304.55,299.45,299.58,298.754729564834,6190570,0.0000,1.0
2025-12-31,304.0,307.39,303.43,303.89,303.052856557372,8175079,0.0000,1.0
2026-01-02,311.98,321.59,311.7,319.61,318.729551759853,18526908,0.0000,1.0
2026-01-05,330.4,331.25,321.5,322.25,321.362279198437,17446299,0.0000,1.0
2026-01-06,330.22,333.08,324.59,327.43,326.528009551418,15599625,0.0000,1.0
2026-01-07,324.67,326.3,318.544,318.68,317.802113684897,11744818,0.0000,1.0
2026-01-08,324.39,324.5,316.14,318.01,317.133959372832,10850820,0.0000,1.0
2026-01-09,319.83,324.77,318.2501,323.63,322.738477632243,12325146,0.0000,1.0
2026-01-12,322.1,333.55,321.06,331.77,330.856053901212,12714751,0.0000,1.0
2026-01-13,332.87,336.42,330.78,331.21,330.297596565755,11473628,0.0000,1.0
2026-01-14,329.86,329.86,324.82,327.11,326.208891074014,11210830,0.0000,1.0
2026-01-15,342.805,351.33,337.92,341.64,340.698864438647,42188476,0.0000,1.0
2026-01-16,346.51,349.85,341.46,342.4,341.456770822482,18246104,0.0000,1.0
2026-01-20,340.79,342.15,326.9,327.16,326.258753336108,22526173,0.0000,1.0
2026-01-21,333.43,333.64,325.68,326.12,325.221618284544,16789752,0.0000,1.0
2026-01-22,333.42,335.05,326.9,327.37,326.468174836904,12800956,0.0000,1.0
2026-01-23,332.07,337.15,331.3701,334.87,333.947514151065,12904448,0.0000,1.0
2026-01-26,332.79,335.1,330.23,332.71,331.793464428587,8646389,0.0000,1.0
2026-01-27,336.5,341.25,334.56,338.34,337.407955140417,11220419,0.0000,1.0
2026-01-28,343.03,345.5,338.66,342.3,341.357046298294,12140053,0.0000,1.0
2026-01-29,339.8,343.74,328.2,339.55,338.614621883101,13844752,0.0000,1.0
2026-01-30,335.42,339.9,329.1,330.56,329.649387158527,12028080,0.0000,1.0
2026-02-02,330.755,344.2,329.1,341.36,340.419635770919,12459096,0.0000,1.0
2026-02-03,345.07,347.0475,330.02,335.75,334.825089963927,12449491,0.0000,1.0
2026-02-04,335.6,338.8,319.07,325.74,324.842665092627,18175958,0.0000,1.0
2026-02-05,322.82,334.57,319.65,330.73,329.818918849648,14812040,0.0000,1.0
2026-02-06,337.5,349.72,336.65,348.85,347.889002632661,17025523,0.0000,1.0
2026-02-09,348.76,359.6,347.8,355.41,354.430931419446,14594922,0.0000,1.0
2026-02-10,364.33,364.7613,356.39,361.91,360.913025491719,14622132,0.0000,1.0
2026-02-11,370.075,379.58,368.39,374.09,373.059472537916,18651340,0.0000,1.0
2026-02-12,379.0,380.0,322.1,368.1,367.085973539006,16835434,0.0000,1.0
2026-02-13,369.15,371.1099,360.77,366.36,365.350766818121,10468150,0.0000,1.0
2026-02-17,361.865,366.2,356.24,364.2,363.196717095643,10063802,0.0000,1.0
2026-02-18,363.86,369.3899,360.71,362.26,361.26206132638,7310453,0.0000,1.0
2026-02-19,359.72,362.8,357.44,360.39,359.397212724049,6346478,0.0000,1.0
2026-02-20,359.78,372.2,359.1,370.54,369.519251929213,9009239,0.0000,1.0
2026-02-23,367.01,373.4299,366.46,370.04,369.020629308269,9550221,0.0000,1.0
2026-02-24,379.4,389.18,376.05,385.75,384.687352058331,13269457,0.0000,1.0
2026-02-25,390.205,390.205,384.83,387.73,386.66189763727,10948404,0.0000,1.0
2026-02-26,386.18,386.4746,369.7,376.81,375.771979595852,14535745,0.0000,1.0
2026-02-27,370.14,376.68,368.62,374.58,373.548122706441,9186555,0.0000,1.0
2026-03-02,365.36,373.1,364.65,369.11,368.093191233313,12571595,0.0000,1.0
2026-03-03,349.55,355.98,344.14,353.13,352.157212267942,18580214,0.0000,1.0
2026-03-04,357.43,361.09,354.55,357.44,356.455339260479,12131052,0.0000,1.0
2026-03-05,354.9,359.47,343.8,353.86,352.88520129452,16249803,0.0000,1.0
2026-03-06,343.5,348.7199,336.69,338.89,337.956440023455,13803038,0.0000,1.0
2026-03-09,335.6,349.4,331.92,348.7,347.739415846377,19182765,0.0000,1.0
2026-03-10,348.47,353.5,344.31,347.09,346.133851006938,12985620,0.0000,1.0
2026-03-11,353.93,357.35,350.3601,354.56,353.583272963842,10683279,0.0000,1.0
2026-03-12,345.93,346.89,336.38,336.71,335.782445396139,17549421,0.0000,1.0
2026-03-13,343.92,344.5169,336.22,338.31,337.37803778316,17299921,0.0000,1.0
2026-03-16,341.25,344.63,339.82,340.23,339.292748647585,11123540,0.0000,1.0
2026-03-17,340.6,346.76,338.4,345.98,345.98,11434604,0.9557,1.0
2026-03-18,345.775,347.95,339.335,339.57,339.57,12632625,0.0000,1.0
2026-03-19,329.22,339.9,325.19,338.79,338.79,15411566,0.0000,1.0
2026-03-20,336.68,337.6,325.9,329.24,329.24,17424155,0.0000,1.0
2026-03-23,331.1,343.41,331.1,338.45,338.45,15857233,0.0000,1.0
2026-03-24,335.57,344.88,334.02,343.25,343.25,9725008,0.0000,1.0
2026-03-25,346.0,350.445,343.5,347.75,347.75,12166926,0.0000,1.0
2026-03-26,339.82,340.91,325.37,326.11,326.11,14560166,0.0000,1.0
2026-03-27,324.83,329.56,322.3101,326.74,326.74,14484511,0.0000,1.0
2026-03-30,327.2,329.6,313.8,316.5,316.5,15739952,0.0000,1.0
2026-03-31,322.31,338.41,321.1437,337.95,337.95,18487992,0.0000,1.0
2026-04-01,343.9,348.68,339.75,341.49,341.49,15011626,0.0000,1.0
2026-04-02,326.84,342.07,326.8,339.04,339.04,8994644,0.0000,1.0
2026-04-06,339.75,344.2,338.62,341.76,341.76,5884800,0.0000,1.0
2026-04-07,339.44,345.53,335.6501,345.32,345.32,6823530,0.0000,1.0
2026-04-08,370.29,374.3,359.235,365.9,365.9,16356897,0.0000,1.0
2026-04-09,363.3,368.17,360.72,365.49,365.49,9245955,0.0000,1.0
2026-04-10,375.59,378.0,369.75,370.6,370.6,13168160,0.0000,1.0
2026-04-13,370.26,371.46,366.05,369.57,369.57,9596254,0.0000,1.0
