date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2025-11-21,72.42,73.12,72.11,72.92,71.5365876542442,4932550,0.0,1.0
2025-11-24,72.845,73.32,72.765,73.23,71.8407064443267,3713518,0.0,1.0
2025-11-25,73.42,73.926,73.125,73.91,72.507805725798,3611110,0.0,1.0
2025-11-26,74.155,74.736,74.12,74.61,73.1945255743714,4264621,0.0,1.0
2025-11-28,74.66,74.9583,74.58,74.94,73.518264931556,2455449,0.0,1.0
2025-12-01,74.75,74.935,74.6135,74.65,73.2337667085756,4634945,0.0,1.0
2025-12-02,74.83,74.89,74.5,74.77,73.3514901111882,4363866,0.0,1.0
2025-12-03,74.75,75.08,74.69,75.07,73.6457986177196,4473266,0.0,1.0
2025-12-04,75.335,75.39,75.065,75.23,73.8027631545364,4727174,0.0,1.0
2025-12-05,75.65,75.7755,75.335,75.38,73.9499174078021,6500860,0.0,1.0
2025-12-08,75.5,75.52,75.0601,75.22,73.7929528709854,5046846,0.0,1.0
2025-12-09,75.21,75.3351,75.065,75.12,73.6948500354749,4678657,0.0,1.0
2025-12-10,75.25,76.055,75.19,75.93,74.4894830031098,7006749,0.0000,1.0
2025-12-11,75.9,76.2165,75.7545,76.13,74.6856886741307,7567434,0.0000,1.0
2025-12-12,76.2,76.25,75.305,75.61,74.1755539294762,6848805,0.0000,1.0
2025-12-15,76.215,76.24,75.755,75.87,74.4306213018035,6599119,0.0000,1.0
2025-12-16,75.655,75.73,75.22,75.46,74.0283996762105,5327252,0.0000,1.0
2025-12-17,75.51,75.605,74.945,74.96,73.5378854986581,6791010,0.0000,1.0
2025-12-18,75.66,75.965,75.4344,75.57,74.136312795272,6655075,0.0000,1.0
2025-12-19,74.57,74.9599,74.52,74.67,74.5906270265211,7434663,1.3631,1.0
2025-12-22,74.95,75.15,74.885,75.09,75.0101805734762,11249299,0.0000,1.0
2025-12-23,75.38,75.565,75.275,75.55,75.4696916010937,16139487,0.0000,1.0
2025-12-24,75.64,75.67,75.515,75.61,75.5296278220873,4794725,0.0000,1.0
2025-12-26,75.765,75.85,75.64,75.85,75.7693727060617,5872018,0.0000,1.0
2025-12-29,75.57,75.715,75.4106,75.61,75.5296278220873,11113798,0.0000,1.0
2025-12-30,75.86,75.97,75.73,75.76,75.6794683745713,5953038,0.0000,1.0
2025-12-31,75.725,75.77,75.3945,75.44,75.3598085292722,7519620,0.0000,1.0
2026-01-02,76.35,76.545,76.135,76.54,76.458639247488,9058957,0.0000,1.0
2026-01-05,76.79,77.35,76.7,77.35,77.2677782309014,11741322,0.0000,1.0
2026-01-06,77.58,77.7599,77.48,77.62,77.5374912253725,8618170,0.0000,1.0
2026-01-07,77.5,77.54,77.16,77.23,77.1479057889142,9579788,0.0000,1.0
2026-01-08,77.03,77.29,76.96,77.28,77.1978526397422,8157571,0.0000,1.0
2026-01-09,77.5,77.885,77.435,77.83,77.7472679988501,7185410,0.0000,1.0
2026-01-12,78.125,78.5699,78.1023,78.55,78.4665026507732,8841814,0.0000,1.0
2026-01-13,78.37,78.42,77.95,78.13,78.0469491038181,7557644,0.0000,1.0
2026-01-14,78.35,78.47,78.15,78.47,78.3865876894484,9460148,0.0000,1.0
2026-01-15,78.72,78.8799,78.545,78.6,78.5164495016012,8295331,0.0000,1.0
