date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2025-11-21,89.01,89.81,88.07,89.42,44.0513741630852,19658610,0.0,1.0
2025-11-24,89.32,89.45,87.79,89.17,43.9282155459887,16840899,0.0,1.0
2025-11-25,88.47,88.96,87.875,88.61,43.6523402436924,14649462,0.0,1.0
2025-11-26,88.59,89.915,88.51,89.28,43.9824053375111,13305515,0.0,1.0
2025-11-28,89.33,90.835,89.195,90.45,44.5587876655229,8333313,0.0,1.0
2025-12-01,90.58,91.82,90.51,91.32,44.9873796530188,15575036,0.0,1.0
2025-12-02,91.18,91.18,89.685,90.14,44.4060709803232,16652460,0.0,1.0
2025-12-03,90.75,91.99,90.62,91.83,45.2386232318957,15086985,0.0,1.0
2025-12-04,91.78,92.365,91.51,92.22,45.4307506745663,11899849,0.0,1.0
2025-12-05,46.03,46.66,45.91,45.92,45.2435495765796,21726505,0.0,2.0
2025-12-08,45.66,45.92,45.27,45.42,44.7509151081935,27762750,0.0,1.0
2025-12-09,45.5,46.08,45.46,45.7,45.0267904104897,20809121,0.0,1.0
2025-12-10,45.84,46.27,45.63,46.18,45.4997195001403,26255067,0.0000,1.0
2025-12-11,45.9,46.245,45.84,45.96,45.2829603340505,25664929,0.0000,1.0
2025-12-12,46.045,46.235,45.39,45.51,44.839589312503,32059898,0.0000,1.0
2025-12-15,45.61,45.61,44.82,45.19,44.5243032527358,27338430,0.0000,1.0
2025-12-16,44.83,44.85,43.77,43.81,43.1646321199902,48449300,0.0000,1.0
2025-12-17,44.13,44.88,44.06,44.78,44.1203429886593,43016459,0.0000,1.0
2025-12-18,44.65,44.71,43.98,44.13,43.4799181797573,29700827,0.0000,1.0
2025-12-19,44.25,44.53,44.025,44.13,43.4799181797573,30946501,0.0000,1.0
2025-12-22,44.14,44.485,44.09,44.21,43.9262597871492,23707420,0.3730,1.0
2025-12-23,44.37,44.55,44.22,44.5,44.2143985643098,19137538,0.0000,1.0
2025-12-24,44.415,44.555,44.31,44.37,44.0852329055827,11293864,0.0000,1.0
2025-12-26,44.32,44.435,43.99,44.2,43.9163239672471,17884483,0.0000,1.0
2025-12-29,44.51,44.74,44.29,44.62,44.333628403135,31352054,0.0000,1.0
2025-12-30,44.8,45.0884,44.8,44.96,44.6714462798061,18654743,0.0000,1.0
2025-12-31,44.93,45.02,44.57,44.71,44.4230507822538,16965922,0.0000,1.0
2026-01-02,44.72,45.7799,44.49,45.65,45.3570178530504,31935524,0.0000,1.0
2026-01-05,47.16,47.32,45.75,46.89,46.5890595209099,94961037,0.0000,1.0
2026-01-06,46.995,47.06,45.5313,45.64,45.3470820331483,69568225,0.0000,1.0
2026-01-07,45.82,45.82,45.08,45.13,44.8403552181417,42739166,0.0000,1.0
2026-01-08,45.32,46.85,45.22,46.55,46.2512416442387,51451021,0.0000,1.0
2026-01-09,46.75,46.88,46.505,46.67,46.3704714830638,38839945,0.0000,1.0
2026-01-12,46.75,46.805,46.1001,46.34,46.0425894262948,28264436,0.0000,1.0
2026-01-13,46.73,47.39,46.68,47.0,46.6983535398329,50469235,0.0000,1.0
2026-01-14,47.25,48.65,47.18,48.06,47.7515504494546,80750152,0.0000,1.0
2026-01-15,47.63,48.07,47.27,47.61,47.3044385538605,49328793,0.0000,1.0
2026-01-16,47.56,47.805,47.485,47.69,47.3839251130772,30796285,0.0000,1.0
2026-01-20,48.09,48.31,47.5,47.6,47.2945027339584,49477357,0.0000,1.0
2026-01-21,48.29,49.05,48.29,48.75,48.437122022699,58996037,0.0000,1.0
2026-01-22,48.62,49.0,48.42,48.91,48.5960951411325,50869509,0.0000,1.0
2026-01-23,49.52,49.89,49.09,49.19,48.874298098391,51431167,0.0000,1.0
2026-01-26,49.865,49.89,48.95,49.22,48.9041055580973,40122625,0.0000,1.0
2026-01-27,49.39,49.815,49.16,49.67,49.3512174536915,39328585,0.0000,1.0
2026-01-28,49.97,50.14,49.56,50.05,49.728778609971,41890386,0.0000,1.0
2026-01-29,51.15,51.73,50.48,50.51,50.1858263254672,77520650,0.0000,1.0
2026-01-30,50.36,51.085,49.875,51.05,50.7223606001802,74039404,0.0000,1.0
2026-02-02,50.1,50.51,49.77,50.05,49.728778609971,61479856,0.0000,1.0
2026-02-03,50.24,51.78,50.02,51.67,51.3383814341099,83204518,0.0000,1.0
2026-02-04,51.82,52.9599,51.82,52.83,52.4909365427526,78149891,0.0000,1.0
2026-02-05,52.26,52.49,51.435,52.21,51.8749157088229,54235648,0.0000,1.0
2026-02-06,52.5,53.415,52.36,53.25,52.9082409786404,41669571,0.0000,1.0
2026-02-09,53.205,53.72,52.975,53.64,53.295737954822,38798501,0.0000,1.0
2026-02-10,53.77,53.79,53.24,53.58,53.2361230354095,32145991,0.0000,1.0
2026-02-11,54.28,55.11,54.25,54.98,54.6271378217024,57349665,0.0000,1.0
2026-02-12,54.94,55.24,53.76,53.98,53.6335558314932,67427841,0.0000,1.0
2026-02-13,53.94,54.575,53.81,54.35,54.0011811678706,48392131,0.0000,1.0
2026-02-17,54.56,54.905,53.18,53.75,53.405031973745,50499593,0.0000,1.0
2026-02-18,54.53,54.86,54.22,54.78,54.4284214236605,59196116,0.0000,1.0
2026-02-19,55.46,55.88,54.925,55.18,54.8258542197442,62513522,0.0000,1.0
2026-02-20,55.0,55.285,54.51,54.88,54.5277796226815,50833496,0.0000,1.0
2026-02-23,55.035,55.93,54.865,55.15,54.7960467600379,44013472,0.0000,1.0
2026-02-24,55.11,55.22,54.4,55.1,54.7463676605275,42921656,0.0000,1.0
2026-02-25,55.3,55.37,54.185,54.87,54.5178438027794,36207494,0.0000,1.0
2026-02-26,54.37,55.67,54.12,55.05,54.696688561017,47033507,0.0000,1.0
2026-02-27,55.64,56.15,54.925,55.92,55.561104892499,59071460,0.0000,1.0
