date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2025-11-21,77.36,78.4,77.21,77.9,76.8472591013694,22215981,0.0,1.0
2025-11-24,77.8,77.93,76.895,77.0,75.9594217048196,17869356,0.0,1.0
2025-11-25,77.2,78.09,77.2,78.06,77.0050968607561,18586456,0.0,1.0
2025-11-26,78.06,79.11,78.06,78.91,77.8436099574976,13275355,0.0,1.0
2025-11-28,78.8,79.39,78.8,79.37,78.2973935157342,8914348,0.0,1.0
2025-12-01,79.26,79.525,79.04,79.29,78.2184746360409,16939933,0.0,1.0
2025-12-02,79.05,79.05,78.165,78.77,77.7055019180343,20550952,0.0,1.0
2025-12-03,78.93,79.55,78.74,78.83,77.7646910778043,16833228,0.0,1.0
2025-12-04,78.69,78.91,78.01,78.45,77.389826399261,14269769,0.0,1.0
2025-12-05,78.4,78.99,78.23,78.46,77.3996912592227,13343343,0.0,1.0
2025-12-08,78.31,78.32,77.68,77.81,76.7584753617145,14302415,0.0,1.0
2025-12-09,77.98,78.215,77.65,77.99,76.9360428410244,13940975,0.0,1.0
2025-12-10,78.19,78.375,77.925,78.22,77.1629346201427,13945597,0.0000,1.0
2025-12-11,78.41,79.07,78.4,78.8,77.7350964979193,13753779,0.0000,1.0
2025-12-12,78.93,79.46,78.795,79.42,78.3467178155425,14506876,0.0000,1.0
2025-12-15,79.63,79.905,79.3225,79.64,78.5637447346991,14499582,0.0000,1.0
2025-12-16,79.79,79.97,79.095,79.28,78.2086097760792,13055385,0.0000,1.0
2025-12-17,79.39,79.875,79.35,79.65,78.5736095946608,14268442,0.0000,1.0
2025-12-18,79.33,79.82,79.14,79.19,78.1198260364242,12117088,0.0000,1.0
2025-12-19,79.12,79.155,78.755,78.78,77.715366777996,13142419,0.0000,1.0
2025-12-22,77.97,78.195,77.725,77.88,77.4460274929486,10983567,0.6270,1.0
2025-12-23,77.81,77.82,77.38,77.51,77.0780892524197,7638467,0.0000,1.0
2025-12-24,77.55,78.185,77.545,78.12,77.6846901354538,4697107,0.0000,1.0
2025-12-26,78.04,78.41,77.9718,78.23,77.7940771799354,8761343,0.0000,1.0
2025-12-29,78.17,78.48,78.165,78.28,77.8437985637907,9242522,0.0000,1.0
2025-12-30,78.1,78.3288,78.04,78.15,77.714522965767,5610878,0.0000,1.0
2025-12-31,77.99,78.12,77.67,77.68,77.2471419575276,5872235,0.0000,1.0
2026-01-02,77.71,77.97,77.3,77.69,77.2570862342986,15968651,0.0000,1.0
2026-01-05,77.56,77.57,76.755,77.35,76.9189808240829,23429671,0.0000,1.0
2026-01-06,77.34,77.685,77.135,77.47,77.0383121453355,17108360,0.0000,1.0
2026-01-07,77.56,77.69,76.6,76.62,76.1930486197961,18977228,0.0000,1.0
2026-01-08,76.61,78.73,76.51,78.44,78.0029069921275,26260242,0.0000,1.0
2026-01-09,78.43,79.335,78.37,79.25,78.8083934105827,18233995,0.0000,1.0
2026-01-12,79.53,80.2699,79.255,80.18,79.7332111502904,26411167,0.0000,1.0
2026-01-13,80.21,81.19,80.21,81.11,80.6580288899982,26284160,0.0000,1.0
2026-01-14,81.08,82.35,81.05,82.23,81.771787888356,32494174,0.0000,1.0
2026-01-15,82.1,82.51,81.85,82.37,81.9110077631507,29123675,0.0000,1.0
2026-01-16,82.15,82.28,81.715,82.11,81.6524565671034,23754641,0.0000,1.0
2026-01-20,81.95,82.558,81.445,82.36,81.9010634863796,19840904,0.0000,1.0
2026-01-21,82.17,82.57,81.655,82.44,81.9806177005481,23029190,0.0000,1.0
2026-01-22,82.34,82.57,82.05,82.27,81.8115649954402,15777449,0.0000,1.0
2026-01-23,82.38,82.94,82.31,82.91,82.4479987087875,20185704,0.0000,1.0
2026-01-26,83.05,83.33,82.635,82.78,82.3187231107638,13187976,0.0000,1.0
2026-01-27,82.76,83.235,82.4506,83.16,82.6966056280638,13484984,0.0000,1.0
2026-01-28,83.0,83.4,81.95,82.32,81.8612863792954,16303217,0.0000,1.0
2026-01-29,82.36,82.85,82.005,82.13,81.6723451206455,18799491,0.0000,1.0
2026-01-30,82.18,83.51,82.03,83.51,83.0446553150506,18175076,0.0000,1.0
2026-02-02,83.76,84.66,83.29,84.5,84.0291387153847,26041721,0.0000,1.0
2026-02-03,84.12,86.34,84.06,85.87,85.3915046330187,33010243,0.0000,1.0
2026-02-04,86.32,87.345,86.215,86.99,86.5052636313765,33748064,0.0000,1.0
2026-02-05,87.58,87.635,86.47,86.92,86.4356536939791,38772869,0.0000,1.0
2026-02-06,86.85,88.09,86.7,87.94,87.4499699246263,29568629,0.0000,1.0
2026-02-09,87.91,88.22,86.88,87.43,86.9428118093027,21853933,0.0000,1.0
2026-02-10,87.33,87.83,86.82,87.15,86.6643720597133,20908492,0.0000,1.0
2026-02-11,86.99,88.71,86.73,88.4,87.9074066560947,25588303,0.0000,1.0
2026-02-12,88.49,90.06,88.49,89.21,88.7128930745499,35282832,0.0000,1.0
2026-02-13,89.05,90.0,88.62,89.51,89.0112213776814,25649732,0.0000,1.0
2026-02-17,89.63,90.14,87.65,88.2,87.7085211206737,29819265,0.0000,1.0
2026-02-18,87.93,88.52,87.62,88.04,87.5494126923369,20422247,0.0000,1.0
2026-02-19,88.0,88.695,87.37,87.67,87.181474451808,18447522,0.0000,1.0
2026-02-20,87.67,87.95,87.175,87.89,87.4002485407711,17909420,0.0000,1.0
2026-02-23,87.68,89.17,87.68,88.97,88.4742304320446,22070897,0.0000,1.0
2026-02-24,88.96,89.78,88.76,89.74,89.2399397434156,20363994,0.0000,1.0
2026-02-25,89.34,89.46,88.315,89.01,88.5140075391289,15215595,0.0000,1.0
2026-02-26,89.26,89.6403,88.59,88.86,88.3648433875631,15925873,0.0000,1.0
2026-02-27,88.98,90.06,88.96,90.01,89.508435216234,17314174,0.0000,1.0
2026-03-02,89.44,89.79,88.69,88.71,88.2156792359973,27606671,0.0000,1.0
2026-03-03,88.35,88.51,87.155,87.74,87.2510843892053,36852811,0.0000,1.0
