date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2025-11-21,151.79,155.71,151.71,154.61,153.329011883757,25526095,0.0,1.0
2025-11-24,155.14,156.16,154.48,155.26,153.973626447656,17928640,0.0,1.0
2025-11-25,155.77,158.89,155.77,158.77,157.454545092712,17298557,0.0,1.0
2025-11-26,158.42,158.95,158.155,158.42,157.10744494292,12399075,0.0,1.0
2025-11-28,158.2,158.2499,157.16,157.65,156.343824613378,8559710,0.0,1.0
2025-12-01,157.04,157.86,155.175,155.29,154.003377889067,17321233,0.0,1.0
2025-12-02,155.25,155.47,154.135,154.36,153.081083205335,16150322,0.0,1.0
2025-12-03,154.67,155.78,154.66,155.08,153.795117799192,12724849,0.0,1.0
2025-12-04,155.0,155.03,153.3701,153.9,152.624894437037,13674602,0.0,1.0
2025-12-05,154.45,154.63,152.96,153.26,151.990197020275,8868992,0.0,1.0
2025-12-08,153.35,153.42,151.195,151.43,150.17535909422,10895665,0.0,1.0
2025-12-09,152.0,152.675,149.85,149.96,148.717538465094,11350682,0.0,1.0
2025-12-10,150.38,152.18,149.87,152.14,150.879476540941,15534765,0.0000,1.0
2025-12-11,152.76,154.3,152.26,153.58,152.307545728656,14703435,0.0000,1.0
2025-12-12,153.75,154.56,153.41,154.06,152.783568791227,13175937,0.0000,1.0
2025-12-15,154.47,156.31,154.44,156.1,154.806666807157,14681832,0.0000,1.0
2025-12-16,156.035,156.12,153.09,154.07,152.793485938364,12491637,0.0000,1.0
2025-12-17,154.23,154.78,153.67,153.79,152.515805818531,9093708,0.0000,1.0
2025-12-18,153.75,155.175,153.675,153.91,152.634811584174,8876431,0.0000,1.0
2025-12-19,153.92,155.77,153.92,154.94,153.656277739275,8571505,0.0000,1.0
2025-12-22,154.15,155.37,153.8,155.3,154.66467507788,7063672,0.6568,1.0
2025-12-23,154.69,155.66,154.64,154.99,154.355943273153,7465847,0.0000,1.0
2025-12-24,155.17,155.94,155.15,155.8,155.162629601634,3085686,0.0000,1.0
