period,mean,p10,p50,p90
0,1.004382439904759,0.9733201087402285,1.0058764162371967,1.0295532659548234
1,1.007807229729509,0.9731079533920163,1.0096406295442386,1.0395130009869848
2,1.0112088865936242,0.9642440430402899,1.0163140074802293,1.0501855952386505
3,1.0151598001921869,0.9722797326634957,1.020270378827938,1.0572293618743875
4,1.0183754335206274,0.9661717725952239,1.0220902257941258,1.0676249773876694
5,1.0230137235293015,0.9668903974869815,1.0236383369836133,1.0767280525913618
6,1.0275659381010598,0.9646050472744602,1.0292252807329993,1.0898762318225943
7,1.0317703874144888,0.9627670343538461,1.0349461349766316,1.0977263352905975
8,1.0362629914942192,0.96150780769278,1.0360940071108014,1.106650645871678
9,1.0409107120547114,0.9537881525373612,1.0462473720726548,1.110198609829103
10,1.0459612474317261,0.9695114226194036,1.0488088041650105,1.1223013489960976
11,1.0507880590495458,0.9681712621027115,1.0525679807115005,1.1228275481143766
12,1.0547426706148961,0.9625200495878355,1.0582238437360925,1.1427083842839272
13,1.058839799383467,0.9621521725196047,1.062483685402455,1.150367965283024
14,1.0627555830861186,0.9618868029244426,1.0675637927566923,1.1587228560664786
15,1.0665556165985088,0.9600972036904454,1.071732910247976,1.1647970569183532
16,1.0706046520837804,0.9613973633126787,1.0764756381654932,1.1731367668943218
17,1.0752538107627532,0.9613613383698586,1.0803561678208764,1.1793647599585422
18,1.0797741502307343,0.9599009591046814,1.0849038944423797,1.1887515709381875
19,1.0845805349392088,0.959420534479265,1.0895177125454336,1.1950764346998282
20,1.0890412377855736,0.9594532625152041,1.0937117978379003,1.2042594600089889
21,1.0941904179419693,0.9630360438120411,1.0989521817245271,1.2133827122711727
22,1.0989568912910879,0.9611664445599251,1.104687982880293,1.220093741872679
23,1.104695441363649,0.9648286778724062,1.108623799078102,1.2299552517628298
24,1.1091397539671504,0.963405292190287,1.1136127047049758,1.2400298827124494
25,1.113449791575776,0.965509722331744,1.1167141319167957,1.2466966078032422
26,1.1174120693954335,0.9676721628463958,1.1216680449144438,1.2531078318522462
27,1.1218870020780065,0.9703130552094043,1.1254151106774528,1.262241981543452
28,1.1269821910226734,0.9727516220358008,1.1310567815913366,1.2691134248266491
29,1.1320220197219355,0.9740979916813567,1.1337421566346706,1.2784039197764772
30,1.1368769619547647,0.9755882954060183,1.1411487700552438,1.285978684241481
31,1.1420243073854743,0.976329694204547,1.1469838609600416,1.2943087646576605
32,1.1478752691312257,0.9778314076217585,1.15144160947372,1.3053967097522223
33,1.1525402044920894,0.9785512870561532,1.15687473168037,1.3086265862871855
34,1.1575253517054795,0.9802048980318816,1.1616664400465813,1.3205330091310656
35,1.1625501807009941,0.9837403608754818,1.1658984340156842,1.328777923456059
36,1.1662797194078889,0.9840200494100526,1.1697735594845238,1.335751681723945
37,1.1703492766157184,0.9827184864455704,1.1732088077530047,1.3456313723899282
38,1.1750900378186988,0.9877677042019398,1.1782753250638542,1.351470905076166
39,1.179821457792957,0.9919161552434091,1.1839293793041972,1.3599931591901024
40,1.1842030486759234,0.9912036430348852,1.1857266690398405,1.3654826611205413
41,1.1894682627692847,0.9943801060129592,1.1933038253147363,1.373211411215925
42,1.1941529073219626,0.9943106314702259,1.1977521875943058,1.3827554324575482
43,1.1995534742302465,0.995547754764576,1.2046475525412141,1.3889000425212013
44,1.204731809461683,1.0013797669158218,1.2102673291065376,1.3973482303608096
45,1.2094936495092752,1.0019418526094037,1.2138819756325103,1.4067637970053721
46,1.2148223570455707,1.003208195146742,1.2193937351664088,1.4164150874529426
47,1.2198602616117045,1.0074652586307815,1.2243935562194599,1.424596908366436
48,1.2244106175261031,1.0099002484379498,1.227862479812163,1.43130595327762
49,1.2297827586343704,1.0113337717917734,1.2321051122670748,1.439140411740407
50,1.2336986331837598,1.010694647894254,1.2366290297562188,1.4489035090936597
51,1.2387809682075641,1.0143180242092102,1.2401500585401655,1.4543888951439587
52,1.2435483911962009,1.0168498729982447,1.243814974436515,1.4600105326146682
53,1.2482929204119393,1.020379911430741,1.24904782073577,1.4694711819257211
54,1.2540415059315368,1.0236475149493787,1.255954635771651,1.478873094370814
55,1.260094033631328,1.0256643822511673,1.262513187983842,1.4900749972650826
56,1.2652870408028587,1.0273187039821645,1.2659646061864511,1.4985521089722116
57,1.2706578214300048,1.0304249902973548,1.2701380804130782,1.5063151408630704
58,1.2766750301032996,1.03540401480207,1.2770335472056233,1.5137742103179128
59,1.282595386959905,1.0393282065129281,1.2825492635257922,1.5243264932933291
60,1.2873706000216398,1.0396034597456676,1.2861960494879976,1.5340538978867182
61,1.2921824815630645,1.0412891997720088,1.290566390980318,1.5409873584146685
62,1.2970549118929944,1.0441814979755701,1.2943134104195246,1.5470152745108114
63,1.3019314141712957,1.0464764214024778,1.2992391192158848,1.5538763438169616
64,1.3072970305732872,1.0455468619363881,1.3060265201774794,1.5609822554334218
65,1.313561891615939,1.0504957249003688,1.313265397791094,1.5753315200571725
66,1.3195829602403428,1.0548984631141343,1.3179449335034077,1.58388727783793
67,1.325560683351895,1.0560956260421943,1.3230110371950574,1.596184055328004
68,1.3312582077779724,1.0599979515253786,1.32825713284734,1.607291685057605
69,1.3374912016741578,1.05975160906578,1.3354457771477428,1.6156884585073374
70,1.3435536761274056,1.0594439064735244,1.3411240841659533,1.6256072252793736
71,1.349317622643892,1.0625399269257445,1.3465340202636575,1.6320204416067012
72,1.3545005269102457,1.0650263354941085,1.3496231270163048,1.6406103363698308
73,1.3595883618893763,1.0720012393930058,1.3547323595307232,1.652447864249321
74,1.3642390347124562,1.074405797959381,1.358377573453291,1.654807397516197
75,1.3697820535493168,1.0778551848401412,1.3645299452800295,1.6655747712296176
76,1.374612167351225,1.0784525409143915,1.367550249693298,1.6761273351825685
77,1.3811500213537349,1.0844479540284842,1.373193799137683,1.683469774041387
78,1.3872938275914484,1.0873663130145674,1.3801101765415558,1.6992339126763474
79,1.3933043585829874,1.0906257098179362,1.3868704219981618,1.6976366888171233
80,1.3996655129441757,1.0936941565158522,1.3920876310595482,1.7081743835102896
81,1.4066331289256158,1.0953527243448453,1.3976728837280652,1.722717094254819
82,1.413998717037238,1.0985900250015506,1.40486415707697,1.7326208780469439
83,1.420619905755637,1.1019083317512228,1.4090209595290961,1.746788869552493
84,1.4256974899377264,1.104368487532548,1.4175148631015568,1.7567991334195516
85,1.4308128756337655,1.106756809898669,1.4222113981760265,1.7636743136067128
86,1.4358622504590388,1.1064127528334389,1.4260153434565734,1.7709197239709535
87,1.4418814628313146,1.1123103770254206,1.4344125424360616,1.78039776397165
88,1.4474164978174597,1.112052232602415,1.440008347706088,1.788326896172276
89,1.4537485403911259,1.1194734255564844,1.4464944660811323,1.8006018468023341
90,1.459843648850842,1.1190853822057216,1.4526227537620016,1.8057209408462487
91,1.4670741764616846,1.1250980722221506,1.4582721282301776,1.825723976681969
92,1.4730416925094731,1.129467434095741,1.462142269819733,1.8272674289945907
93,1.4799589881584052,1.1320662640859265,1.4672916549535042,1.8361828266903348
94,1.4866139199673785,1.1350642984438353,1.4741655366521678,1.847728660615828
95,1.4933661654178596,1.138683278059354,1.4790410327734602,1.8568671336577307
96,1.498887748506572,1.1391187431709309,1.4858573316267099,1.8686436039906489
97,1.5047720112179352,1.1404282592269788,1.490756216693077,1.8775570664879173
98,1.5108337499493587,1.14721185192765,1.4968948664872324,1.8865013043797163
99,1.516156006912874,1.1464837012370777,1.499815732848358,1.898020721567729
100,1.522727958488004,1.1515554755560975,1.5075858191852185,1.9119883737829981
101,1.5293167316234983,1.1550895223553754,1.512064481936846,1.9207325495679162
102,1.535413522040162,1.1590660281662846,1.5203960303823942,1.9251102978141645
103,1.5428725950610456,1.1620239021246885,1.5275325135715399,1.9373118645697236
104,1.5488407303278902,1.1623444300914472,1.5311370959329742,1.9474973182517727
105,1.555801734713923,1.1670989936997929,1.5403822417104807,1.9556797410078597
106,1.5631478404697159,1.1700423906905433,1.5474914542156513,1.9683694716226783
107,1.5702545743539573,1.1745216336430389,1.5569509376376818,1.9776067930940402
108,1.5773906333430228,1.1786660597832006,1.5584285755541294,1.998184320922251
109,1.5834966787410965,1.1840183687220478,1.565955176436222,2.0049488983371453
110,1.5878912419789488,1.1854574980031196,1.5720305064804891,2.015425125912744
111,1.5945579477316472,1.192395698641764,1.5752695443997085,2.020801282143335
112,1.6006458636047003,1.1960876348655856,1.5801026597237744,2.030126214227126
113,1.6075509180416423,1.1954271301792678,1.5891276726904044,2.049328748640551
114,1.6156128416758768,1.200291368874243,1.5970213723987903,2.0560157630843965
115,1.623021792757936,1.2091028041557383,1.6033238873738997,2.0682353333691235
116,1.6299944484997733,1.20756933590508,1.6127010607916918,2.0774568341755604
117,1.6376310152575073,1.2130278958979277,1.616283515693917,2.0870682352565284
118,1.6444763941587244,1.210335897756029,1.6226088103815117,2.099981198523356
119,1.6517025743705516,1.2148019076263643,1.6277056871817654,2.1144312392780935
120,1.657115792564528,1.2222468686134649,1.6363533222170599,2.119924633784897
121,1.6619748383295847,1.2255721009986518,1.6388650158293792,2.1282609302490227
122,1.6681051956954975,1.227392621358313,1.645696018695216,2.1410561204685896
123,1.6736716700131296,1.2287852095526133,1.6535942005940147,2.1469501733137686
124,1.6805960836602778,1.2329813737246913,1.6565558693171623,2.1630474184993482
125,1.6882725036959418,1.2390299367317215,1.6586952013808602,2.169601323838577
126,1.6957290979047785,1.2452361180141416,1.6629487167668144,2.1803657624438877
127,1.7025184782746423,1.2491342718381815,1.6709738923576918,2.1953141294301832
128,1.7099976419749794,1.2539244911882366,1.6813353394341872,2.2109061138747426
129,1.717716542165166,1.2558896072661554,1.6920151284658282,2.2213512019807298
130,1.7260360134471673,1.2596500581807062,1.6995760469292565,2.2323328826944353
131,1.7339055296697568,1.2675005876834586,1.707011475208076,2.2431663492172977
132,1.74110881947876,1.2677194301916235,1.7139401124420517,2.2553194913289882
133,1.7476153233737706,1.2707340297361773,1.7196342248151009,2.2681438222342796
134,1.7528296588945305,1.2729078911405451,1.7247986314233201,2.2751501934797727
135,1.7602725766156557,1.2765198163671623,1.7295728495520208,2.282395875370405
136,1.7669663574513355,1.2811724271951017,1.7383301476604416,2.284240635356614
137,1.7751192301024858,1.2826022117652953,1.7423447326099208,2.3114948024491615
138,1.7835558736564734,1.287124355304811,1.7559183688577427,2.323971393221999
139,1.79246899468305,1.2896759951648042,1.7621826835993049,2.343662315184047
140,1.8002772381693777,1.2885963392892053,1.7724208767506515,2.3579242057715724
141,1.8090087631175535,1.2906581067411746,1.7801657805365596,2.3690503736685184
142,1.8174191093620429,1.2964340177830829,1.7854804517330198,2.3823344504933393
143,1.8256703575372737,1.3027884884376466,1.7966360008988316,2.3926035321116985
144,1.8318725671319929,1.3066546208251029,1.7996758066459473,2.4019363225261205
145,1.8391497266109538,1.3125748093538723,1.8076462464318277,2.4190930370915233
146,1.8468230759465256,1.3153008217519797,1.8140080906605003,2.431595648197194
147,1.8533545745183968,1.3170123161819158,1.8224992269911189,2.4385310817231503
148,1.8599527358356929,1.3206222431053058,1.8275406911350187,2.440302981781778
149,1.8686152931459528,1.3297951000128745,1.8350182938585065,2.457350815076237
150,1.8769566963095443,1.326249448400467,1.8432779264312238,2.466416531887929
151,1.8854940860982252,1.3317134485912394,1.8536696219735989,2.4793543212146587
152,1.8940406696960992,1.331307139740279,1.8622664463131784,2.4850740006947394
153,1.9023025961173443,1.3392295385505226,1.8702204534594928,2.5138072182856406
154,1.9117833568148905,1.3389752094743337,1.878676070366049,2.526795351666105
155,1.9205222778000912,1.3465592698428623,1.8850430533963327,2.5431615944355093
156,1.9275262934804742,1.3528833125297832,1.8900278859227075,2.549995375097334
157,1.935313929681974,1.3522900888914964,1.8990239909859254,2.563082766088714
158,1.943215313603234,1.3599987921810064,1.905169383747873,2.574607315415406
159,1.9509394738939565,1.3582008418577232,1.9099312342297807,2.587919297229766
160,1.9585595710274109,1.37069161096863,1.9194856302363559,2.5997809009850203
161,1.966836662163544,1.367376905093757,1.926937468198362,2.6131662210409106
162,1.976001410286259,1.373335614990154,1.9337628630330128,2.632317158137183
163,1.9854669515603487,1.3761630186085665,1.9455369186650109,2.6482575280782528
164,1.9951035238146084,1.3848024716636995,1.9480393862453673,2.6655610312213835
165,2.0043168918875245,1.3869529295843879,1.9591830482997104,2.6828954783818624
166,2.0128642210409824,1.391349457332958,1.9642526002278338,2.700686621795945
167,2.022960783364092,1.397092365631766,1.9721032837826606,2.7119878212917454
168,2.0305961632051464,1.400679486860236,1.981829815824553,2.7139519899110947
169,2.039064562861663,1.4060880913935039,1.988964025599748,2.719927433002162
170,2.045563335828142,1.4120749776064783,1.9942386088534794,2.7350585062452484
171,2.0530990213685043,1.4171701242175139,2.002284811652186,2.753379154392305
172,2.062655279611018,1.4270042770766753,2.0148646271513773,2.7695385093837963
173,2.0712010877159686,1.4219012423849073,2.023017522303706,2.7805916905058172
174,2.0796476539460853,1.4292605405826442,2.0295316830558674,2.800650049315689
175,2.0894236292756836,1.4347327938673584,2.035678355532542,2.81615661522261
176,2.099000329000035,1.4295055905725442,2.05305743033141,2.82934903631285
177,2.109031332897967,1.4422704903493209,2.0583792768900846,2.8530124046873926
178,2.117593358008797,1.4498571510462628,2.0628322788961375,2.863984533105368
179,2.1282201834046797,1.452587633324421,2.0753305421590023,2.878843426993116
