scenario,section,metric,value
adaptive_5_25,backtest_metrics,cagr,0.054067520965003446
adaptive_5_25,backtest_metrics,annualized_volatility,0.07915807276666821
adaptive_5_25,backtest_metrics,sharpe_ratio,0.7024227865921747
adaptive_5_25,backtest_metrics,sortino_ratio,0.9848058692665534
adaptive_5_25,backtest_metrics,max_drawdown,-0.20092334446385274
adaptive_5_25,backtest_metrics,cumulative_return,1.2031401574578444
adaptive_5_25,backtest_metrics,beta,0.117671396491861
adaptive_5_25,backtest_metrics,tracking_error,0.2844176802081284
adaptive_5_25,backtest_metrics,information_ratio,-0.47336487309476694
adaptive_5_25,backtest_metrics,benchmark_correlation,0.46302881641974625
adaptive_5_25,backtest_metrics,portfolio_value_at_retirement,2.1991852244866075
adaptive_5_25,monte_carlo,prob_loss,0.0054
adaptive_5_25,monte_carlo,prob_underperform_benchmark,1.0
adaptive_5_25,monte_carlo,prob_outperform_benchmark,0.0
adaptive_5_25,monte_carlo,drawdown_p5,-0.294350475878492
adaptive_5_25,monte_carlo,drawdown_p1,-0.3626107809112657
adaptive_5_25,monte_carlo,prob_blowup,0.0
adaptive_5_25,monte_carlo,prob_strategy_a_better,0.0002
adaptive_5_25,monte_carlo,terminal_value_p10,1.476707911484599
adaptive_5_25,monte_carlo,terminal_value_p50,2.165613563549986
adaptive_5_25,monte_carlo,terminal_value_p90,3.0119600835342824
adaptive_5_25,monte_carlo,cagr_p10,0.026277262658521972
adaptive_5_25,monte_carlo,cagr_p50,0.05229444388728399
adaptive_5_25,monte_carlo,cagr_p90,0.0767217729012453
adaptive_5_25,monte_carlo,var_95,-0.3096198630833469
adaptive_5_25,monte_carlo,cvar_95,-0.15457850412348098
adaptive_5_25,monte_carlo,var_99,-0.0659244356276893
adaptive_5_25,monte_carlo,cvar_99,0.05877064910666459
