scenario,section,metric,value
monthly,backtest_metrics,cagr,0.05184407949994352
monthly,backtest_metrics,annualized_volatility,0.07902800390718615
monthly,backtest_metrics,sharpe_ratio,0.6767594404727009
monthly,backtest_metrics,sortino_ratio,0.9487250280904718
monthly,backtest_metrics,max_drawdown,-0.19836508384880758
monthly,backtest_metrics,cumulative_return,1.1344477433661728
monthly,backtest_metrics,beta,0.11590605255041339
monthly,backtest_metrics,tracking_error,0.2849863624774887
monthly,backtest_metrics,information_ratio,-0.4798987543858898
monthly,backtest_metrics,benchmark_correlation,0.45683022862429024
monthly,backtest_metrics,portfolio_value_at_retirement,2.130616122519426
monthly,monte_carlo,prob_loss,0.0078
monthly,monte_carlo,prob_underperform_benchmark,1.0
monthly,monte_carlo,prob_outperform_benchmark,0.0
monthly,monte_carlo,drawdown_p5,-0.2842869301537117
monthly,monte_carlo,drawdown_p1,-0.3647859803067827
monthly,monte_carlo,prob_blowup,0.0
monthly,monte_carlo,prob_strategy_a_better,0.0
monthly,monte_carlo,terminal_value_p10,1.452587633324421
monthly,monte_carlo,terminal_value_p50,2.0753305421590023
monthly,monte_carlo,terminal_value_p90,2.878843426993116
monthly,monte_carlo,cagr_p10,0.025516721438106082
monthly,monte_carlo,cagr_p50,0.04985899966777607
monthly,monte_carlo,cagr_p90,0.07314333124501704
monthly,monte_carlo,var_95,-0.3060192858025305
monthly,monte_carlo,cvar_95,-0.14664997244569278
monthly,monte_carlo,var_99,-0.04611179493019771
monthly,monte_carlo,cvar_99,0.07276545229158535
